job_directory,input_file,role,calculation,state,magnetic_variant,hubbard_u_ev,ecutwfc_Ry,ecutrho_Ry,kmesh,input_sha256
01_smoke/charged/pbe_fm_medium,01_smoke/charged/pbe_fm_medium/pw.in,targeted_smoke,scf,charged,fm_medium,,50,400,1x1x1,a5e884af81f0be5ab92592b97d1fdb9f5416a1b7e540b64018efceddf02c0d31
01_smoke/discharged/pbe_fm_medium,01_smoke/discharged/pbe_fm_medium/pw.in,targeted_smoke,scf,discharged,fm_medium,,50,400,1x1x1,7fd394fec917ae69e688ddb33fcd75b14b9ae2e106cc377fd5e5eb4208a186f6
01_smoke/na_metal/pbe,01_smoke/na_metal/pbe/pw.in,targeted_smoke,scf,na_metal,nonmagnetic,,50,400,6x6x6,91a598f381afdee5e7bbed64cee57af664cb04887412f9927d43c25364eb030a
02_rank_benchmark/ranks_04,02_rank_benchmark/ranks_04/pw.in,rank_benchmark_4,scf,ranks_04,fm_medium,,50,400,1x1x1,188185f74558895ae810fbf851f711b52b4ac78b6a27cbaa08457bc854fd048f
02_rank_benchmark/ranks_12,02_rank_benchmark/ranks_12/pw.in,rank_benchmark_12,scf,ranks_12,fm_medium,,50,400,1x1x1,12eb1863d390cb614702ada5741caef3a0b77241e3e8ea37328fe993ace762c7
02_rank_benchmark/ranks_24,02_rank_benchmark/ranks_24/pw.in,rank_benchmark_24,scf,ranks_24,fm_medium,,50,400,1x1x1,8c080a14c6ec20f2c65e44e819c900719feb59a8b8f7e9988106daa1da30afd3
03_magnetism/charged/fm_low,03_magnetism/charged/fm_low/pw.in,magnetic_screen,scf,charged,fm_low,,80,640,3x4x2,9c85ada62bd3800516028dafd5f31ee7f492b94ba19f1026f5c46686d84f16f9
03_magnetism/charged/fm_medium,03_magnetism/charged/fm_medium/pw.in,magnetic_screen,scf,charged,fm_medium,,80,640,3x4x2,742efb50ac770bffeb5ec1d8cdea45b1dd7f3fc1d6ca0b96eb1af36f992fb01e
03_magnetism/charged/fm_high,03_magnetism/charged/fm_high/pw.in,magnetic_screen,scf,charged,fm_high,,80,640,3x4x2,84164b4a2349d0220eb6d4cb611facb625ba6f73fe3778a8496b0379aa416e06
03_magnetism/charged/afm_split,03_magnetism/charged/afm_split/pw.in,magnetic_screen,scf,charged,afm_split,,80,640,3x4x2,151b1cdd7daf66e0620d355a839080ee73df8b0b0b7b3b48a26318a81985b277
03_magnetism/discharged/fm_low,03_magnetism/discharged/fm_low/pw.in,magnetic_screen,scf,discharged,fm_low,,80,640,3x3x2,64d329d6587c90ea9e6065e4dddabc8a385a34c0225626d087745c58c06b8b93
03_magnetism/discharged/fm_medium,03_magnetism/discharged/fm_medium/pw.in,magnetic_screen,scf,discharged,fm_medium,,80,640,3x3x2,ee5e15e1448f5973e479314ab17bd23c3ad275afadd356faee0f9eb0975ea306
03_magnetism/discharged/fm_high,03_magnetism/discharged/fm_high/pw.in,magnetic_screen,scf,discharged,fm_high,,80,640,3x3x2,a1dfd14ce2c288ea63eaee14307f18d8e424a7e8f6ec71f6b184cb1b34f9d9f8
03_magnetism/discharged/afm_split,03_magnetism/discharged/afm_split/pw.in,magnetic_screen,scf,discharged,afm_split,,80,640,3x3x2,6c29a4b9b64571e8b5b05a5488dbceff37aa71923e0f28162e7fe58e93f08234
04_cutoff/charged/ecut_060,04_cutoff/charged/ecut_060/pw.in,cutoff_convergence,scf,charged,fm_medium,,60,480,3x4x2,83464f04cacacdcf28c79f5d89b43ea92eac043086fde8205796b7508e34ea78
04_cutoff/charged/ecut_080,04_cutoff/charged/ecut_080/pw.in,cutoff_convergence,scf,charged,fm_medium,,80,640,3x4x2,b6ebe8be98d1e0655fbaa623a1fbb914af26b8f0c1e6053257260bbac7711392
04_cutoff/charged/ecut_100,04_cutoff/charged/ecut_100/pw.in,cutoff_convergence,scf,charged,fm_medium,,100,800,3x4x2,74aaa9b3728695b116d972cf8b87e680d5ad7e07bc0a3c4fcabde744e47a8505
04_cutoff/discharged/ecut_060,04_cutoff/discharged/ecut_060/pw.in,cutoff_convergence,scf,discharged,fm_medium,,60,480,3x3x2,a0e856bd1ad3064d9fbb8c8b82a0ceee0e6f1036500bd5b862e4c5cb20b7ec0a
