working_ion,record_index,electrode_uid,id_role,material_id,source
Li,Li_000000,el_bd4da6eb02eac05f,id_charge,mp-aaaaccyz,harmonized_core_column
Li,Li_000000,el_bd4da6eb02eac05f,id_discharge,mp-aaaclgav,harmonized_core_column
Li,Li_000000,el_bd4da6eb02eac05f,material_ids,mp-aaaaccyz,harmonized_core_column
Li,Li_000000,el_bd4da6eb02eac05f,material_ids,mp-aaaclgav,harmonized_core_column
Li,Li_000001,el_ded74e08b5c8e751,id_charge,mp-aaacpjjn,harmonized_core_column
Li,Li_000001,el_ded74e08b5c8e751,id_discharge,mp-aaacsist,harmonized_core_column
Li,Li_000001,el_ded74e08b5c8e751,material_ids,mp-aaacpjjn,harmonized_core_column
Li,Li_000001,el_ded74e08b5c8e751,material_ids,mp-aaacsist,harmonized_core_column
Li,Li_000002,el_8a0ba3fe86e34778,id_charge,mp-aaaaaaeu,harmonized_core_column
Li,Li_000002,el_8a0ba3fe86e34778,id_discharge,mp-aaabxgwx,harmonized_core_column
Li,Li_000002,el_8a0ba3fe86e34778,material_ids,mp-aaaaaaeu,harmonized_core_column
Li,Li_000002,el_8a0ba3fe86e34778,material_ids,mp-aaabxgwx,harmonized_core_column
Li,Li_000003,el_e6483b8050aecae0,id_charge,mp-aaabfkfm,harmonized_core_column
Li,Li_000003,el_e6483b8050aecae0,id_discharge,mp-aaacsibn,harmonized_core_column
Li,Li_000003,el_e6483b8050aecae0,material_ids,mp-aaabfkfm,harmonized_core_column
Li,Li_000003,el_e6483b8050aecae0,material_ids,mp-aaacshag,harmonized_core_column
Li,Li_000003,el_e6483b8050aecae0,material_ids,mp-aaacsibn,harmonized_core_column
Li,Li_000003,el_e6483b8050aecae0,material_ids,mp-aaacsisn,harmonized_core_column
Li,Li_000004,el_a57292c5ea11d309,id_charge,mp-aaabrdjy,harmonized_core_column
Li,Li_000004,el_a57292c5ea11d309,id_discharge,mp-aaabridp,harmonized_core_column
Li,Li_000004,el_a57292c5ea11d309,material_ids,mp-aaabrdjy,harmonized_core_column
Li,Li_000004,el_a57292c5ea11d309,material_ids,mp-aaabridp,harmonized_core_column
Li,Li_000005,el_fd179b3805350736,id_charge,mp-aaabqvvo,harmonized_core_column
Li,Li_000005,el_fd179b3805350736,id_discharge,mp-aaabrefc,harmonized_core_column
Li,Li_000005,el_fd179b3805350736,material_ids,mp-aaabqvvo,harmonized_core_column
Li,Li_000005,el_fd179b3805350736,material_ids,mp-aaabrefc,harmonized_core_column
Li,Li_000006,el_2d91fe42e607ab38,id_charge,mp-aaaabbky,harmonized_core_column
Li,Li_000006,el_2d91fe42e607ab38,id_discharge,mp-aaabrgmp,harmonized_core_column
Li,Li_000006,el_2d91fe42e607ab38,material_ids,mp-aaaabbky,harmonized_core_column
Li,Li_000006,el_2d91fe42e607ab38,material_ids,mp-aaabrgmp,harmonized_core_column
Li,Li_000007,el_f212d14cd7c2eebf,id_charge,mp-aaacqzfd,harmonized_core_column
Li,Li_000007,el_f212d14cd7c2eebf,id_discharge,mp-aaacshww,harmonized_core_column
Li,Li_000007,el_f212d14cd7c2eebf,material_ids,mp-aaacqzfd,harmonized_core_column
Li,Li_000007,el_f212d14cd7c2eebf,material_ids,mp-aaacshww,harmonized_core_column
Li,Li_000008,el_0b8e3edcce0f7e84,id_charge,mp-aaacrhqp,harmonized_core_column
Li,Li_000008,el_0b8e3edcce0f7e84,id_discharge,mp-aaacsjhh,harmonized_core_column
Li,Li_000008,el_0b8e3edcce0f7e84,material_ids,mp-aaacrhqp,harmonized_core_column
Li,Li_000008,el_0b8e3edcce0f7e84,material_ids,mp-aaacshgu,harmonized_core_column
Li,Li_000008,el_0b8e3edcce0f7e84,material_ids,mp-aaacshmd,harmonized_core_column
