record_index,source_queried_working_ion,source_endpoint,mp_database_version,record_source_id,working_ion,battery_formula,formula_charge,formula_discharge,framework_formula,chemsys,elements,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge,fracA_charge,fracA_discharge,num_steps,max_voltage_step,id_charge,id_discharge,material_ids,battery_type,thermo_type,last_updated,stability_worst
Li_000000,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-2AgAsF6,AgAsF6,Li2AgAsF6,AgAsF6,Ag-As-F,Ag|As|F,1.689714708333331,172.54419423373443,520.0006314872243,291.55046283426424,878.6527153665833,0.133719155690352,0.0,0.42078230195833305,0.0,0.2,1.0,0.0,mp-aaaaccyz,mp-aaaclgav,mp-aaaaccyz|mp-aaaclgav,insertion,,2025-09-19T09:44:13.501000Z,0.42078230195833305
Li_000001,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-1CsAcO3,CsAcO3,CsLiAcO3,CsAcO3,Ac-Cs-O,Ac|Cs|O,2.147050163333337,64.60606644586682,371.64186647871196,138.71246551492277,797.9337301246248,0.036626417789054004,0.21955931,0.30064717833333005,0.0,0.16666666666666602,1.0,0.0,mp-aaacpjjn,mp-aaacsist,mp-aaacpjjn|mp-aaacsist,insertion,,2025-09-19T09:43:22.301000Z,0.30064717833333005
Li_000002,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-3Ag,Ag,Li3Ag,Ag,Ag,Ag,0.21056543666666602,624.785870642994,1984.8162285987214,131.55830967510573,417.9336958779768,2.736089112284999,0.0036091633333330004,0.0,0.0,0.75,1.0,0.0,mp-aaaaaaeu,mp-aaabxgwx,mp-aaaaaaeu|mp-aaabxgwx,insertion,,2025-09-19T09:43:24.372000Z,0.0036091633333330004
Li_000003,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-1AgClO4,AgClO4,LiAgClO4,AgClO4,Ag-Cl-O,Ag|Cl|O,1.5458820933333342,125.08870607255253,341.0697949811628,193.3723907957956,527.253688638251,0.317804851549746,0.11659305666666601,0.45127765026785505,0.0,0.14285714285714202,1.0,0.0,mp-aaabfkfm,mp-aaacsibn,mp-aaabfkfm|mp-aaacsibn|mp-aaacshag|mp-aaacsisn,insertion,,2025-09-19T09:44:15.999000Z,0.45127765026785505
Li_000004,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li1-2AgF4,LiAgF4,Li2AgF4,AgF4,Ag-F,Ag|F,5.052496508333335,135.53638298898974,532.9991994302926,684.7971018040004,2692.9765940660163,0.05403225841189,0.039348144999996004,0.034513521428572,0.16666666666666602,0.28571428571428503,1.0,0.0,mp-aaabrdjy,mp-aaabridp,mp-aaabrdjy|mp-aaabridp,insertion,,2025-09-19T09:44:33.948000Z,0.039348144999996004
Li_000005,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0.5-1AgF2,LiAg2F4,LiAgF2,AgF2,Ag-F,Ag|F,4.882004773333329,87.69773445686978,392.0282440438906,428.14075822895705,1913.8837587037572,0.184418083884822,0.118659776428571,0.053544515,0.14285714285714202,0.25,1.0,0.0,mp-aaabqvvo,mp-aaabrefc,mp-aaabqvvo|mp-aaabrefc,insertion,,2025-09-19T09:44:21.474000Z,0.118659776428571
Li_000006,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-1AgF3,AgF3,LiAgF3,AgF3,Ag-F,Ag|F,5.103887114999998,155.99996069812107,686.2634508200697,796.2061893476463,3502.611184135989,0.078737166489472,0.0,0.05629189899999901,0.0,0.2,1.0,0.0,mp-aaaabbky,mp-aaabrgmp,mp-aaaabbky|mp-aaabrgmp,insertion,,2025-09-19T09:43:27.292000Z,0.05629189899999901
Li_000007,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-0.5HoAg(WO4)2,HoAg(WO4)2,LiHo2Ag2(WO4)4,HoAg(WO4)2,Ag-Ho-O-W,Ag|Ho|O|W,0.6373623433333411,17.359726552110132,136.64595143784703,11.064435994878936,87.0929838154401,0.025880278158456,0.0020856016145830002,0.11425475950832001,0.0,0.04,1.0,0.0,mp-aaacqzfd,mp-aaacshww,mp-aaacqzfd|mp-aaacshww,insertion,,2025-09-19T09:43:22.869000Z,0.11425475950832001
Li_000008,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-1TaNb(AgO3)2,TaNb(AgO3)2,LiTaNb(AgO3)2,TaNb(AgO3)2,Ag-Nb-O-Ta,Ag|Nb|O|Ta,0.7235468433333421,45.23242518736394,328.3908591960602,32.72777846062876,237.6061695508336,0.051324456096997005,0.053872661642857006,0.29934447361472205,0.0,0.09090909090909001,1.0,0.0,mp-aaacrhqp,mp-aaacsjhh,mp-aaacrhqp|mp-aaacsjhh|mp-aaacshgu|mp-aaacshmd,insertion,,2025-09-19T09:43:23.227000Z,0.29934447361472205
Li_000009,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-0.25AgRuO3,AgRuO3,LiAg4(RuO3)4,AgRuO3,Ag-O-Ru,Ag|O|Ru,2.55489157333334,25.902994341826684,163.9625433179502,66.1793419680342,418.90652026533377,0.022206307614682,0.057777262999999,0.084179768333331,0.0,0.047619047619047006,1.0,0.0,mp-aaabseeq,mp-aaacshnk,mp-aaabseeq|mp-aaacshnk|mp-aaacsifp|mp-aaacshxn,insertion,,2025-09-19T09:44:49.532000Z,0.084179768333331
