target,protocol,feature
average_voltage,P1,fw_parse_ok
average_voltage,P1,fw_n_elements
average_voltage,P1,fw_n_atoms
average_voltage,P1,fw_frac_Li
average_voltage,P1,fw_frac_Na
average_voltage,P1,fw_frac_K
average_voltage,P1,fw_frac_O
average_voltage,P1,fw_frac_F
average_voltage,P1,fw_frac_P
average_voltage,P1,fw_frac_S
average_voltage,P1,fw_frac_Si
average_voltage,P1,fw_frac_C
average_voltage,P1,fw_frac_N
average_voltage,P1,fw_frac_B
average_voltage,P1,fw_frac_Cl
average_voltage,P1,fw_frac_Br
average_voltage,P1,fw_frac_I
average_voltage,P1,fw_frac_Mn
average_voltage,P1,fw_frac_Fe
average_voltage,P1,fw_frac_Co
average_voltage,P1,fw_frac_Ni
average_voltage,P1,fw_frac_Cu
average_voltage,P1,fw_frac_V
average_voltage,P1,fw_frac_Ti
average_voltage,P1,fw_frac_Cr
average_voltage,P1,fw_frac_Al
average_voltage,P1,fw_frac_Mg
average_voltage,P1,fw_frac_Ca
average_voltage,P1,fw_frac_Zn
average_voltage,P1,fw_frac_Ag
average_voltage,P1,fw_frac_As
average_voltage,P1,fw_Z_mean
average_voltage,P1,fw_Z_min
average_voltage,P1,fw_Z_max
average_voltage,P1,fw_Z_range
average_voltage,P1,fw_Z_std
average_voltage,P1,fw_atomic_mass_mean
average_voltage,P1,fw_atomic_mass_min
average_voltage,P1,fw_atomic_mass_max
average_voltage,P1,fw_atomic_mass_range
average_voltage,P1,fw_atomic_mass_std
average_voltage,P1,fw_X_mean
average_voltage,P1,fw_X_min
average_voltage,P1,fw_X_max
average_voltage,P1,fw_X_range
average_voltage,P1,fw_X_std
average_voltage,P1,fw_row_mean
average_voltage,P1,fw_row_min
average_voltage,P1,fw_row_max
average_voltage,P1,fw_row_range
average_voltage,P1,fw_row_std
average_voltage,P1,fw_group_mean
average_voltage,P1,fw_group_min
average_voltage,P1,fw_group_max
average_voltage,P1,fw_group_range
average_voltage,P1,fw_group_std
average_voltage,P1,fw_has_O
average_voltage,P1,fw_has_F
average_voltage,P1,fw_has_P
average_voltage,P1,fw_has_S
average_voltage,P1,fw_has_Si
average_voltage,P1,fw_has_C
average_voltage,P1,fw_has_N
average_voltage,P1,fw_has_Cl
average_voltage,P1,fw_has_Br
average_voltage,P1,fw_has_I
average_voltage,P1,fw_n_transition_metals
average_voltage,P1,fw_frac_transition_metals
average_voltage,P1,wi_Z
average_voltage,P1,wi_atomic_mass
average_voltage,P1,wi_X
average_voltage,P1,wi_row
average_voltage,P1,wi_group
