target,protocol,feature
energy_grav,P1,fw_parse_ok
energy_grav,P1,fw_n_elements
energy_grav,P1,fw_n_atoms
energy_grav,P1,fw_frac_Li
energy_grav,P1,fw_frac_Na
energy_grav,P1,fw_frac_K
energy_grav,P1,fw_frac_O
energy_grav,P1,fw_frac_F
energy_grav,P1,fw_frac_P
energy_grav,P1,fw_frac_S
energy_grav,P1,fw_frac_Si
energy_grav,P1,fw_frac_C
energy_grav,P1,fw_frac_N
energy_grav,P1,fw_frac_B
energy_grav,P1,fw_frac_Cl
energy_grav,P1,fw_frac_Br
energy_grav,P1,fw_frac_I
energy_grav,P1,fw_frac_Mn
energy_grav,P1,fw_frac_Fe
energy_grav,P1,fw_frac_Co
energy_grav,P1,fw_frac_Ni
energy_grav,P1,fw_frac_Cu
energy_grav,P1,fw_frac_V
energy_grav,P1,fw_frac_Ti
energy_grav,P1,fw_frac_Cr
energy_grav,P1,fw_frac_Al
energy_grav,P1,fw_frac_Mg
energy_grav,P1,fw_frac_Ca
energy_grav,P1,fw_frac_Zn
energy_grav,P1,fw_frac_Ag
energy_grav,P1,fw_frac_As
energy_grav,P1,fw_Z_mean
energy_grav,P1,fw_Z_min
energy_grav,P1,fw_Z_max
energy_grav,P1,fw_Z_range
energy_grav,P1,fw_Z_std
energy_grav,P1,fw_atomic_mass_mean
energy_grav,P1,fw_atomic_mass_min
energy_grav,P1,fw_atomic_mass_max
energy_grav,P1,fw_atomic_mass_range
energy_grav,P1,fw_atomic_mass_std
energy_grav,P1,fw_X_mean
energy_grav,P1,fw_X_min
energy_grav,P1,fw_X_max
energy_grav,P1,fw_X_range
energy_grav,P1,fw_X_std
energy_grav,P1,fw_row_mean
energy_grav,P1,fw_row_min
energy_grav,P1,fw_row_max
energy_grav,P1,fw_row_range
energy_grav,P1,fw_row_std
energy_grav,P1,fw_group_mean
energy_grav,P1,fw_group_min
energy_grav,P1,fw_group_max
energy_grav,P1,fw_group_range
energy_grav,P1,fw_group_std
energy_grav,P1,fw_has_O
energy_grav,P1,fw_has_F
energy_grav,P1,fw_has_P
energy_grav,P1,fw_has_S
energy_grav,P1,fw_has_Si
energy_grav,P1,fw_has_C
energy_grav,P1,fw_has_N
energy_grav,P1,fw_has_Cl
energy_grav,P1,fw_has_Br
energy_grav,P1,fw_has_I
energy_grav,P1,fw_n_transition_metals
energy_grav,P1,fw_frac_transition_metals
energy_grav,P1,wi_Z
energy_grav,P1,wi_atomic_mass
energy_grav,P1,wi_X
energy_grav,P1,wi_row
energy_grav,P1,wi_group
