target,protocol,feature
stability_worst,P2,fw_parse_ok
stability_worst,P2,fw_n_elements
stability_worst,P2,fw_n_atoms
stability_worst,P2,fw_frac_Li
stability_worst,P2,fw_frac_Na
stability_worst,P2,fw_frac_K
stability_worst,P2,fw_frac_O
stability_worst,P2,fw_frac_F
stability_worst,P2,fw_frac_P
stability_worst,P2,fw_frac_S
stability_worst,P2,fw_frac_Si
stability_worst,P2,fw_frac_C
stability_worst,P2,fw_frac_N
stability_worst,P2,fw_frac_B
stability_worst,P2,fw_frac_Cl
stability_worst,P2,fw_frac_Br
stability_worst,P2,fw_frac_I
stability_worst,P2,fw_frac_Mn
stability_worst,P2,fw_frac_Fe
stability_worst,P2,fw_frac_Co
stability_worst,P2,fw_frac_Ni
stability_worst,P2,fw_frac_Cu
stability_worst,P2,fw_frac_V
stability_worst,P2,fw_frac_Ti
stability_worst,P2,fw_frac_Cr
stability_worst,P2,fw_frac_Al
stability_worst,P2,fw_frac_Mg
stability_worst,P2,fw_frac_Ca
stability_worst,P2,fw_frac_Zn
stability_worst,P2,fw_frac_Ag
stability_worst,P2,fw_frac_As
stability_worst,P2,fw_Z_mean
stability_worst,P2,fw_Z_min
stability_worst,P2,fw_Z_max
stability_worst,P2,fw_Z_range
stability_worst,P2,fw_Z_std
stability_worst,P2,fw_atomic_mass_mean
stability_worst,P2,fw_atomic_mass_min
stability_worst,P2,fw_atomic_mass_max
stability_worst,P2,fw_atomic_mass_range
stability_worst,P2,fw_atomic_mass_std
stability_worst,P2,fw_X_mean
stability_worst,P2,fw_X_min
stability_worst,P2,fw_X_max
stability_worst,P2,fw_X_range
stability_worst,P2,fw_X_std
stability_worst,P2,fw_row_mean
stability_worst,P2,fw_row_min
stability_worst,P2,fw_row_max
stability_worst,P2,fw_row_range
stability_worst,P2,fw_row_std
stability_worst,P2,fw_group_mean
stability_worst,P2,fw_group_min
stability_worst,P2,fw_group_max
stability_worst,P2,fw_group_range
stability_worst,P2,fw_group_std
stability_worst,P2,fw_has_O
stability_worst,P2,fw_has_F
stability_worst,P2,fw_has_P
stability_worst,P2,fw_has_S
stability_worst,P2,fw_has_Si
stability_worst,P2,fw_has_C
stability_worst,P2,fw_has_N
stability_worst,P2,fw_has_Cl
stability_worst,P2,fw_has_Br
stability_worst,P2,fw_has_I
stability_worst,P2,fw_n_transition_metals
stability_worst,P2,fw_frac_transition_metals
stability_worst,P2,wi_Z
stability_worst,P2,wi_atomic_mass
stability_worst,P2,wi_X
stability_worst,P2,wi_row
stability_worst,P2,wi_group
stability_worst,P2,charge_summary_volume
stability_worst,P2,charge_summary_density
stability_worst,P2,charge_summary_nsites
stability_worst,P2,charge_summary_density_atomic
stability_worst,P2,charge_summary_symmetry_number
stability_worst,P2,discharge_summary_volume
stability_worst,P2,discharge_summary_density
stability_worst,P2,discharge_summary_nsites
stability_worst,P2,discharge_summary_density_atomic
stability_worst,P2,discharge_summary_symmetry_number
stability_worst,P2,charge_summary_volume_per_site
stability_worst,P2,discharge_summary_volume_per_site
stability_worst,P2,summary_delta_volume_fraction
stability_worst,P2,summary_abs_delta_volume_fraction
stability_worst,P2,summary_delta_density
stability_worst,P2,summary_abs_delta_density
stability_worst,P2,summary_delta_density_atomic
stability_worst,P2,summary_abs_delta_density_atomic
stability_worst,P2,summary_delta_volume_per_site
stability_worst,P2,summary_abs_delta_volume_per_site
