target,protocol,feature
capacity_vol,P4,average_voltage
capacity_vol,P4,capacity_grav
capacity_vol,P4,capacity_vol
capacity_vol,P4,energy_grav
capacity_vol,P4,energy_vol
capacity_vol,P4,max_delta_volume
capacity_vol,P4,stability_charge
capacity_vol,P4,stability_discharge
capacity_vol,P4,fracA_charge
capacity_vol,P4,fracA_discharge
capacity_vol,P4,num_steps
capacity_vol,P4,max_voltage_step
capacity_vol,P4,stability_worst
capacity_vol,P4,fw_parse_ok
capacity_vol,P4,fw_n_elements
capacity_vol,P4,fw_n_atoms
capacity_vol,P4,fw_frac_Li
capacity_vol,P4,fw_frac_Na
capacity_vol,P4,fw_frac_K
capacity_vol,P4,fw_frac_O
capacity_vol,P4,fw_frac_F
capacity_vol,P4,fw_frac_P
capacity_vol,P4,fw_frac_S
capacity_vol,P4,fw_frac_Si
capacity_vol,P4,fw_frac_C
capacity_vol,P4,fw_frac_N
capacity_vol,P4,fw_frac_B
capacity_vol,P4,fw_frac_Cl
capacity_vol,P4,fw_frac_Br
capacity_vol,P4,fw_frac_I
capacity_vol,P4,fw_frac_Mn
capacity_vol,P4,fw_frac_Fe
capacity_vol,P4,fw_frac_Co
capacity_vol,P4,fw_frac_Ni
capacity_vol,P4,fw_frac_Cu
capacity_vol,P4,fw_frac_V
capacity_vol,P4,fw_frac_Ti
capacity_vol,P4,fw_frac_Cr
capacity_vol,P4,fw_frac_Al
capacity_vol,P4,fw_frac_Mg
capacity_vol,P4,fw_frac_Ca
capacity_vol,P4,fw_frac_Zn
capacity_vol,P4,fw_frac_Ag
capacity_vol,P4,fw_frac_As
capacity_vol,P4,fw_Z_mean
capacity_vol,P4,fw_Z_min
capacity_vol,P4,fw_Z_max
capacity_vol,P4,fw_Z_range
capacity_vol,P4,fw_Z_std
capacity_vol,P4,fw_atomic_mass_mean
capacity_vol,P4,fw_atomic_mass_min
capacity_vol,P4,fw_atomic_mass_max
capacity_vol,P4,fw_atomic_mass_range
capacity_vol,P4,fw_atomic_mass_std
capacity_vol,P4,fw_X_mean
capacity_vol,P4,fw_X_min
capacity_vol,P4,fw_X_max
capacity_vol,P4,fw_X_range
capacity_vol,P4,fw_X_std
capacity_vol,P4,fw_row_mean
capacity_vol,P4,fw_row_min
capacity_vol,P4,fw_row_max
capacity_vol,P4,fw_row_range
capacity_vol,P4,fw_row_std
capacity_vol,P4,fw_group_mean
capacity_vol,P4,fw_group_min
capacity_vol,P4,fw_group_max
capacity_vol,P4,fw_group_range
capacity_vol,P4,fw_group_std
capacity_vol,P4,fw_has_O
capacity_vol,P4,fw_has_F
capacity_vol,P4,fw_has_P
capacity_vol,P4,fw_has_S
capacity_vol,P4,fw_has_Si
capacity_vol,P4,fw_has_C
capacity_vol,P4,fw_has_N
capacity_vol,P4,fw_has_Cl
capacity_vol,P4,fw_has_Br
capacity_vol,P4,fw_has_I
capacity_vol,P4,fw_n_transition_metals
capacity_vol,P4,fw_frac_transition_metals
capacity_vol,P4,charge_formula_parse_ok
capacity_vol,P4,charge_formula_n_elements
capacity_vol,P4,charge_formula_n_atoms
capacity_vol,P4,charge_formula_frac_Li
capacity_vol,P4,charge_formula_frac_Na
capacity_vol,P4,charge_formula_frac_K
capacity_vol,P4,charge_formula_frac_O
capacity_vol,P4,charge_formula_frac_F
capacity_vol,P4,charge_formula_frac_P
capacity_vol,P4,charge_formula_frac_S
capacity_vol,P4,charge_formula_frac_Si
capacity_vol,P4,charge_formula_frac_C
capacity_vol,P4,charge_formula_frac_N
capacity_vol,P4,charge_formula_frac_B
capacity_vol,P4,charge_formula_frac_Cl
capacity_vol,P4,charge_formula_frac_Br
capacity_vol,P4,charge_formula_frac_I
capacity_vol,P4,charge_formula_frac_Mn
capacity_vol,P4,charge_formula_frac_Fe
capacity_vol,P4,charge_formula_frac_Co
capacity_vol,P4,charge_formula_frac_Ni
capacity_vol,P4,charge_formula_frac_Cu
capacity_vol,P4,charge_formula_frac_V
capacity_vol,P4,charge_formula_frac_Ti
capacity_vol,P4,charge_formula_frac_Cr
capacity_vol,P4,charge_formula_frac_Al
capacity_vol,P4,charge_formula_frac_Mg
capacity_vol,P4,charge_formula_frac_Ca
capacity_vol,P4,charge_formula_frac_Zn
capacity_vol,P4,charge_formula_frac_Ag
capacity_vol,P4,charge_formula_frac_As
capacity_vol,P4,charge_formula_Z_mean
capacity_vol,P4,charge_formula_Z_min
capacity_vol,P4,charge_formula_Z_max
capacity_vol,P4,charge_formula_Z_range
capacity_vol,P4,charge_formula_Z_std
capacity_vol,P4,charge_formula_atomic_mass_mean
capacity_vol,P4,charge_formula_atomic_mass_min
capacity_vol,P4,charge_formula_atomic_mass_max
capacity_vol,P4,charge_formula_atomic_mass_range
capacity_vol,P4,charge_formula_atomic_mass_std
capacity_vol,P4,charge_formula_X_mean
capacity_vol,P4,charge_formula_X_min
capacity_vol,P4,charge_formula_X_max
capacity_vol,P4,charge_formula_X_range
capacity_vol,P4,charge_formula_X_std
capacity_vol,P4,charge_formula_row_mean
capacity_vol,P4,charge_formula_row_min
capacity_vol,P4,charge_formula_row_max
capacity_vol,P4,charge_formula_row_range
capacity_vol,P4,charge_formula_row_std
capacity_vol,P4,charge_formula_group_mean
capacity_vol,P4,charge_formula_group_min
capacity_vol,P4,charge_formula_group_max
capacity_vol,P4,charge_formula_group_range
capacity_vol,P4,charge_formula_group_std
capacity_vol,P4,charge_formula_has_O
capacity_vol,P4,charge_formula_has_F
capacity_vol,P4,charge_formula_has_P
capacity_vol,P4,charge_formula_has_S
capacity_vol,P4,charge_formula_has_Si
capacity_vol,P4,charge_formula_has_C
capacity_vol,P4,charge_formula_has_N
capacity_vol,P4,charge_formula_has_Cl
capacity_vol,P4,charge_formula_has_Br
capacity_vol,P4,charge_formula_has_I
capacity_vol,P4,charge_formula_n_transition_metals
capacity_vol,P4,charge_formula_frac_transition_metals
capacity_vol,P4,discharge_formula_parse_ok
capacity_vol,P4,discharge_formula_n_elements
capacity_vol,P4,discharge_formula_n_atoms
capacity_vol,P4,discharge_formula_frac_Li
capacity_vol,P4,discharge_formula_frac_Na
capacity_vol,P4,discharge_formula_frac_K
capacity_vol,P4,discharge_formula_frac_O
capacity_vol,P4,discharge_formula_frac_F
capacity_vol,P4,discharge_formula_frac_P
capacity_vol,P4,discharge_formula_frac_S
capacity_vol,P4,discharge_formula_frac_Si
capacity_vol,P4,discharge_formula_frac_C
capacity_vol,P4,discharge_formula_frac_N
capacity_vol,P4,discharge_formula_frac_B
capacity_vol,P4,discharge_formula_frac_Cl
capacity_vol,P4,discharge_formula_frac_Br
capacity_vol,P4,discharge_formula_frac_I
capacity_vol,P4,discharge_formula_frac_Mn
capacity_vol,P4,discharge_formula_frac_Fe
capacity_vol,P4,discharge_formula_frac_Co
capacity_vol,P4,discharge_formula_frac_Ni
capacity_vol,P4,discharge_formula_frac_Cu
capacity_vol,P4,discharge_formula_frac_V
capacity_vol,P4,discharge_formula_frac_Ti
capacity_vol,P4,discharge_formula_frac_Cr
capacity_vol,P4,discharge_formula_frac_Al
capacity_vol,P4,discharge_formula_frac_Mg
capacity_vol,P4,discharge_formula_frac_Ca
capacity_vol,P4,discharge_formula_frac_Zn
capacity_vol,P4,discharge_formula_frac_Ag
capacity_vol,P4,discharge_formula_frac_As
capacity_vol,P4,discharge_formula_Z_mean
capacity_vol,P4,discharge_formula_Z_min
capacity_vol,P4,discharge_formula_Z_max
capacity_vol,P4,discharge_formula_Z_range
capacity_vol,P4,discharge_formula_Z_std
capacity_vol,P4,discharge_formula_atomic_mass_mean
capacity_vol,P4,discharge_formula_atomic_mass_min
capacity_vol,P4,discharge_formula_atomic_mass_max
capacity_vol,P4,discharge_formula_atomic_mass_range
capacity_vol,P4,discharge_formula_atomic_mass_std
capacity_vol,P4,discharge_formula_X_mean
capacity_vol,P4,discharge_formula_X_min
capacity_vol,P4,discharge_formula_X_max
capacity_vol,P4,discharge_formula_X_range
capacity_vol,P4,discharge_formula_X_std
capacity_vol,P4,discharge_formula_row_mean
capacity_vol,P4,discharge_formula_row_min
capacity_vol,P4,discharge_formula_row_max
capacity_vol,P4,discharge_formula_row_range
capacity_vol,P4,discharge_formula_row_std
capacity_vol,P4,discharge_formula_group_mean
capacity_vol,P4,discharge_formula_group_min
capacity_vol,P4,discharge_formula_group_max
capacity_vol,P4,discharge_formula_group_range
capacity_vol,P4,discharge_formula_group_std
capacity_vol,P4,discharge_formula_has_O
capacity_vol,P4,discharge_formula_has_F
capacity_vol,P4,discharge_formula_has_P
capacity_vol,P4,discharge_formula_has_S
capacity_vol,P4,discharge_formula_has_Si
capacity_vol,P4,discharge_formula_has_C
capacity_vol,P4,discharge_formula_has_N
capacity_vol,P4,discharge_formula_has_Cl
capacity_vol,P4,discharge_formula_has_Br
capacity_vol,P4,discharge_formula_has_I
capacity_vol,P4,discharge_formula_n_transition_metals
capacity_vol,P4,discharge_formula_frac_transition_metals
capacity_vol,P4,wi_Z
capacity_vol,P4,wi_atomic_mass
capacity_vol,P4,wi_X
capacity_vol,P4,wi_row
capacity_vol,P4,wi_group
capacity_vol,P4,stoich_wi_amount_charge
capacity_vol,P4,stoich_wi_amount_discharge
capacity_vol,P4,stoich_wi_amount_delta
capacity_vol,P4,stoich_abs_wi_amount_delta
capacity_vol,P4,stored_fracA_delta
capacity_vol,P4,stored_abs_fracA_delta
capacity_vol,P4,charge_summary_formation_energy_per_atom
capacity_vol,P4,charge_summary_is_metal
capacity_vol,P4,charge_summary_volume
capacity_vol,P4,charge_summary_theoretical
capacity_vol,P4,charge_summary_energy_above_hull
capacity_vol,P4,charge_summary_density
capacity_vol,P4,charge_summary_nsites
capacity_vol,P4,charge_summary_density_atomic
capacity_vol,P4,charge_summary_band_gap
capacity_vol,P4,charge_summary_is_stable
capacity_vol,P4,charge_summary_symmetry_number
capacity_vol,P4,discharge_summary_formation_energy_per_atom
capacity_vol,P4,discharge_summary_is_metal
capacity_vol,P4,discharge_summary_volume
capacity_vol,P4,discharge_summary_theoretical
capacity_vol,P4,discharge_summary_energy_above_hull
capacity_vol,P4,discharge_summary_density
capacity_vol,P4,discharge_summary_nsites
capacity_vol,P4,discharge_summary_density_atomic
capacity_vol,P4,discharge_summary_band_gap
capacity_vol,P4,discharge_summary_is_stable
capacity_vol,P4,discharge_summary_symmetry_number
capacity_vol,P4,charge_summary_volume_per_site
capacity_vol,P4,discharge_summary_volume_per_site
capacity_vol,P4,summary_delta_volume_fraction
capacity_vol,P4,summary_abs_delta_volume_fraction
capacity_vol,P4,summary_delta_formation_energy_per_atom
capacity_vol,P4,summary_abs_delta_formation_energy_per_atom
capacity_vol,P4,summary_delta_energy_above_hull
capacity_vol,P4,summary_abs_delta_energy_above_hull
capacity_vol,P4,summary_delta_density
capacity_vol,P4,summary_abs_delta_density
capacity_vol,P4,summary_delta_density_atomic
capacity_vol,P4,summary_abs_delta_density_atomic
capacity_vol,P4,summary_delta_band_gap
capacity_vol,P4,summary_abs_delta_band_gap
capacity_vol,P4,summary_delta_volume_per_site
capacity_vol,P4,summary_abs_delta_volume_per_site
capacity_vol,P4,summary_worst_energy_above_hull
