source,target,edge_key,edge_type,leakage_level,relation,rule_id,reason,dependency_path,allowed_P0,allowed_P1,allowed_P2,allowed_P3,allowed_P4
concept::working_ion_transfer,target::capacity_grav,0,canonical_physical_dependency,L3,stoichiometric_scale,,,,,,,,
concept::working_ion_transfer,target::capacity_vol,0,canonical_physical_dependency,L3,stoichiometric_scale,,,,,,,,
target::average_voltage,target::energy_grav,0,canonical_physical_dependency,L2,multiplicative_component,,,,,,,,
target::average_voltage,target::energy_vol,0,canonical_physical_dependency,L2,multiplicative_component,,,,,,,,
target::capacity_grav,target::energy_grav,0,canonical_physical_dependency,L2,multiplicative_component,,,,,,,,
target::capacity_vol,target::energy_vol,0,canonical_physical_dependency,L2,multiplicative_component,,,,,,,,
target::stability_charge,target::stability_worst,0,canonical_physical_dependency,L2,maximum_component,,,,,,,,
target::stability_discharge,target::stability_worst,0,canonical_physical_dependency,L2,maximum_component,,,,,,,,
feature::fw_X_max,target::average_voltage,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_max -> target::average_voltage,True,True,True,True,True
feature::fw_X_max,target::capacity_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_max -> target::capacity_grav,True,True,True,True,True
feature::fw_X_max,target::capacity_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_max -> target::capacity_vol,True,True,True,True,True
feature::fw_X_max,target::energy_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_max -> target::energy_grav,True,True,True,True,True
feature::fw_X_max,target::energy_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_max -> target::energy_vol,True,True,True,True,True
feature::fw_X_max,target::max_delta_volume,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_max -> target::max_delta_volume,True,True,True,True,True
feature::fw_X_max,target::stability_charge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_max -> target::stability_charge,True,True,True,True,True
feature::fw_X_max,target::stability_discharge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_max -> target::stability_discharge,True,True,True,True,True
feature::fw_X_max,target::stability_worst,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_max -> target::stability_worst,True,True,True,True,True
feature::fw_X_mean,target::average_voltage,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_mean -> target::average_voltage,True,True,True,True,True
feature::fw_X_mean,target::capacity_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_mean -> target::capacity_grav,True,True,True,True,True
