protocol,feature_order,feature,common_safe_for_targets
P1,1,fw_X_max,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,2,fw_X_mean,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,3,fw_X_min,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,4,fw_X_range,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,5,fw_X_std,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,6,fw_Z_max,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,7,fw_Z_mean,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,8,fw_Z_min,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,9,fw_Z_range,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,10,fw_Z_std,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,11,fw_atomic_mass_max,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,12,fw_atomic_mass_mean,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,13,fw_atomic_mass_min,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,14,fw_atomic_mass_range,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,15,fw_atomic_mass_std,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,16,fw_frac_Ag,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,17,fw_frac_Al,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,18,fw_frac_As,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,19,fw_frac_B,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,20,fw_frac_Br,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,21,fw_frac_C,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,22,fw_frac_Ca,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,23,fw_frac_Cl,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,24,fw_frac_Co,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,25,fw_frac_Cr,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,26,fw_frac_Cu,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,27,fw_frac_F,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,28,fw_frac_Fe,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,29,fw_frac_I,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,30,fw_frac_K,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,31,fw_frac_Li,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
P1,32,fw_frac_Mg,average_voltage|capacity_grav|energy_grav|max_delta_volume|stability_charge|stability_discharge|stability_worst
