split_name,fold_id,heldout_group,n_train,n_test,construction
random_split,0,random_0,2560,641,ShuffleSplit_same_seed_and_row_universe
random_split,1,random_1,2560,641,ShuffleSplit_same_seed_and_row_universe
random_split,2,random_2,2560,641,ShuffleSplit_same_seed_and_row_universe
random_split,3,random_3,2560,641,ShuffleSplit_same_seed_and_row_universe
random_split,4,random_4,2560,641,ShuffleSplit_same_seed_and_row_universe
framework_groupkfold,0,K|AgAsF6|K|Ca9Co(PO4)7|K|CoF3|K|Cr2(PS4)3|K|CrO2|K|CrP2S7|K|Cs2CrF6|K|Cs2NiF6|K|Cu4(PO4)3|K|FeNi(CN)6|K|FeSe|K|Lu(NbCl3)6|K|Mn6P7O24|K|MnPCO7|K|Mo2P3O13|K|MoCl6|K|NaMoF6|K|NbO3|K|Ni3P3O11|K|NiH8(CO5)2,2560,641,GroupKFold_same_group_field_and_fold_count
framework_groupkfold,1,K|C|K|Co2O5|K|CoPCO7|K|CrO3|K|Cs2CoF6|K|Cs2MoCl6|K|Cs2TaCl6|K|FeH4(SO5)2|K|FeSb3|K|LiVF6|K|MgMn4O8|K|Mn4(PO4)3|K|MnF3|K|MnO2|K|MnP2O7|K|Mo9S11|K|NaCrF6|K|NbO2F|K|Ni(PO3)3|K|NiH12(SO7)2,2561,640,GroupKFold_same_group_field_and_fold_count
framework_groupkfold,2,K|BiPCO7|K|CePCO7|K|CoO2|K|CrF6|K|Cs2AgF6|K|Cs2MoBr6|K|Cs2SbCl6|K|FeF3|K|FeH12(SO7)2|K|FePO4F|K|LiSbF6|K|Mn2P2O7F2|K|MnH8(SO6)2|K|Mo3S4|K|Na2NiO2|K|Nb3Se4|K|NdNb4O12|K|NiF6|K|PrNb4O12|K|Rb2MnF6,2561,640,GroupKFold_same_group_field_and_fold_count
framework_groupkfold,3,K|Bi(PO3)4|K|Cd2Cu(SO)2|K|CoH8(CO5)2|K|CrF3|K|CrPO4F|K|CrS2|K|Cs2MnF6|K|Cs2SbBr6|K|Fe11O17|K|FePO4|K|LiNbF6|K|Mn(PO3)3|K|MnH6(S2O9)2|K|Mo2O3|K|Na2FeO3|K|Nb3S4|K|NbSe2|K|Ni4P4O15|K|P(W3O10)4|K|Rb2CuF6,2561,640,GroupKFold_same_group_field_and_fold_count
framework_groupkfold,4,K|AgO|K|Ca9Mn(PO4)7|K|CoF6|K|Cr3O8|K|CrPCO7|K|Cs2CuF6|K|Cs2PdF6|K|CuPCO7|K|FePCO7|K|LiMnF6|K|MgMn2O4|K|MnF6|K|Mo15Se19|K|MoS|K|NaSbF6|K|NbS2|K|Ni4(PO4)3|K|NiPCO7|K|Rb2CrF6|K|RbSb,2561,640,GroupKFold_same_group_field_and_fold_count
leave_family_out,0,polyanion_phosphate_like,2027,1174,reference_heldout_group_reconstruction
leave_family_out,1,transition_metal_oxide_like,2028,1173,reference_heldout_group_reconstruction
leave_family_out,2,halide_or_fluoride_like,2955,246,reference_heldout_group_reconstruction
leave_family_out,3,oxyfluoride_or_fluoropolyanion_like,2980,221,reference_heldout_group_reconstruction
leave_family_out,4,silicate_like,3070,131,reference_heldout_group_reconstruction
leave_family_out,5,sulfate_or_sulfur_oxoanion_like,3095,106,reference_heldout_group_reconstruction
leave_family_out,6,other_or_unclear,3138,63,reference_heldout_group_reconstruction
leave_family_out,7,sulfide_like,3146,55,reference_heldout_group_reconstruction
leave_family_out,8,oxide_like_other,3179,22,reference_heldout_group_reconstruction
leave_family_out,9,organic_or_carbon_like,3191,10,reference_heldout_group_reconstruction
leave_chemical_system_out,0,F-O-V,3048,153,reference_heldout_group_reconstruction
leave_chemical_system_out,1,Mn-O-P,3083,118,reference_heldout_group_reconstruction
leave_chemical_system_out,2,Fe-O-P,3099,102,reference_heldout_group_reconstruction
leave_chemical_system_out,3,Cr-O-P,3117,84,reference_heldout_group_reconstruction
leave_chemical_system_out,4,O-P-V,3119,82,reference_heldout_group_reconstruction
leave_chemical_system_out,5,Co-O-P,3125,76,reference_heldout_group_reconstruction
leave_chemical_system_out,6,Ni-O-P,3127,74,reference_heldout_group_reconstruction
leave_chemical_system_out,7,F-V,3135,66,reference_heldout_group_reconstruction
leave_chemical_system_out,8,Mo-O-P,3140,61,reference_heldout_group_reconstruction
leave_chemical_system_out,9,Mn-O,3151,50,reference_heldout_group_reconstruction
leave_chemical_system_out,10,O-V,3152,49,reference_heldout_group_reconstruction
leave_chemical_system_out,11,F-Mn,3158,43,reference_heldout_group_reconstruction
leave_chemical_system_out,12,Fe-O,3161,40,reference_heldout_group_reconstruction
leave_chemical_system_out,13,B-Mn-O,3162,39,reference_heldout_group_reconstruction
leave_chemical_system_out,14,Cu-O-P,3162,39,reference_heldout_group_reconstruction
leave_chemical_system_out,15,O-Ti,3167,34,reference_heldout_group_reconstruction
leave_chemical_system_out,16,Ni-O,3167,34,reference_heldout_group_reconstruction
leave_chemical_system_out,17,F-Fe-O,3170,31,reference_heldout_group_reconstruction
leave_chemical_system_out,18,Co-O,3170,31,reference_heldout_group_reconstruction
leave_chemical_system_out,19,Cr-O,3172,29,reference_heldout_group_reconstruction
leave_chemical_system_out,20,Fe-O-Si,3173,28,reference_heldout_group_reconstruction
leave_chemical_system_out,21,F-Mn-O,3173,28,reference_heldout_group_reconstruction
leave_chemical_system_out,22,O-P-Sb,3173,28,reference_heldout_group_reconstruction
leave_chemical_system_out,23,O-P-Sn,3173,28,reference_heldout_group_reconstruction
leave_chemical_system_out,24,Co-Mn-O,3174,27,reference_heldout_group_reconstruction
leave_chemical_system_out,25,Bi-O-P,3175,26,reference_heldout_group_reconstruction
leave_chemical_system_out,26,O-P-W,3176,25,reference_heldout_group_reconstruction
leave_chemical_system_out,27,Cr-Mn-O,3177,24,reference_heldout_group_reconstruction
leave_chemical_system_out,28,Co-Fe-O,3180,21,reference_heldout_group_reconstruction
leave_chemical_system_out,29,O-P-Ti,3181,20,reference_heldout_group_reconstruction
leave_chemical_system_out,30,Cr-O-V,3182,19,reference_heldout_group_reconstruction
leave_chemical_system_out,31,Cu-O,3182,19,reference_heldout_group_reconstruction
leave_chemical_system_out,32,O-Ti-V,3182,19,reference_heldout_group_reconstruction
leave_chemical_system_out,33,Co-Ni-O,3182,19,reference_heldout_group_reconstruction
leave_chemical_system_out,34,Fe-Mn-O,3182,19,reference_heldout_group_reconstruction
leave_chemical_system_out,35,Mn-O-V,3183,18,reference_heldout_group_reconstruction
leave_chemical_system_out,36,Mn-O-Si,3184,17,reference_heldout_group_reconstruction
leave_chemical_system_out,37,Mn-O-Ti,3184,17,reference_heldout_group_reconstruction
leave_chemical_system_out,38,Co-O-Si,3184,17,reference_heldout_group_reconstruction
leave_chemical_system_out,39,Cr-Fe-O,3184,17,reference_heldout_group_reconstruction
leave_chemical_system_out,40,Fe-Mn-O-P,3184,17,reference_heldout_group_reconstruction
leave_chemical_system_out,41,Mn-Ni-O,3185,16,reference_heldout_group_reconstruction
leave_chemical_system_out,42,O-Si-V,3185,16,reference_heldout_group_reconstruction
leave_chemical_system_out,43,C-Fe-O-P,3186,15,reference_heldout_group_reconstruction
leave_chemical_system_out,44,Fe-O-V,3186,15,reference_heldout_group_reconstruction
leave_chemical_system_out,45,Co-Cr-O,3186,15,reference_heldout_group_reconstruction
leave_chemical_system_out,46,Co-Fe-Mn-O-P,3186,15,reference_heldout_group_reconstruction
leave_chemical_system_out,47,C-Mn-O-P,3187,14,reference_heldout_group_reconstruction
leave_chemical_system_out,48,Mn-O-P-V,3188,13,reference_heldout_group_reconstruction
leave_chemical_system_out,49,Co-O-V,3188,13,reference_heldout_group_reconstruction
leave_chemical_system_out,50,C-Fe-O,3189,12,reference_heldout_group_reconstruction
leave_chemical_system_out,51,C-O-V,3189,12,reference_heldout_group_reconstruction
leave_chemical_system_out,52,Fe-Ni-O,3189,12,reference_heldout_group_reconstruction
leave_chemical_system_out,53,Fe-O-Ti,3190,11,reference_heldout_group_reconstruction
leave_chemical_system_out,54,O-W,3190,11,reference_heldout_group_reconstruction
leave_chemical_system_out,55,Nb-O-P,3190,11,reference_heldout_group_reconstruction
leave_chemical_system_out,56,F-Fe,3191,10,reference_heldout_group_reconstruction
leave_chemical_system_out,57,Mg-Mn-O,3191,10,reference_heldout_group_reconstruction
leave_chemical_system_out,58,B-Fe-O,3192,9,reference_heldout_group_reconstruction
leave_chemical_system_out,59,Mn-Ni-O-P,3192,9,reference_heldout_group_reconstruction
leave_chemical_system_out,60,C-Co-O,3193,8,reference_heldout_group_reconstruction
leave_chemical_system_out,61,C-Cu-O,3193,8,reference_heldout_group_reconstruction
leave_chemical_system_out,62,Cr-Ni-O,3193,8,reference_heldout_group_reconstruction
leave_chemical_system_out,63,Mo-O,3193,8,reference_heldout_group_reconstruction
leave_chemical_system_out,64,Co-Mn-O-P,3193,8,reference_heldout_group_reconstruction
leave_chemical_system_out,65,Cr-F,3193,8,reference_heldout_group_reconstruction
leave_chemical_system_out,66,C-Fe-Na-O-P,3194,7,reference_heldout_group_reconstruction
leave_chemical_system_out,67,Cr-Mn-O-P,3194,7,reference_heldout_group_reconstruction
leave_chemical_system_out,68,Cr-O-Si,3194,7,reference_heldout_group_reconstruction
leave_chemical_system_out,69,H-Mn-O-S,3194,7,reference_heldout_group_reconstruction
leave_chemical_system_out,70,H-O-P-V,3194,7,reference_heldout_group_reconstruction
leave_chemical_system_out,71,Mn-O-S,3194,7,reference_heldout_group_reconstruction
leave_chemical_system_out,72,S-V,3194,7,reference_heldout_group_reconstruction
leave_chemical_system_out,73,Co-O-Ti,3194,7,reference_heldout_group_reconstruction
leave_chemical_system_out,74,Mo-Se,3194,7,reference_heldout_group_reconstruction
leave_working_ion_out,0,Li,543,2658,reference_heldout_group_reconstruction
leave_working_ion_out,1,Na,2807,394,reference_heldout_group_reconstruction
leave_working_ion_out,2,K,3052,149,reference_heldout_group_reconstruction
