target,protocol,split_name,ad_flag,n_predictions,mae,median_absolute_error,rmse,median_tree_pred_std,median_knn_distance,conformal_coverage
average_voltage,P1,framework_groupkfold,borderline,246,0.6721989404033638,0.5646896948639307,0.8480088675739049,0.8863593605111999,5.933393101418997,0.9186991869918699
average_voltage,P1,framework_groupkfold,in_domain,2860,0.4893061704097079,0.3657108967028997,0.6636335227697189,0.6104579392628907,1.5775167773013847,0.9601398601398602
average_voltage,P1,framework_groupkfold,out_of_domain,95,0.757452277128126,0.6037085898680292,0.9672567081371771,1.0025107895249556,10.297721396931776,0.8526315789473684
average_voltage,P1,leave_chemical_system_out,borderline,188,0.8157284632999707,0.708314743376888,0.9958105951631944,0.8341255325603785,5.063447595406238,0.8457446808510638
average_voltage,P1,leave_chemical_system_out,in_domain,1833,0.5500790561181236,0.433140082738964,0.7101562447274311,0.758755671102499,2.763817121397968,0.9623567921440261
average_voltage,P1,leave_chemical_system_out,out_of_domain,17,0.5535404273892801,0.4646269118702393,0.7352397395534421,1.0758119548360074,7.980315167678286,0.8823529411764706
average_voltage,P1,leave_family_out,borderline,697,0.8775690890291433,0.7782384674077267,1.0689825038206064,1.116871725855863,5.688072596096445,0.7862266857962698
average_voltage,P1,leave_family_out,in_domain,864,0.6588871229874202,0.5030701132737347,0.8562781481926246,0.9475761302110521,4.189284152817031,0.9039351851851852
average_voltage,P1,leave_family_out,out_of_domain,1640,0.7742062110263913,0.6364397115333151,0.9849476336541594,0.9784862213304308,11.985237364653601,0.8774390243902439
average_voltage,P1,leave_working_ion_out,borderline,645,0.6764356474985013,0.5297807844709768,0.8895840229377647,0.915247122368034,6.554876150845601,0.9178294573643411
average_voltage,P1,leave_working_ion_out,in_domain,2204,0.5679852778354034,0.42673087653450703,0.7605105971968603,0.7235529666164657,4.958978472727351,0.9360254083484574
average_voltage,P1,leave_working_ion_out,out_of_domain,352,0.6918936335469005,0.5121871705115304,0.9026536543840336,0.9225204495288,9.50555504629935,0.8977272727272727
average_voltage,P1,random_split,borderline,169,0.7001140766088222,0.5713837366822856,0.8966490323760943,0.9152259561550772,6.03189395260979,0.8994082840236687
average_voltage,P1,random_split,in_domain,2925,0.4507493338725815,0.318643966388537,0.6246191906115804,0.4607672967738517,1.145586974649216,0.9528205128205128
average_voltage,P1,random_split,out_of_domain,111,0.77035602917387,0.5444335279500065,1.00338274519235,0.9938331295714972,9.978418782521166,0.8378378378378378
average_voltage,P2,framework_groupkfold,borderline,239,0.6782159646039596,0.5585785298557431,0.8722138352178745,0.9442640799445816,8.052604165234378,0.9037656903765691
average_voltage,P2,framework_groupkfold,in_domain,2874,0.4892544305943666,0.36745707981143383,0.6555696369064641,0.7233799007500382,3.1088250557058323,0.953723034098817
average_voltage,P2,framework_groupkfold,out_of_domain,88,0.6820701512776479,0.5310963206466396,0.8753507322717141,0.9960600920603913,14.157764293621398,0.8977272727272727
average_voltage,P2,leave_chemical_system_out,borderline,118,0.6909036004248659,0.582911346773874,0.8737873051488587,0.9728195073108499,7.368586146224512,0.847457627118644
average_voltage,P2,leave_chemical_system_out,in_domain,1909,0.542030994321883,0.4294233013959818,0.7040911972895549,0.8297270850481141,3.743320423900084,0.9439497118910424
average_voltage,P2,leave_chemical_system_out,out_of_domain,11,0.7501577338795169,0.4845831614444709,1.081748186473394,1.0802262931566005,10.56181199146504,0.7272727272727273
average_voltage,P2,leave_family_out,borderline,596,0.8822247678226559,0.7724085952694963,1.0711729726205637,1.1657520534139627,8.259906850354145,0.7651006711409396
average_voltage,P2,leave_family_out,in_domain,1125,0.6545976700960753,0.5398665978270079,0.8367915482992544,1.046965039783038,5.512792265150033,0.8986666666666666
average_voltage,P2,leave_family_out,out_of_domain,1480,0.7778575094117598,0.660858646300543,0.9823897342895992,0.9620471222402172,14.715401822278144,0.8641891891891892
average_voltage,P2,leave_working_ion_out,borderline,406,0.6724581267824538,0.5142778190819446,0.8770853291827169,0.9441559090069166,9.207951536330471,0.9039408866995073
average_voltage,P2,leave_working_ion_out,in_domain,2631,0.6002548829328295,0.4812882280603863,0.7776821551585811,0.873854733816148,6.042828679046418,0.9521094640820981
average_voltage,P2,leave_working_ion_out,out_of_domain,164,0.7469979393986791,0.618503460517503,0.9556543616421387,0.9957502234869275,13.070807177302882,0.8658536585365854
average_voltage,P2,random_split,borderline,180,0.6327729925909065,0.5238639192123659,0.8078779369738018,0.9292665068627559,8.053923664777624,0.9111111111111111
average_voltage,P2,random_split,in_domain,2916,0.4353892974164311,0.31764782851804324,0.5944231428932379,0.6627418299871963,2.8490309330140864,0.958161865569273
average_voltage,P2,random_split,out_of_domain,109,0.7529218701369034,0.4963617763253209,1.0136486480122284,0.9829713991770292,13.857549337298792,0.8256880733944955
average_voltage,P3,framework_groupkfold,borderline,238,0.5981117299495601,0.4425968459252638,0.7845930205807314,1.0113708344340597,9.430216806624724,0.865546218487395
average_voltage,P3,framework_groupkfold,in_domain,2872,0.41823814065402526,0.3237072931336584,0.5561229296990456,0.7219404816073016,4.34255253668836,0.9620473537604457
average_voltage,P3,framework_groupkfold,out_of_domain,91,0.6863546981706207,0.5274938638052445,0.8768129314007742,1.022656438542772,16.126408964236266,0.8351648351648352
average_voltage,P3,leave_chemical_system_out,borderline,114,0.5996012351801369,0.4841812986354712,0.7828352321020836,0.9493742953006246,9.012832246045647,0.8333333333333334
average_voltage,P3,leave_chemical_system_out,in_domain,1908,0.46554003691751716,0.37512863848495326,0.6062896012083059,0.7808844876798245,4.743304525803296,0.9439203354297694
average_voltage,P3,leave_chemical_system_out,out_of_domain,16,0.9639281440200105,0.8864610788577361,1.2249496888768818,1.0768033991281105,13.033507536855035,0.6875
average_voltage,P3,leave_family_out,borderline,492,0.7676274350219693,0.6691049362918227,0.9480727504500374,1.1100513961831855,9.573084581898682,0.7439024390243902
average_voltage,P3,leave_family_out,in_domain,1211,0.5851647864223053,0.4907848555260607,0.7458738200584328,1.0092874815403163,6.4266426492936,0.8786127167630058
average_voltage,P3,leave_family_out,out_of_domain,1498,0.6708303337552555,0.5455623263385445,0.8634964165970984,0.908386051924952,15.459486623299224,0.8551401869158879
average_voltage,P3,leave_working_ion_out,borderline,384,0.5600510549121518,0.393559947489527,0.7464295674417166,0.9422071825777107,10.364768576377346,0.8984375
average_voltage,P3,leave_working_ion_out,in_domain,2662,0.5743879578228781,0.4745496739873465,0.725131992852292,0.86799772074041,6.983459415834346,0.9342599549211119
average_voltage,P3,leave_working_ion_out,out_of_domain,155,0.7018219743233484,0.5322159214834219,0.89370804935058,1.006833761709049,14.733584343106106,0.8580645161290322
average_voltage,P3,random_split,borderline,194,0.5477769711161575,0.43667916187865896,0.7348553145561091,0.9619395568948224,9.478408618365778,0.8917525773195877
average_voltage,P3,random_split,in_domain,2902,0.36681226537067474,0.2650856306099394,0.5033709934913383,0.6789789647937792,4.141154949978886,0.9669193659545141
average_voltage,P3,random_split,out_of_domain,109,0.6717732376170092,0.4710102419226298,0.8900709920541752,1.0235018843678447,15.763488100773774,0.8165137614678899
capacity_grav,P1,framework_groupkfold,borderline,246,34.761638377409064,27.005693283592677,48.917925732312895,49.00352785671508,5.933393101418997,0.9796747967479674
capacity_grav,P1,framework_groupkfold,in_domain,2860,43.203408250249794,33.23439643004572,58.85836512552458,46.126791953445476,1.5775167773013847,0.9632867132867133
capacity_grav,P1,framework_groupkfold,out_of_domain,95,72.83173752842494,37.59420891003244,127.5958430062089,62.988452778937486,10.297721396931776,0.8526315789473684
capacity_grav,P1,leave_chemical_system_out,borderline,188,50.415251164344205,41.03223038294057,63.39148379477322,61.1876580195182,5.063447595406238,0.9521276595744681
capacity_grav,P1,leave_chemical_system_out,in_domain,1833,48.56088380516826,36.74907704991711,64.84113771784797,56.56411541412516,2.763817121397968,0.9476268412438625
capacity_grav,P1,leave_chemical_system_out,out_of_domain,17,70.34676113294624,64.71227822186404,89.28412642212423,66.43288643210592,7.980315167678286,0.8823529411764706
capacity_grav,P1,leave_family_out,borderline,697,60.55134092977419,41.16830433800323,84.88852803168045,58.11083672036661,5.688072596096445,0.8493543758967002
capacity_grav,P1,leave_family_out,in_domain,864,61.976022739661886,45.882821619791684,84.13791594844871,59.61494405462919,4.189284152817031,0.8217592592592593
capacity_grav,P1,leave_family_out,out_of_domain,1640,44.16404845533863,36.478787398478616,57.84287145126506,56.975855673799344,11.985237364653601,0.9768292682926829
capacity_grav,P1,leave_working_ion_out,borderline,645,46.608838108759905,38.50447271203405,60.61719266351951,50.01607818970704,6.554876150845601,0.958139534883721
capacity_grav,P1,leave_working_ion_out,in_domain,2204,49.58318793379467,37.93814430267297,67.0464170516044,46.40327400520401,4.958978472727351,0.9428312159709619
capacity_grav,P1,leave_working_ion_out,out_of_domain,352,46.53366804058126,30.370592989161935,82.20339086785627,45.732299756192106,9.50555504629935,0.9517045454545454
capacity_grav,P1,random_split,borderline,169,37.91975832756323,27.776361622666357,53.562732715750926,47.255743458815054,6.03189395260979,0.9644970414201184
capacity_grav,P1,random_split,in_domain,2925,39.680773629933284,27.541011568855737,57.08167510707835,35.57225174754424,1.145586974649216,0.9596581196581196
capacity_grav,P1,random_split,out_of_domain,111,61.2724150199297,35.28951395940401,95.9689009091273,64.07751211727822,9.978418782521166,0.8828828828828829
capacity_grav,P2,framework_groupkfold,borderline,239,30.877649451757296,24.210184120410325,46.21867089272526,58.18270007923089,8.052604165234378,0.9581589958158996
capacity_grav,P2,framework_groupkfold,in_domain,2874,26.718891970587826,18.725669043794163,38.2472407471465,45.81312112765264,3.1088250557058323,0.9575504523312457
capacity_grav,P2,framework_groupkfold,out_of_domain,88,60.112018583463254,30.560268526032814,110.35165363506356,80.04406542638793,14.157764293621398,0.8181818181818182
capacity_grav,P2,leave_chemical_system_out,borderline,118,48.163160700542264,34.46792598398493,70.54873465073236,67.96243028660493,7.368586146224512,0.847457627118644
capacity_grav,P2,leave_chemical_system_out,in_domain,1909,29.527093317617172,21.05412989401522,41.68262979518837,49.94937894709998,3.743320423900084,0.9408067050811943
capacity_grav,P2,leave_chemical_system_out,out_of_domain,11,52.08863961576747,46.08669463246319,60.97511149800588,97.76181593142432,10.56181199146504,0.8181818181818182
capacity_grav,P2,leave_family_out,borderline,596,41.70199614490267,29.182180723026825,61.5922557493101,56.96862204116955,8.259906850354145,0.8322147651006712
capacity_grav,P2,leave_family_out,in_domain,1125,43.802003570938965,30.86020959172076,59.78932807962429,61.633749628730776,5.512792265150033,0.7857777777777778
capacity_grav,P2,leave_family_out,out_of_domain,1480,34.40212784287007,29.292637739796618,48.049612052590476,49.35283724064389,14.715401822278144,0.9527027027027027
capacity_grav,P2,leave_working_ion_out,borderline,406,36.003482302992275,27.485333479752057,52.868329172545856,49.06379718727453,9.207951536330471,0.9334975369458128
