shortlist_priority_rank,battery_formula,formula_discharge,framework_formula,coarse_family,chemical_system_uid,average_voltage,capacity_grav,energy_grav,max_delta_volume,stability_worst,top20_probability_mc,final_triage_score,case_study_do_not_overclaim_flag
1,Na0-2VF5,Na2VF5,VF5,halide_or_fluoride_like,F-V,4.338141591551722,279.3085775932417,1211.680157334393,0.185321871033648,0.057393259583332,1.0,0.7802501772700956,False
2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,3.008840576551722,235.2621671087404,707.86635452427,0.095311966205387,0.011452050000005,1.0,0.6908771992361679,False
3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,3.056321886551724,235.2621671087404,719.0369104120325,0.167784901100262,0.00813656,0.998,0.6828218946525285,False
4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,3.956551765301722,219.4310432592394,868.1902815693422,0.036937405438655,0.096099300980394,0.994,0.679075598597492,False
7,Na0-2CoP2O7,Na2CoP2O7,CoP2O7,polyanion_phosphate_like,Co-O-P,4.392705956551719,192.22448585035423,844.3856439899428,0.048271376324257,0.080338579250005,0.974,0.6558121912130261,False
5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,3.78776930655172,198.64275476957155,752.4129294850634,0.18908059493695,0.001892827499998,0.972,0.6820599788634433,False
6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,3.92340555530173,189.48825786910663,743.4392835880998,0.066817102717882,0.053627843579542,0.968,0.6703273643635393,False
8,Na0-2MnPO4F,Na2MnPO4F,MnPO4F,polyanion_phosphate_like,F-Mn-O-P,3.864972674676721,249.4468036394037,964.105079851745,0.286561754856125,0.035307653035705,0.956,0.6534340768200189,False
9,Na0-2FeCSO7,Na2FeCSO7,FeCSO7,sulfate_or_sulfur_oxoanion_like,C-Fe-O-S,3.892605436551723,207.847172023377,809.0670317900984,0.128771071377676,0.089343333416668,0.94,0.6497400015960273,False
10,Na1-3FePCO7,Na3FePCO7,FePCO7,polyanion_phosphate_like,C-Fe-O-P,3.443899664051723,191.5797090750565,659.781295722714,0.010974811361596,0.040621705954548,0.938,0.6496645577277298,False
11,Na1-3MnPCO7,Na3MnPCO7,MnPCO7,polyanion_phosphate_like,C-Mn-O-P,3.369558361551721,192.2027348596324,647.6383323593827,0.073265602924694,0.0,0.874,0.6387079527038741,False
12,Na0-2MnH4(SO5)2,Na2MnH4(SO5)2,MnH4(SO5)2,sulfate_or_sulfur_oxoanion_like,H-Mn-O-S,4.239597669051729,162.89062405005873,690.5907100330106,0.133276296695113,0.018710770637256,0.8,0.6300531705498968,False
13,Na0-1CoPO4,NaCoPO4,CoPO4,polyanion_phosphate_like,Co-O-P,3.960957919051726,151.51125369018754,600.1297001296034,0.024417398488017,0.012940566666667,0.754,0.6189110881088994,False
14,Na1.5-3NiPCO7,Na3NiPCO7,NiPCO7,polyanion_phosphate_like,C-Ni-O-P,4.058584699885058,142.23676513448655,577.2799587359716,0.02189481609775,0.044120722608695,0.752,0.6144205395465183,False
15,Na0-3Cr2(PO4)3,Na3Cr2(PO4)3,Cr2(PO4)3,polyanion_phosphate_like,Cr-O-P,4.291304676551717,175.60325231964254,753.5670578969732,0.087594040190126,0.061561507205885,0.72,0.6130931828354983,False
16,Na0-2MnP2O7,Na2MnP2O7,MnP2O7,polyanion_phosphate_like,Mn-O-P,4.05877872905172,195.018501417946,791.536945326702,0.123101178662976,0.072622637499999,0.608,0.6048938521296092,False
17,Na1-3CoAsCO7,Na3CoAsCO7,CoAsCO7,transition_metal_oxide_like,As-C-Co-O,3.7624218903017272,164.00839402719313,617.0687718811425,0.077376141519508,0.043617186377407,0.602,0.58951450093898,False
18,Na2-6Fe2C4SO16,Na6Fe2C4SO16,Fe2C4SO16,sulfate_or_sulfur_oxoanion_like,C-Fe-O-S,3.904088337801721,183.03058987831173,714.5675914048866,0.034428311613011,0.083436778400001,0.552,0.5880287704175603,False
19,Na1-3FeAsCO7,Na3FeAsCO7,FeAsCO7,transition_metal_oxide_like,As-C-Fe-O,3.469605169051721,165.5728782903828,574.4725143710837,0.007168509450685,0.044741147196979,0.544,0.5785546901215265,False
20,Na1-3CrPCO7,Na3CrPCO7,CrPCO7,polyanion_phosphate_like,C-Cr-O-P,3.031012679051716,194.2518696590096,588.7798798659595,0.073593047086824,0.056423033579551,0.464,0.5846535152435602,False
21,Na0-6Mn3(PO4)4,Na6Mn3(PO4)4,Mn3(PO4)4,polyanion_phosphate_like,Mn-O-P,3.469875774885057,235.5697164078063,817.3976522599902,0.14024297968184,0.094573069673917,0.446,0.5781124568057849,False
22,Na0-1MnO2,NaMnO2,MnO2,transition_metal_oxide_like,Mn-O,2.745589469051722,243.81248636564385,669.4089949888283,0.075649825346243,0.013758580833332,0.436,0.5718044971246529,False
23,Na0-1VPO5,NaVPO5,VPO5,polyanion_phosphate_like,O-P-V,3.600908689051717,144.9496306764634,521.9503845777144,0.028865546752802,0.0056868725,0.434,0.5738794617621932,False
24,Na0-1VF4,NaVF4,VF4,halide_or_fluoride_like,F-V,4.179153189051728,178.7660645353225,747.09076869702,0.19147314460584,0.024513009999999,0.43,0.5681789644919614,False
25,Na1-3MnAsCO7,Na3MnAsCO7,MnAsCO7,transition_metal_oxide_like,As-C-Mn-O,3.390345429051724,166.03802903051624,562.9262727723682,0.062758297887686,0.012315709429295,0.322,0.5622555433824739,False
26,Na1-2.5MnPCO7,Na5Mn2P2(CO7)2,MnPCO7,polyanion_phosphate_like,C-Mn-O-P,3.611596209885063,150.3489705497081,542.9997721974468,0.056828403091353,0.019132283636364,0.23,0.5570288204314421,False
27,Na0-2MnCSO7,Na2MnCSO7,MnCSO7,sulfate_or_sulfur_oxoanion_like,C-Mn-O-S,4.100874681551726,208.58069746847025,855.3633013088498,0.21292472878333,0.087316613750001,0.206,0.5397827794855958,False
28,Na1-3VSiCO7,Na3VSiCO7,VSiCO7,silicate_like,C-O-Si-V,2.9326560578017262,197.067679986078,577.9317255081036,0.026909028376574,0.088130306363638,0.19,0.5409114031040865,False
29,Na0-1MnO2,NaMnO2,MnO2,transition_metal_oxide_like,Mn-O,2.692695221551724,243.81248636564385,656.5127169914138,0.163209534160819,0.015143706666666,0.114,0.5249631826747415,False
30,Na0-3.5Cr2(PO4)3,Na7Cr4(PO4)6,Cr2(PO4)3,polyanion_phosphate_like,Cr-O-P,3.702667313694579,199.85318274074345,739.9898472719805,0.162168072105599,0.062883002352944,0.08,0.5294724695993619,False
