record_index,working_ion,electrode_uid,framework_uid,chemical_system_uid,host_chemsys_no_working_ion,coarse_family,battery_formula,formula_charge,formula_discharge,framework_formula,id_charge,id_discharge,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge,stability_worst,chemsys,mask_raw_all_records,mask_voltage_0_to_6,mask_capacity_grav_positive_le_1000,mask_capacity_vol_positive_le_10000,mask_energy_grav_nonnegative_le_6000,mask_energy_vol_nonnegative_le_50000,mask_volume_change_0_to_2,mask_stability_charge_0_to_2,mask_stability_discharge_0_to_2,mask_stability_worst_0_to_2,mask_physics_plausible_primary,mask_physics_plausible_all_targets,fracA_charge,fracA_discharge,num_steps,max_voltage_step,summary_worst_energy_above_hull,charge_summary_energy_above_hull,discharge_summary_energy_above_hull,charge_summary_formula_pretty,discharge_summary_formula_pretty,case_voltage_window_pass,case_capacity_pass,case_energy_pass,case_volume_pass,case_stability_pass,case_physics_plausible,case_screen_pass
Na_000000,Na,el_5f2cc37ca996cca9,Na|Ag,Ag,Ag,other_or_unclear,Na0-3Ag,Ag,Na3Ag,Ag,mp-aaaaaaeu,mp-aaacpmmb,-0.008958720114942,454.67980417842375,1215.8776300808904,-4.073349107551401,-10.892707381914397,5.0988459020016,0.003609163333333,0.045181525280172,0.045181525280172,Ag,True,False,True,True,False,False,False,True,True,True,False,False,0.0,0.75,1.0,0.0,0.0794319581250011,0.0021267149999992,0.0794319581250011,Ag,Na3Ag,False,True,False,False,True,False,False
Na_000001,Na,el_7d310eeb3c473e56,Na|AgAsF6,Ag-As-F,Ag-As-F,halide_or_fluoride_like,Na0-2AgAsF6,AgAsF6,Na2AgAsF6,AgAsF6,mp-aaaaccyz,mp-aaaclfqj,2.364645136551722,156.38639331826263,515.7775368981884,369.79832438289446,1219.6308441689275,0.143001846170971,0.0,0.218388284458332,0.218388284458332,Ag-As-F,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.2,1.0,0.0,0.2194264519583306,0.0,0.2194264519583306,AgAsF6,Na2AgAsF6,True,True,True,True,False,True,False
Na_000002,Na,el_fec6585a28e00c3e,Na|TiAgF6,Ag-F-Ti,Ag-F-Ti,halide_or_fluoride_like,Na0-2TiAgF6,TiAgF6,Na2TiAgF6,TiAgF6,mp-aaaaapzu,mp-aaaclfyx,2.412688231551723,169.78804740173712,539.0386884398923,409.6456238243172,1300.532299950004,0.352927888353569,0.005566011875,0.395014881333334,0.395014881333334,Ag-F-Ti,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.2,1.0,0.0,0.3960530488333349,0.0184911846874999,0.3960530488333349,TiAgF6,Na2TiAgF6,True,True,True,False,False,True,False
Na_000003,Na,el_5e257962e1178598,Na|Mn3Ag(PO4)3,Ag-Mn-O-P,Ag-Mn-O-P,polyanion_phosphate_like,Na0-1Mn3Ag(PO4)3,Mn3Ag(PO4)3,NaMn3Ag(PO4)3,Mn3Ag(PO4)3,mp-aaacrnsr,mp-aaacqwfh,4.169085676551706,46.162794765129206,187.7947913058404,192.45664644489625,782.9325745641961,0.037967644111603,0.036993177368408,0.0,0.036993177368408,Ag-Mn-O-P,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.05,1.0,0.0,0.0380558805262936,0.0380558805262936,0.0,Mn3Ag(PO4)3,NaMn3Ag(PO4)3,True,False,True,True,True,True,False
Na_000004,Na,el_da0a3c28cc9ac8d4,Na|AgO,Ag-O,Ag-O,transition_metal_oxide_like,Na0-1AgO,AgO,NaAgO,AgO,mp-aaaaameg,mp-aaacfkko,1.986622916551724,182.5000766169512,956.0419797919376,362.5588344796806,1899.2949062401435,0.43129094472497,0.308693457499999,0.291835399166662,0.308693457499999,Ag-O,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.333333333333333,1.0,0.0,0.3086934574999995,0.3086934574999995,0.2918353991666662,AgO,NaAgO,False,True,True,False,False,True,False
Na_000005,Na,el_2cc2f4668b72161b,Na|BiBAsO7,As-B-Bi-O,As-B-Bi-O,oxide_like_other,Na2-3BiBAsO7,Na2BiBAsO7,Na3BiBAsO7,BiBAsO7,mp-aaacoygu,mp-aaabrvtr,3.620408901551716,56.34373477279911,236.9323263825264,203.98735891811089,857.7919035006548,0.030114456553893,0.068633205382657,0.022576822807114,0.068633205382657,As-B-Bi-O,True,True,True,True,True,True,True,True,True,True,True,True,0.166666666666666,0.23076923076923,1.0,0.0,0.0686332053826577,0.0686332053826577,0.0225768228071139,Na2BiBAsO7,Na3BiBAsO7,True,True,True,True,True,True,True
Na_000006,Na,el_274f65a2233e7ef0,Na|CoBAsO7,As-B-Co-O,As-B-Co-O,transition_metal_oxide_like,Na2-3CoBAsO7,Na2CoBAsO7,Na3CoBAsO7,CoBAsO7,mp-aaabrxrj,mp-aaabrwqk,3.710628494051722,82.30631955264056,270.4632622527544,305.40817457255446,1003.588687509254,0.031365919245627,0.113282797106482,0.077535184001836,0.113282797106482,As-B-Co-O,True,True,True,True,True,True,True,True,True,True,True,True,0.166666666666666,0.23076923076923,1.0,0.0,0.1132827971064811,0.1132827971064811,0.0775351840018352,Na2CoBAsO7,Na3CoBAsO7,True,True,True,True,False,True,False
Na_000007,Na,el_8d4d19bee02126e8,Na|VBAsO7,As-B-O-V,As-B-O-V,transition_metal_oxide_like,Na2-3VBAsO7,Na2VBAsO7,Na3VBAsO7,VBAsO7,mp-aaabrzuc,mp-aaabqzkj,2.894381646551725,84.37711870527087,266.1884261563742,244.21958376945227,770.4508951914986,0.031270444906714,0.082882653769846,0.02130689807691,0.082882653769846,As-B-O-V,True,True,True,True,True,True,True,True,True,True,True,True,0.166666666666666,0.23076923076923,1.0,0.0,0.0858846764285505,0.0858846764285505,0.0214500956524714,Na2VBAsO7,Na3VBAsO7,True,True,True,True,True,True,True
Na_000008,Na,el_9888ef10c28e81a9,Na|BiAsCO7,As-Bi-C-O,As-Bi-C-O,organic_or_carbon_like,Na1-3BiAsCO7,NaBiAsCO7,Na3BiAsCO7,BiAsCO7,mp-aaabrtou,mp-aaabqyrn,2.6098949865517262,112.40397730714368,472.0188840568522,293.3625768423883,1231.9197190577192,0.047165357845285,0.070810229318184,0.09652927391025,0.09652927391025,As-Bi-C-O,True,True,True,True,True,True,True,True,True,True,True,True,0.09090909090909,0.23076923076923,2.0,3.7507043100000033,0.096529273910245,0.0726917094318242,0.096529273910245,NaBiAsCO7,Na3BiAsCO7,True,True,True,True,True,True,True
Na_000009,Na,el_4bbcac8375a040b1,Na|FeBAsO7,As-B-Fe-O,As-B-Fe-O,transition_metal_oxide_like,Na2-3FeBAsO7,Na2FeBAsO7,Na3FeBAsO7,FeBAsO7,mp-aaabravq,mp-aaabrxcz,3.612905546551719,83.09436392113066,268.4581686410172,300.21208829784,969.914006500248,0.0252830495528,0.055858720148803,0.030033047390109,0.055858720148803,As-B-Fe-O,True,True,True,True,True,True,True,True,True,True,True,True,0.166666666666666,0.23076923076923,1.0,0.0,0.0558587201488078,0.0558587201488078,0.0300330473901135,Na2FeBAsO7,Na3FeBAsO7,True,True,True,True,True,True,True
