shortlist_priority_rank,record_index,electrode_uid,battery_formula,formula_charge,formula_discharge,framework_formula,coarse_family,chemical_system_uid,average_voltage,capacity_grav,energy_grav,max_delta_volume,stability_worst,case_screen_pass,computed_pareto_member,predicted_pareto_member,computed_target_score,predicted_transfer_score,uncertainty_penalty_norm,ad_penalty_norm,final_triage_score,mc_score_mean,rank_median_mc,rank_iqr_mc,top10_probability_mc,top20_probability_mc,top30_probability_mc,prediction_coverage_n_targets,high_uncertainty_flag,out_of_domain_flag,case_study_do_not_overclaim_flag,pred_average_voltage,unc_tree_std_average_voltage,conf_lower_average_voltage,conf_upper_average_voltage,conf_width_average_voltage,ad_flag_average_voltage,pred_capacity_grav,unc_tree_std_capacity_grav,conf_lower_capacity_grav,conf_upper_capacity_grav,conf_width_capacity_grav,ad_flag_capacity_grav,pred_energy_grav,unc_tree_std_energy_grav,conf_lower_energy_grav,conf_upper_energy_grav,conf_width_energy_grav,ad_flag_energy_grav,pred_max_delta_volume,unc_tree_std_max_delta_volume,conf_lower_max_delta_volume,conf_upper_max_delta_volume,conf_width_max_delta_volume,ad_flag_max_delta_volume,pred_stability_worst,unc_tree_std_stability_worst,conf_lower_stability_worst,conf_upper_stability_worst,conf_width_stability_worst,ad_flag_stability_worst
1,Na_000319,el_1f4ac68c330847f2,Na0-2VF5,VF5,Na2VF5,VF5,halide_or_fluoride_like,F-V,4.338141591551722,279.3085775932417,1211.680157334393,0.185321871033648,0.057393259583332,True,True,True,0.848012331939526,0.8232830542454594,0.3638791085524627,0.0,0.7802501772700956,0.7651503252885961,1.0,0.0,1.0,1.0,1.0,5,False,False,False,4.305297807116134,0.719760165945773,3.135353409985264,5.475242204247005,2.339888794261741,in_domain,223.33050428441013,93.70469306347998,155.1187365727665,291.54227199605384,136.42353542328735,in_domain,907.0155782596,367.4408493863708,629.8832562970899,1184.14790022211,554.2646439250202,in_domain,0.1079609667029067,0.1425229884184818,0.0090841256517759,0.2068378077540374,0.1977536821022614,in_domain,0.0646386067951994,0.0953434923046155,-0.0445093059361162,0.1737865195265152,0.2182958254626315,in_domain
2,Na_000286,el_218b2b75403fd262,Na0-1CoO2,CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,3.008840576551722,235.2621671087404,707.86635452427,0.095311966205387,0.011452050000005,True,True,True,0.7410214314753675,0.727903956619493,0.33565375677532455,0.0,0.6908771992361679,0.6919496329638789,5.0,4.0,0.932,1.0,1.0,5,False,False,False,3.638719508527053,0.7302998769645848,2.4687751113961824,4.808663905657923,2.339888794261741,in_domain,261.22293352617885,101.19799646038064,193.0111658145352,329.43470123782254,136.42353542328735,in_domain,872.263115572493,301.17995950761025,595.1307936099829,1149.395437535003,554.2646439250202,in_domain,0.1473459760208392,0.1285609369018125,0.0484691349697085,0.2462228170719699,0.1977536821022614,in_domain,0.1024455833439842,0.089181041181399,-0.0067023293873314,0.2115934960753,0.2182958254626315,in_domain
3,Na_000289,el_5a30cbfdb370aa8c,Na0-1CoO2,CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,3.056321886551724,235.2621671087404,719.0369104120325,0.167784901100262,0.00813656,True,True,True,0.7335548408033731,0.7254340831106556,0.3953853518130733,0.0,0.6828218946525285,0.6831185850666215,6.0,5.0,0.882,0.998,1.0,5,False,False,False,3.700163842863268,0.72899967353791,2.530219445732397,4.8701082399941376,2.33988879426174,in_domain,267.41888489801966,139.66502309880286,199.207117186376,335.63065260966334,136.42353542328735,in_domain,826.7470064868662,392.4177334242236,549.6146845243561,1103.8793284493763,554.2646439250202,in_domain,0.1551823841165687,0.132677951769161,0.056305543065438,0.2540592251676994,0.1977536821022614,in_domain,0.0912933352532313,0.0880169671877927,-0.0178545774780844,0.200441247984547,0.2182958254626315,in_domain
4,Na_000338,el_030f8a9ce924189c,Na0-4Fe2(PO4)3,Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,3.956551765301722,219.4310432592394,868.1902815693422,0.036937405438655,0.096099300980394,True,True,True,0.7508865620442886,0.6798433072071101,0.24588070942729073,0.0,0.679075598597492,0.6798249395499198,5.0,6.0,0.85,0.994,1.0,5,False,False,False,4.444125553675124,0.7660013357993182,3.274181156544254,5.614069950805995,2.339888794261741,in_domain,186.7716178337525,60.53191249538022,118.55985012210884,254.9833855453961,136.42353542328732,in_domain,739.2524821254094,252.4246104345076,462.12016016289925,1016.3848040879196,554.2646439250202,in_domain,0.0782328828023901,0.0870873320511817,-0.0206439582487405,0.1771097238535208,0.1977536821022614,in_domain,0.1138774402578187,0.0793059851010068,0.0047295275265029,0.2230253529891344,0.2182958254626315,in_domain
5,Na_000310,el_e5632c248f40c596,Na0-1MnF3,MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,3.78776930655172,198.64275476957155,752.4129294850634,0.18908059493695,0.001892827499998,True,True,True,0.7629278914052875,0.665609346764124,0.17969630521320035,0.0,0.6820599788634433,0.6739097533810495,7.0,6.0,0.764,0.972,0.998,5,False,False,False,4.136462173632292,0.5501432895784294,2.9665177765014223,5.306406570763162,2.33988879426174,in_domain,163.93010263172502,55.44557704935837,95.71833492008136,232.14187034336868,136.42353542328732,in_domain,706.0764571714968,231.2377057711533,428.94413520898667,983.208779134007,554.2646439250204,in_domain,0.1883670877033333,0.1396342300165833,0.0894902466522026,0.2872439287544641,0.1977536821022614,in_domain,0.0442211135796509,0.0435485490054072,-0.0649267991516648,0.1533690263109667,0.2182958254626315,in_domain
6,Na_000056,el_7866a4da483e62fa,Na1-3CoPCO7,NaCoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,3.92340555530173,189.48825786910663,743.4392835880998,0.066817102717882,0.053627843579542,True,True,True,0.7160761140499109,0.6874613591810823,0.18774164317346145,0.0,0.6703273643635393,0.6707280164607322,7.0,7.0,0.718,0.968,1.0,5,False,False,False,4.195609488898089,0.601167536272913,3.025665091767219,5.365553886028959,2.33988879426174,in_domain,177.2534183278008,59.48083181285785,109.04165061615714,245.4651860394445,136.42353542328732,in_domain,713.0503060023059,256.91646126408534,435.9179840397957,990.182627964816,554.2646439250202,in_domain,0.0754771770680616,0.0684510927043083,-0.023399663983069,0.1743540181191923,0.1977536821022614,in_domain,0.0672729250051375,0.0606279149406243,-0.0418749877261782,0.1764208377364532,0.2182958254626315,in_domain
7,Na_000294,el_3df781b198a5b73c,Na0-2CoP2O7,CoP2O7,Na2CoP2O7,CoP2O7,polyanion_phosphate_like,Co-O-P,4.392705956551719,192.22448585035423,844.3856439899428,0.048271376324257,0.080338579250005,True,True,True,0.7626516507511194,0.6064800345459221,0.1716177861773773,0.0,0.6558121912130261,0.6616427457893053,8.0,7.0,0.652,0.974,1.0,5,False,False,False,4.81643827521231,0.4457553927724701,3.64649387808144,5.986382672343179,2.33988879426174,in_domain,144.4220626655712,45.22767708319184,76.21029495392753,212.63383037721485,136.42353542328732,in_domain,636.2693942939343,225.4609369290509,359.1370723314241,913.4017162564444,554.2646439250202,in_domain,0.0653508440830396,0.0812929125256088,-0.0335259969680911,0.1642276851341703,0.1977536821022614,in_domain,0.0915890878437362,0.0660310206610062,-0.0175588248875795,0.2007370005750519,0.2182958254626315,in_domain
8,Na_000311,el_3fc83ce88abbdd49,Na0-2MnPO4F,MnPO4F,Na2MnPO4F,MnPO4F,polyanion_phosphate_like,F-Mn-O-P,3.864972674676721,249.4468036394037,964.105079851745,0.286561754856125,0.035307653035705,True,True,True,0.8136700518680847,0.5597096625243446,0.243113244276238,0.0,0.6534340768200189,0.6565886543790949,9.0,8.0,0.612,0.956,0.994,5,False,False,False,4.0969907508136165,0.579924769012243,2.9270463536827465,5.266935147944487,2.339888794261741,in_domain,146.04065001386448,71.32519228367288,77.82888230222082,214.2524177255081,136.42353542328732,in_domain,526.5350745982613,304.40018392411537,249.4027526357512,803.6673965607715,554.2646439250204,in_domain,0.0991861649697832,0.0885230200182271,0.0003093239186525,0.198063006020914,0.1977536821022614,in_domain,0.066917023746866,0.0725592309233194,-0.0422308889844497,0.1760649364781817,0.2182958254626315,in_domain
9,Na_000078,el_f50e88fc70435438,Na0-2FeCSO7,FeCSO7,Na2FeCSO7,FeCSO7,sulfate_or_sulfur_oxoanion_like,C-Fe-O-S,3.892605436551723,207.847172023377,809.0670317900984,0.128771071377676,0.089343333416668,True,True,True,0.6915374778650605,0.6661958099159028,0.1873329650901044,0.0,0.6497400015960273,0.6525089949715339,9.0,7.0,0.59,0.94,0.994,5,False,False,False,4.083087572707156,0.5933376144190086,2.913143175576286,5.253031969838027,2.339888794261741,in_domain,190.23695481237485,65.21498747512004,122.0251871007312,258.44872252401854,136.42353542328735,in_domain,690.8012991470755,282.33795427881023,413.6689771845653,967.9336211095856,554.2646439250202,in_domain,0.0810297263459501,0.0678785262142665,-0.0178471147051806,0.1799065673970808,0.1977536821022614,in_domain,0.0792777057936075,0.0546335382695773,-0.0298702069377081,0.1884256185249233,0.2182958254626315,in_domain
10,Na_000073,el_31d54be5f7dfc2b4,Na1-3FePCO7,NaFePCO7,Na3FePCO7,FePCO7,polyanion_phosphate_like,C-Fe-O-P,3.443899664051723,191.5797090750565,659.781295722714,0.010974811361596,0.040621705954548,True,True,True,0.6823309084361946,0.6760035501660282,0.19309914405450998,0.0,0.6496645577277298,0.6521689010336567,10.0,8.0,0.552,0.938,0.996,5,False,False,False,4.093920890113781,0.6098587039020411,2.92397649298291,5.26386528724465,2.33988879426174,in_domain,179.97937605977717,60.432233869287394,111.7676083481335,248.19114377142083,136.42353542328732,in_domain,699.4187754707217,224.1597432656398,422.28645350821154,976.551097433232,554.2646439250204,in_domain,0.0644148582439092,0.0631366263747356,-0.0344619828072215,0.1632916992950399,0.1977536821022614,in_domain,0.0702317373956926,0.0685032069471698,-0.0389161753356231,0.1793796501270083,0.2182958254626315,in_domain
