record_index,working_ion,electrode_uid,framework_uid,chemical_system_uid,host_chemsys_no_working_ion,coarse_family,battery_formula,formula_charge,formula_discharge,framework_formula,id_charge,id_discharge,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge,stability_worst,chemsys,mask_raw_all_records,mask_voltage_0_to_6,mask_capacity_grav_positive_le_1000,mask_capacity_vol_positive_le_10000,mask_energy_grav_nonnegative_le_6000,mask_energy_vol_nonnegative_le_50000,mask_volume_change_0_to_2,mask_stability_charge_0_to_2,mask_stability_discharge_0_to_2,mask_stability_worst_0_to_2,mask_physics_plausible_primary,mask_physics_plausible_all_targets,fracA_charge,fracA_discharge,num_steps,max_voltage_step,summary_worst_energy_above_hull,charge_summary_energy_above_hull,discharge_summary_energy_above_hull,charge_summary_formula_pretty,discharge_summary_formula_pretty,case_voltage_window_pass,case_capacity_pass,case_energy_pass,case_volume_pass,case_stability_pass,case_physics_plausible,case_screen_pass,pred_average_voltage,unc_true_average_voltage,unc_abs_error_average_voltage,unc_tree_std_average_voltage,conf_lower_average_voltage,conf_upper_average_voltage,conf_width_average_voltage,knn_mean_distance_average_voltage,domain_pct_average_voltage,ad_flag_num_average_voltage,ad_flag_average_voltage,selected_protocol_average_voltage,pred_capacity_grav,unc_true_capacity_grav,unc_abs_error_capacity_grav,unc_tree_std_capacity_grav,conf_lower_capacity_grav,conf_upper_capacity_grav,conf_width_capacity_grav,knn_mean_distance_capacity_grav,domain_pct_capacity_grav,ad_flag_num_capacity_grav,ad_flag_capacity_grav,selected_protocol_capacity_grav,pred_energy_grav,unc_true_energy_grav,unc_abs_error_energy_grav,unc_tree_std_energy_grav,conf_lower_energy_grav,conf_upper_energy_grav,conf_width_energy_grav,knn_mean_distance_energy_grav,domain_pct_energy_grav,ad_flag_num_energy_grav,ad_flag_energy_grav,selected_protocol_energy_grav,pred_max_delta_volume,unc_true_max_delta_volume,unc_abs_error_max_delta_volume,unc_tree_std_max_delta_volume,conf_lower_max_delta_volume,conf_upper_max_delta_volume,conf_width_max_delta_volume,knn_mean_distance_max_delta_volume,domain_pct_max_delta_volume,ad_flag_num_max_delta_volume,ad_flag_max_delta_volume,selected_protocol_max_delta_volume,pred_stability_worst,unc_true_stability_worst,unc_abs_error_stability_worst,unc_tree_std_stability_worst,conf_lower_stability_worst,conf_upper_stability_worst,conf_width_stability_worst,knn_mean_distance_stability_worst,domain_pct_stability_worst,ad_flag_num_stability_worst,ad_flag_stability_worst,selected_protocol_stability_worst,prediction_coverage_n_targets,prediction_coverage_complete_primary,computed_target_score,predicted_transfer_score,predicted_transfer_score_filled,uncertainty_penalty_raw,uncertainty_penalty_norm,ad_penalty_norm,missing_prediction_penalty,uncertainty_penalized_score,screened_uncertainty_penalized_score,rank_computed_score,rank_predicted_transfer_score,rank_uncertainty_penalized_score,computed_pareto_front,computed_pareto_member,predicted_pareto_front,predicted_pareto_member,pareto_support_score,final_triage_score,final_triage_rank
Na_000319,Na,el_1f4ac68c330847f2,Na|VF5,F-V,F-V,halide_or_fluoride_like,Na0-2VF5,VF5,Na2VF5,VF5,mp-aaackqzl,mp-aaacltzi,4.338141591551722,279.3085775932417,824.4431308117136,1211.680157334393,3576.551035643411,0.185321871033648,0.057393259583332,0.0,0.057393259583332,F-V,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.25,1.0,0.0,0.0573932595833328,0.0573932595833328,0.0,VF5,Na2VF5,True,True,True,True,True,True,True,4.305297807116134,4.338141591551722,0.0328437844355873,0.719760165945773,3.135353409985264,5.475242204247005,2.339888794261741,6.383486435578537,80.66815144766147,0.0,in_domain,P3,223.33050428441013,279.3085775932417,55.97807330883154,93.70469306347998,155.1187365727665,291.54227199605384,136.42353542328735,6.512471012485949,80.44543429844097,0.0,in_domain,P3,907.0155782596,1211.680157334393,304.664579074793,367.4408493863708,629.8832562970899,1184.14790022211,554.2646439250202,6.383486435578537,80.66815144766147,0.0,in_domain,P3,0.1079609667029067,0.185321871033648,0.0773609043307412,0.1425229884184818,0.0090841256517759,0.2068378077540374,0.1977536821022614,5.912868505655411,81.33630289532294,0.0,in_domain,P3,0.0646386067951994,0.057393259583332,0.0072453472118674,0.0953434923046155,-0.0445093059361162,0.1737865195265152,0.2182958254626315,5.289695447258458,73.80846325167037,0.0,in_domain,P3,5,True,0.848012331939526,0.8232830542454594,0.8232830542454594,0.5159522873082036,0.3638791085524627,0.0,0.0,0.7302501772700956,0.7302501772700956,1.0,1.0,1.0,1,True,1,True,1.0,0.7802501772700956,1.0
Na_000286,Na,el_218b2b75403fd262,Na|CoO2,Co-O,Co-O,transition_metal_oxide_like,Na0-1CoO2,CoO2,NaCoO2,CoO2,mp-aaacupmn,mp-aaabxjhz,3.008840576551722,235.2621671087404,1146.4373117065732,707.86635452427,3449.4471019356124,0.095311966205387,0.007578856666667,0.011452050000005,0.011452050000005,Co-O,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.25,3.0,1.364667017500004,0.0965016333333323,0.0965016333333323,0.0138952875000057,CoO2,NaCoO2,True,True,True,True,True,True,True,3.638719508527053,3.008840576551722,0.6298789319753304,0.7302998769645848,2.4687751113961824,4.808663905657923,2.339888794261741,6.913207998127662,84.2316258351893,0.0,in_domain,P3,261.22293352617885,235.2621671087404,25.960766417438435,101.19799646038064,193.0111658145352,329.43470123782254,136.42353542328735,7.003042384681703,83.56347438752783,0.0,in_domain,P3,872.263115572493,707.86635452427,164.39676104822297,301.17995950761025,595.1307936099829,1149.395437535003,554.2646439250202,6.913207998127662,84.2316258351893,0.0,in_domain,P3,0.1473459760208392,0.095311966205387,0.0520340098154522,0.1285609369018125,0.0484691349697085,0.2462228170719699,0.1977536821022614,5.994753204401146,81.82628062360801,0.0,in_domain,P3,0.1024455833439842,0.011452050000005,0.0909935333439792,0.089181041181399,-0.0067023293873314,0.2115934960753,0.2182958254626315,6.495994528842192,84.76614699331849,0.0,in_domain,P3,5,True,0.7410214314753675,0.727903956619493,0.727903956619493,0.5011341334308306,0.33565375677532455,0.0,0.0,0.6408771992361678,0.6408771992361678,9.0,3.0,2.0,1,True,1,True,1.0,0.6908771992361679,2.0
Na_000289,Na,el_5a30cbfdb370aa8c,Na|CoO2,Co-O,Co-O,transition_metal_oxide_like,Na0-1CoO2,CoO2,NaCoO2,CoO2,mp-aaaablio,mp-aaaabbzt,3.056321886551724,235.2621671087404,1148.1636570771243,719.0369104120325,3509.157714468084,0.167784901100262,0.00813656,0.0,0.00813656,Co-O,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.25,2.0,1.534020794999998,0.0887415516666658,0.0887415516666658,0.0,CoO2,NaCoO2,True,True,True,True,True,True,True,3.700163842863268,3.056321886551724,0.6438419563115434,0.72899967353791,2.530219445732397,4.8701082399941376,2.33988879426174,7.430481350715418,86.14699331848553,0.0,in_domain,P3,267.41888489801966,235.2621671087404,32.15671778927924,139.66502309880286,199.207117186376,335.63065260966334,136.42353542328735,7.537060087265823,85.87973273942093,0.0,in_domain,P3,826.7470064868662,719.0369104120325,107.7100960748337,392.4177334242236,549.6146845243561,1103.8793284493763,554.2646439250202,7.430481350715418,86.14699331848553,0.0,in_domain,P3,0.1551823841165687,0.167784901100262,0.0126025169836932,0.132677951769161,0.056305543065438,0.2540592251676994,0.1977536821022614,6.4744112513527865,85.12249443207128,0.0,in_domain,P3,0.0912933352532313,0.00813656,0.0831567752532313,0.0880169671877927,-0.0178545774780844,0.200441247984547,0.2182958254626315,6.464050214428957,84.543429844098,0.0,in_domain,P3,5,True,0.7335548408033731,0.7254340831106556,0.7254340831106556,0.5324928911036831,0.3953853518130733,0.0,0.0,0.6328218946525285,0.6328218946525285,12.0,4.0,3.0,1,True,1,True,1.0,0.6828218946525285,3.0
Na_000310,Na,el_e5632c248f40c596,Na|MnF3,F-Mn,F-Mn,halide_or_fluoride_like,Na0-1MnF3,MnF3,NaMnF3,MnF3,mp-aaacoyhp,mp-aaabfwtu,3.78776930655172,198.64275476957155,667.8890055260309,752.4129294850634,2529.809475314852,0.18908059493695,0.001892827499998,0.0,0.001892827499998,F-Mn,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.2,1.0,0.0,0.0018928274999989,0.0018928274999989,0.0,MnF3,NaMnF3,True,True,True,True,True,True,True,4.136462173632292,3.78776930655172,0.3486928670805724,0.5501432895784294,2.9665177765014223,5.306406570763162,2.33988879426174,6.92046307560268,84.2316258351893,0.0,in_domain,P3,163.93010263172502,198.64275476957155,34.71265213784653,55.44557704935837,95.71833492008136,232.14187034336868,136.42353542328732,6.952054620235711,83.34075723830735,0.0,in_domain,P3,706.0764571714968,752.4129294850634,46.33647231356656,231.2377057711533,428.94413520898667,983.208779134007,554.2646439250204,6.92046307560268,84.2316258351893,0.0,in_domain,P3,0.1883670877033333,0.18908059493695,0.0007135072336166,0.1396342300165833,0.0894902466522026,0.2872439287544641,0.1977536821022614,6.377660505817597,84.543429844098,0.0,in_domain,P3,0.0442211135796509,0.001892827499998,0.0423282860796529,0.0435485490054072,-0.0649267991516648,0.1533690263109667,0.2182958254626315,5.52253117002257,75.99109131403118,0.0,in_domain,P3,5,True,0.7629278914052875,0.665609346764124,0.665609346764124,0.4192573322551455,0.17969630521320035,0.0,0.0,0.6320599788634432,0.6320599788634432,5.0,13.0,4.0,1,True,1,True,1.0,0.6820599788634433,4.0
Na_000338,Na,el_030f8a9ce924189c,Na|Fe2(PO4)3,Fe-O-P,Fe-O-P,polyanion_phosphate_like,Na0-4Fe2(PO4)3,Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,mp-aaaabnik,mp-aaaabbjh,3.956551765301722,219.4310432592394,700.5856768559169,868.1902815693422,2771.90349650938,0.036937405438655,0.096099300980394,0.018703343928559,0.096099300980394,Fe-O-P,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.19047619047619,2.0,2.288566198333332,0.1053450810539242,0.1053450810539242,0.0187033439285588,Fe2(PO4)3,Na4Fe2(PO4)3,True,True,True,True,True,True,True,4.444125553675124,3.956551765301722,0.4875737883734019,0.7660013357993182,3.274181156544254,5.614069950805995,2.339888794261741,6.767141121117547,83.20712694877506,0.0,in_domain,P3,186.7716178337525,219.4310432592394,32.65942542548692,60.53191249538022,118.55985012210884,254.9833855453961,136.42353542328732,6.84280982807409,82.85077951002228,0.0,in_domain,P3,739.2524821254094,868.1902815693422,128.93779944393282,252.4246104345076,462.12016016289925,1016.3848040879196,554.2646439250202,6.767141121117547,83.20712694877506,0.0,in_domain,P3,0.0782328828023901,0.036937405438655,0.0412954773637351,0.0870873320511817,-0.0206439582487405,0.1771097238535208,0.1977536821022614,6.412402659610956,84.76614699331849,0.0,in_domain,P3,0.1138774402578187,0.096099300980394,0.0177781392774246,0.0793059851010068,0.0047295275265029,0.2230253529891344,0.2182958254626315,6.662282318022699,85.74610244988864,0.0,in_domain,P3,5,True,0.7508865620442886,0.6798433072071101,0.6798433072071101,0.45400377912568607,0.24588070942729073,0.0,0.0,0.629075598597492,0.629075598597492,7.0,10.0,5.0,1,True,1,True,1.0,0.679075598597492,5.0
Na_000056,Na,el_7866a4da483e62fa,Na|CoPCO7,C-Co-O-P,C-Co-O-P,polyanion_phosphate_like,Na1-3CoPCO7,NaCoPCO7,Na3CoPCO7,CoPCO7,mp-aaackrry,mp-aaabrwlw,3.92340555530173,189.48825786910663,564.9327114268917,743.4392835880998,2216.4601383839363,0.066817102717882,0.053627843579542,0.0,0.053627843579542,C-Co-O-P,True,True,True,True,True,True,True,True,True,True,True,True,0.09090909090909,0.23076923076923,2.0,0.1863738925,0.0607689979545469,0.0607689979545469,0.0,NaCoPCO7,Na3CoPCO7,True,True,True,True,True,True,True,4.195609488898089,3.92340555530173,0.2722039335963591,0.601167536272913,3.025665091767219,5.365553886028959,2.33988879426174,7.351953286152596,86.05790645879733,0.0,in_domain,P3,177.2534183278008,189.48825786910663,12.234839541305831,59.48083181285785,109.04165061615714,245.4651860394445,136.42353542328732,7.450340966031648,85.70155902004456,0.0,in_domain,P3,713.0503060023059,743.4392835880998,30.388977585793896,256.91646126408534,435.9179840397957,990.182627964816,554.2646439250202,7.351953286152596,86.05790645879733,0.0,in_domain,P3,0.0754771770680616,0.066817102717882,0.0086600743501796,0.0684510927043083,-0.023399663983069,0.1743540181191923,0.1977536821022614,6.646419729169088,85.87973273942093,0.0,in_domain,P3,0.0672729250051375,0.053627843579542,0.0136450814255955,0.0606279149406243,-0.0418749877261782,0.1764208377364532,0.2182958254626315,6.21217343600678,82.85077951002228,0.0,in_domain,P3,5,True,0.7160761140499109,0.6874613591810823,0.6874613591810823,0.4234810902735374,0.18774164317346145,0.0,0.0,0.6203273643635393,0.6203273643635393,17.0,8.0,6.0,1,True,1,True,1.0,0.6703273643635393,6.0
Na_000294,Na,el_3df781b198a5b73c,Na|CoP2O7,Co-O-P,Co-O-P,polyanion_phosphate_like,Na0-2CoP2O7,CoP2O7,Na2CoP2O7,CoP2O7,mp-aaaabnkw,mp-aaacfous,4.392705956551719,192.22448585035423,594.697864623593,844.3856439899428,2612.3328522806446,0.048271376324257,0.080338579250005,0.026579592604154,0.080338579250005,Co-O-P,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.166666666666666,1.0,0.0,0.0906713054999999,0.0906713054999999,0.0297146873611175,CoP2O7,Na2CoP2O7,True,True,True,True,True,True,True,4.81643827521231,4.392705956551719,0.4237323186605906,0.4457553927724701,3.64649387808144,5.986382672343179,2.33988879426174,5.086230218698331,66.8596881959911,0.0,in_domain,P3,144.4220626655712,192.22448585035423,47.80242318478304,45.22767708319184,76.21029495392753,212.63383037721485,136.42353542328732,5.207232164153197,66.41425389755011,0.0,in_domain,P3,636.2693942939343,844.3856439899428,208.11624969600848,225.4609369290509,359.1370723314241,913.4017162564444,554.2646439250202,5.086230218698331,66.8596881959911,0.0,in_domain,P3,0.0653508440830396,0.048271376324257,0.0170794677587825,0.0812929125256088,-0.0335259969680911,0.1642276851341703,0.1977536821022614,4.8724184420923855,71.2249443207127,0.0,in_domain,P3,0.0915890878437362,0.080338579250005,0.0112505085937312,0.0660310206610062,-0.0175588248875795,0.2007370005750519,0.2182958254626315,5.192333852296126,72.51670378619154,0.0,in_domain,P3,5,True,0.7626516507511194,0.6064800345459221,0.6064800345459221,0.4150161543552451,0.1716177861773773,0.0,0.0,0.6058121912130261,0.6058121912130261,6.0,25.0,7.0,1,True,1,True,1.0,0.6558121912130261,7.0
Na_000311,Na,el_3fc83ce88abbdd49,Na|MnPO4F,F-Mn-O-P,F-Mn-O-P,polyanion_phosphate_like,Na0-2MnPO4F,MnPO4F,Na2MnPO4F,MnPO4F,mp-aaabxacc,mp-aaabfrce,3.864972674676721,249.4468036394037,790.6479812461021,964.105079851745,3055.832842804497,0.286561754856125,0.035307653035705,0.0,0.035307653035705,F-Mn-O-P,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.222222222222222,1.0,0.0,0.0357883997023869,0.0357883997023869,0.0,MnPO4F,Na2MnPO4F,True,True,True,True,True,True,True,4.0969907508136165,3.864972674676721,0.2320180761368955,0.579924769012243,2.9270463536827465,5.266935147944487,2.339888794261741,7.052691781490813,84.5879732739421,0.0,in_domain,P3,146.04065001386448,249.4468036394037,103.40615362553922,71.32519228367288,77.82888230222082,214.2524177255081,136.42353542328732,7.224440588854558,84.63251670378618,0.0,in_domain,P3,526.5350745982613,964.105079851745,437.5700052534837,304.40018392411537,249.4027526357512,803.6673965607715,554.2646439250204,7.052691781490813,84.5879732739421,0.0,in_domain,P3,0.0991861649697832,0.286561754856125,0.1873755898863417,0.0885230200182271,0.0003093239186525,0.198063006020914,0.1977536821022614,6.741495487362433,86.7706013363029,0.0,in_domain,P3,0.066917023746866,0.035307653035705,0.031609370711161,0.0725592309233194,-0.0422308889844497,0.1760649364781817,0.2182958254626315,5.937265932363956,80.40089086859689,0.0,in_domain,P3,5,True,0.8136700518680847,0.5597096625243446,0.5597096625243446,0.452550875197956,0.243113244276238,0.0,0.0,0.6034340768200188,0.6034340768200188,3.0,49.0,8.0,1,True,1,True,1.0,0.6534340768200189,8.0
Na_000078,Na,el_f50e88fc70435438,Na|FeCSO7,C-Fe-O-S,C-Fe-O-S,sulfate_or_sulfur_oxoanion_like,Na0-2FeCSO7,FeCSO7,Na2FeCSO7,FeCSO7,mp-aaacpazq,mp-aaabrwte,3.892605436551723,207.847172023377,541.2271572241084,809.0670317900984,2106.7837746199984,0.128771071377676,0.089343333416668,0.03586537833334,0.089343333416668,C-Fe-O-S,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.166666666666666,2.0,0.901993090000019,0.0893433334166724,0.0893433334166724,0.0358653783333355,FeCSO7,Na2FeCSO7,True,True,True,True,True,True,True,4.083087572707156,3.892605436551723,0.1904821361554334,0.5933376144190086,2.913143175576286,5.253031969838027,2.339888794261741,6.403185805753663,80.84632516703786,0.0,in_domain,P3,190.23695481237485,207.847172023377,17.61021721100215,65.21498747512004,122.0251871007312,258.44872252401854,136.42353542328735,6.634717226425204,81.46993318485524,0.0,in_domain,P3,690.8012991470755,809.0670317900984,118.26573264302294,282.33795427881023,413.6689771845653,967.9336211095856,554.2646439250202,6.403185805753663,80.84632516703786,0.0,in_domain,P3,0.0810297263459501,0.128771071377676,0.0477413450317258,0.0678785262142665,-0.0178471147051806,0.1799065673970808,0.1977536821022614,6.009822751543237,82.00445434298442,0.0,in_domain,P3,0.0792777057936075,0.089343333416668,0.0100656276230604,0.0546335382695773,-0.0298702069377081,0.1884256185249233,0.2182958254626315,6.428707446027143,84.32071269487751,0.0,in_domain,P3,5,True,0.6915374778650605,0.6661958099159028,0.6661958099159028,0.42326653653570234,0.1873329650901044,0.0,0.0,0.5997400015960273,0.5997400015960273,24.0,12.0,9.0,1,True,1,True,1.0,0.6497400015960273,9.0
Na_000073,Na,el_31d54be5f7dfc2b4,Na|FePCO7,C-Fe-O-P,C-Fe-O-P,polyanion_phosphate_like,Na1-3FePCO7,NaFePCO7,Na3FePCO7,FePCO7,mp-aaabrunh,mp-aaaabgtj,3.443899664051723,191.5797090750565,561.990676161262,659.781295722714,1935.439500831971,0.010974811361596,0.040621705954548,0.0,0.040621705954548,C-Fe-O-P,True,True,True,True,True,True,True,True,True,True,True,True,0.09090909090909,0.23076923076923,2.0,1.7572914750000022,0.0446848360227258,0.0446848360227258,0.0,NaFePCO7,Na3FePCO7,True,True,True,True,True,True,True,4.093920890113781,3.443899664051723,0.6500212260620577,0.6098587039020411,2.92397649298291,5.26386528724465,2.33988879426174,7.344085525027417,86.01336302895322,0.0,in_domain,P3,179.97937605977717,191.5797090750565,11.600333015279348,60.432233869287394,111.7676083481335,248.19114377142083,136.42353542328732,7.357809225316283,85.21158129175946,0.0,in_domain,P3,699.4187754707217,659.781295722714,39.63747974800765,224.1597432656398,422.28645350821154,976.551097433232,554.2646439250204,7.344085525027417,86.01336302895322,0.0,in_domain,P3,0.0644148582439092,0.010974811361596,0.0534400468823132,0.0631366263747356,-0.0344619828072215,0.1632916992950399,0.1977536821022614,6.798138500834549,86.94877505567928,0.0,in_domain,P3,0.0702317373956926,0.040621705954548,0.0296100314411446,0.0685032069471698,-0.0389161753356231,0.1793796501270083,0.2182958254626315,6.295124139462314,83.38530066815146,0.0,in_domain,P3,5,True,0.6823309084361946,0.6760035501660282,0.6760035501660282,0.42629374866236364,0.19309914405450998,0.0,0.0,0.5996645577277298,0.5996645577277298,31.0,11.0,10.0,1,True,1,True,1.0,0.6496645577277298,10.0
