manual_candidate_id,selection_role,state,target_formula,state_dir,generation_status,resolved_material_id,resolved_formula_pretty,resolution_status,files_written
Na_candidate_06,primary_dft_spotcheck,charged,NaCoPCO7,${CMT_REPOSITORY_ROOT}\notebook_10\dft_inputs\Na_candidate_06_Na1-3CoPCO7_Na3CoPCO7\charged_NaCoPCO7,input_files_written,mp-1101670,NaCoPCO7,resolved,structure.cif|POSCAR|INCAR|KPOINTS|POSCAR|POTCAR.spec|STRUCTURE_REQUIRED.md|state_metadata.json|structure.cif|qe_vc_relax_TEMPLATE.in|run_vasp_slurm_TEMPLATE.sh
Na_candidate_06,primary_dft_spotcheck,discharged,Na3CoPCO7,${CMT_REPOSITORY_ROOT}\notebook_10\dft_inputs\Na_candidate_06_Na1-3CoPCO7_Na3CoPCO7\discharged_Na3CoPCO7,input_files_written,mp-770948,Na3CoPCO7,resolved,structure.cif|POSCAR|INCAR|KPOINTS|POSCAR|POTCAR.spec|STRUCTURE_REQUIRED.md|state_metadata.json|structure.cif|qe_vc_relax_TEMPLATE.in|run_vasp_slurm_TEMPLATE.sh
Na_candidate_10,primary_dft_spotcheck,charged,NaFePCO7,${CMT_REPOSITORY_ROOT}\notebook_10\dft_inputs\Na_candidate_04_Na1-3FePCO7_Na3FePCO7\charged_NaFePCO7,input_files_written,mp-769633,NaFePCO7,resolved,structure.cif|POSCAR|INCAR|KPOINTS|POSCAR|POTCAR.spec|STRUCTURE_REQUIRED.md|state_metadata.json|structure.cif|qe_vc_relax_TEMPLATE.in|run_vasp_slurm_TEMPLATE.sh
Na_candidate_10,primary_dft_spotcheck,discharged,Na3FePCO7,${CMT_REPOSITORY_ROOT}\notebook_10\dft_inputs\Na_candidate_04_Na1-3FePCO7_Na3FePCO7\discharged_Na3FePCO7,input_files_written,mp-22135,Na3FePCO7,resolved,structure.cif|POSCAR|INCAR|KPOINTS|POSCAR|POTCAR.spec|STRUCTURE_REQUIRED.md|state_metadata.json|structure.cif|qe_vc_relax_TEMPLATE.in|run_vasp_slurm_TEMPLATE.sh
Na_candidate_11,primary_dft_spotcheck,charged,NaMnPCO7,${CMT_REPOSITORY_ROOT}\notebook_10\dft_inputs\Na_candidate_07_Na1-3MnPCO7_Na3MnPCO7\charged_NaMnPCO7,input_files_written,mp-761016,NaMnPCO7,resolved,structure.cif|POSCAR|INCAR|KPOINTS|POSCAR|POTCAR.spec|STRUCTURE_REQUIRED.md|state_metadata.json|structure.cif|qe_vc_relax_TEMPLATE.in|run_vasp_slurm_TEMPLATE.sh
Na_candidate_11,primary_dft_spotcheck,discharged,Na3MnPCO7,${CMT_REPOSITORY_ROOT}\notebook_10\dft_inputs\Na_candidate_07_Na1-3MnPCO7_Na3MnPCO7\discharged_Na3MnPCO7,input_files_written,mp-19261,Na3MnPCO7,resolved,structure.cif|POSCAR|INCAR|KPOINTS|POSCAR|POTCAR.spec|STRUCTURE_REQUIRED.md|state_metadata.json|structure.cif|qe_vc_relax_TEMPLATE.in|run_vasp_slurm_TEMPLATE.sh
Na_candidate_15,primary_dft_spotcheck,charged,Cr2(PO4)3,${CMT_REPOSITORY_ROOT}\notebook_10\dft_inputs\Na_candidate_15_Na0-3Cr2(PO4)3_Na3Cr2(PO4)3\charged_Cr2(PO4)3,input_files_written,mp-26610,Cr2(PO4)3,resolved,structure.cif|POSCAR|INCAR|KPOINTS|POSCAR|POTCAR.spec|STRUCTURE_REQUIRED.md|state_metadata.json|structure.cif|qe_vc_relax_TEMPLATE.in|run_vasp_slurm_TEMPLATE.sh
Na_candidate_15,primary_dft_spotcheck,discharged,Na3Cr2(PO4)3,${CMT_REPOSITORY_ROOT}\notebook_10\dft_inputs\Na_candidate_15_Na0-3Cr2(PO4)3_Na3Cr2(PO4)3\discharged_Na3Cr2(PO4)3,input_files_written,mp-1221294,Na3Cr2(PO4)3,resolved,structure.cif|POSCAR|INCAR|KPOINTS|POSCAR|POTCAR.spec|STRUCTURE_REQUIRED.md|state_metadata.json|structure.cif|qe_vc_relax_TEMPLATE.in|run_vasp_slurm_TEMPLATE.sh
Na_candidate_16,primary_dft_spotcheck,charged,MnP2O7,${CMT_REPOSITORY_ROOT}\notebook_10\dft_inputs\Na_candidate_16_Na0-2MnP2O7_Na2MnP2O7\charged_MnP2O7,input_files_written,mp-771660,MnP2O7,resolved,structure.cif|POSCAR|INCAR|KPOINTS|POSCAR|POTCAR.spec|STRUCTURE_REQUIRED.md|state_metadata.json|structure.cif|qe_vc_relax_TEMPLATE.in|run_vasp_slurm_TEMPLATE.sh
Na_candidate_16,primary_dft_spotcheck,discharged,Na2MnP2O7,${CMT_REPOSITORY_ROOT}\notebook_10\dft_inputs\Na_candidate_16_Na0-2MnP2O7_Na2MnP2O7\discharged_Na2MnP2O7,input_files_written,mp-1198166,Na2MnP2O7,resolved,structure.cif|POSCAR|INCAR|KPOINTS|POSCAR|POTCAR.spec|STRUCTURE_REQUIRED.md|state_metadata.json|structure.cif|qe_vc_relax_TEMPLATE.in|run_vasp_slurm_TEMPLATE.sh
Na_candidate_02,optional_control_not_primary,charged,CoO2,${CMT_REPOSITORY_ROOT}\notebook_10\dft_inputs\Na_candidate_02_Na0-1CoO2_NaCoO2\charged_CoO2,input_files_written,mp-1400906,CoO2,resolved,structure.cif|POSCAR|INCAR|KPOINTS|POSCAR|POTCAR.spec|STRUCTURE_REQUIRED.md|state_metadata.json|structure.cif|qe_vc_relax_TEMPLATE.in|run_vasp_slurm_TEMPLATE.sh
Na_candidate_02,optional_control_not_primary,discharged,NaCoO2,${CMT_REPOSITORY_ROOT}\notebook_10\dft_inputs\Na_candidate_02_Na0-1CoO2_NaCoO2\discharged_NaCoO2,input_files_written,mp-18921,NaCoO2,resolved,structure.cif|POSCAR|INCAR|KPOINTS|POSCAR|POTCAR.spec|STRUCTURE_REQUIRED.md|state_metadata.json|structure.cif|qe_vc_relax_TEMPLATE.in|run_vasp_slurm_TEMPLATE.sh
