candidate_id,selection_role,state_role,endpoint_id,written,structure_formula,nsites,volume,is_ordered,structure_json,poscar,cif,provenance,structure_sha256
Na_candidate_06,primary,charged,mp-aaackrry,True,NaCoPCO7,22,295.3800721906818,True,exact_structures\Na_candidate_06\charged\structure.json,exact_structures\Na_candidate_06\charged\POSCAR,exact_structures\Na_candidate_06\charged\structure.cif,exact_structures\Na_candidate_06\charged\provenance.json,fb7360829e590bf36a0cff51d76612c09f062ae1a4e8f88380494083e44bea47
Na_candidate_06,primary,discharged,mp-aaabrwlw,True,Na3CoPCO7,52,630.2330256301244,True,exact_structures\Na_candidate_06\discharged\structure.json,exact_structures\Na_candidate_06\discharged\POSCAR,exact_structures\Na_candidate_06\discharged\structure.cif,exact_structures\Na_candidate_06\discharged\provenance.json,3deed4cbf2de11c20a5ab345f0b9330dd737ac4606b09d06d54486aa5fd81bdf
Na_candidate_10,primary,charged,mp-aaabrunh,True,NaFePCO7,22,313.52003536876765,True,exact_structures\Na_candidate_10\charged\structure.json,exact_structures\Na_candidate_10\charged\POSCAR,exact_structures\Na_candidate_10\charged\structure.cif,exact_structures\Na_candidate_10\charged\provenance.json,4306318761faf33833cc9da43697a9b896c2608b937ab77b1715eb9d1ffeae42
Na_candidate_10,primary,discharged,mp-aaaabgtj,True,Na3FePCO7,26,316.76615565222943,True,exact_structures\Na_candidate_10\discharged\structure.json,exact_structures\Na_candidate_10\discharged\POSCAR,exact_structures\Na_candidate_10\discharged\structure.cif,exact_structures\Na_candidate_10\discharged\provenance.json,edb8a469fe06da01d69920b2c61c6869729f2ac1210bfc01bff7ff7f4949f9f1
Na_candidate_11,primary,charged,mp-aaabrhtw,True,NaMnPCO7,22,301.08980006213187,True,exact_structures\Na_candidate_11\charged\structure.json,exact_structures\Na_candidate_11\charged\POSCAR,exact_structures\Na_candidate_11\charged\structure.cif,exact_structures\Na_candidate_11\charged\provenance.json,4dafdf236845ea070c91269013cc3879f3da55ef5ba485217e186f352529c7a3
Na_candidate_11,primary,discharged,mp-aaaabcmv,True,Na3MnPCO7,26,323.1493257981598,True,exact_structures\Na_candidate_11\discharged\structure.json,exact_structures\Na_candidate_11\discharged\POSCAR,exact_structures\Na_candidate_11\discharged\structure.cif,exact_structures\Na_candidate_11\discharged\provenance.json,6b1a0d6b3b8e1178dfacc019e659441c091e3b4890d6a458c800861a53f7717f
Na_candidate_15,primary,charged,mp-aaaabnjm,True,Cr2(PO4)3,34,449.0762005496703,True,exact_structures\Na_candidate_15\charged\structure.json,exact_structures\Na_candidate_15\charged\POSCAR,exact_structures\Na_candidate_15\charged\structure.cif,exact_structures\Na_candidate_15\charged\provenance.json,ce2f048d2a9109b36f6a1a6cd657ed1a72be8262456910263576273e52be1e6f
Na_candidate_15,primary,discharged,mp-aaacrmqw,True,Na3Cr2(PO4)3,40,488.41259930904755,True,exact_structures\Na_candidate_15\discharged\structure.json,exact_structures\Na_candidate_15\discharged\POSCAR,exact_structures\Na_candidate_15\discharged\structure.cif,exact_structures\Na_candidate_15\discharged\provenance.json,e2a2d0fc176ddcedda8f6390c8a0d5c55f93b126a2795eed6cf534cea8618bab
Na_candidate_16,primary,charged,mp-aaabhhug,True,MnP2O7,40,559.3072441394465,True,exact_structures\Na_candidate_16\charged\structure.json,exact_structures\Na_candidate_16\charged\POSCAR,exact_structures\Na_candidate_16\charged\structure.cif,exact_structures\Na_candidate_16\charged\provenance.json,0880388b0aa04e3bb75e7d643c1f8a3e2900c84b4331d6271d7d8292632cf486
Na_candidate_16,primary,discharged,mp-aaacqeli,True,Na2MnP2O7,48,628.1586251277538,True,exact_structures\Na_candidate_16\discharged\structure.json,exact_structures\Na_candidate_16\discharged\POSCAR,exact_structures\Na_candidate_16\discharged\structure.cif,exact_structures\Na_candidate_16\discharged\provenance.json,b0b91c869fc2aead5fd743ebc980dba7ce2c50a794ff5144541164eac85ae0c4
Na_candidate_02,optional_control,charged,mp-aaacupmn,True,CoO2,12,143.07244990041937,True,exact_structures\Na_candidate_02\charged\structure.json,exact_structures\Na_candidate_02\charged\POSCAR,exact_structures\Na_candidate_02\charged\structure.cif,exact_structures\Na_candidate_02\charged\provenance.json,965e3212aff4f201b47411c46cc22a3fcbacede9cda5fcd592660ef1b025170d
Na_candidate_02,optional_control,discharged,mp-aaabxjhz,True,NaCoO2,8,77.64036645623564,True,exact_structures\Na_candidate_02\discharged\structure.json,exact_structures\Na_candidate_02\discharged\POSCAR,exact_structures\Na_candidate_02\discharged\structure.cif,exact_structures\Na_candidate_02\discharged\provenance.json,e94dd57529ec9d43ae844ea1de9ea2fcee1d4a7387766ad5a141b56df824e0a9
