target,protocol,protocol_name,n_features
average_voltage,P0,full_feature_leaky_baseline_no_direct_target,266
average_voltage,P1,composition_only_clean,73
average_voltage,P2,composition_plus_relaxed_structure_clean_strict,93
average_voltage,P3,post_DFT_decision_support_clean_target_specific,108
average_voltage,P4,leakage_stress_test,267
capacity_grav,P0,full_feature_leaky_baseline_no_direct_target,266
capacity_grav,P1,composition_only_clean,73
capacity_grav,P2,composition_plus_relaxed_structure_clean_strict,93
capacity_grav,P3,post_DFT_decision_support_clean_target_specific,112
capacity_grav,P4,leakage_stress_test,267
capacity_vol,P0,full_feature_leaky_baseline_no_direct_target,266
capacity_vol,P1,composition_only_clean,73
capacity_vol,P2,composition_plus_relaxed_structure_clean_strict,93
capacity_vol,P3,post_DFT_decision_support_clean_target_specific,112
capacity_vol,P4,leakage_stress_test,267
energy_grav,P0,full_feature_leaky_baseline_no_direct_target,266
energy_grav,P1,composition_only_clean,73
energy_grav,P2,composition_plus_relaxed_structure_clean_strict,93
energy_grav,P3,post_DFT_decision_support_clean_target_specific,108
energy_grav,P4,leakage_stress_test,267
energy_vol,P0,full_feature_leaky_baseline_no_direct_target,266
energy_vol,P1,composition_only_clean,73
energy_vol,P2,composition_plus_relaxed_structure_clean_strict,93
energy_vol,P3,post_DFT_decision_support_clean_target_specific,108
energy_vol,P4,leakage_stress_test,267
max_delta_volume,P0,full_feature_leaky_baseline_no_direct_target,266
max_delta_volume,P1,composition_only_clean,73
max_delta_volume,P2,composition_plus_relaxed_structure_clean_strict,77
max_delta_volume,P3,post_DFT_decision_support_clean_target_specific,96
max_delta_volume,P4,leakage_stress_test,267
stability_charge,P0,full_feature_leaky_baseline_no_direct_target,266
stability_charge,P1,composition_only_clean,73
stability_charge,P2,composition_plus_relaxed_structure_clean_strict,93
stability_charge,P3,post_DFT_decision_support_clean_target_specific,105
stability_charge,P4,leakage_stress_test,267
stability_discharge,P0,full_feature_leaky_baseline_no_direct_target,266
stability_discharge,P1,composition_only_clean,73
stability_discharge,P2,composition_plus_relaxed_structure_clean_strict,93
stability_discharge,P3,post_DFT_decision_support_clean_target_specific,105
stability_discharge,P4,leakage_stress_test,267
stability_worst,P0,full_feature_leaky_baseline_no_direct_target,266
stability_worst,P1,composition_only_clean,73
stability_worst,P2,composition_plus_relaxed_structure_clean_strict,93
stability_worst,P3,post_DFT_decision_support_clean_target_specific,105
stability_worst,P4,leakage_stress_test,267
