shortlist_priority_rank,battery_formula,rank_median_mc,rank_iqr_mc,top10_probability_mc,top20_probability_mc,final_triage_score
1,Na0-2VF5,1.0,0.0,1.0,1.0,0.7802501772700956
2,Na0-1CoO2,5.0,4.0,0.932,1.0,0.6908771992361679
3,Na0-1CoO2,6.0,5.0,0.882,0.998,0.6828218946525285
4,Na0-4Fe2(PO4)3,5.0,6.0,0.85,0.994,0.679075598597492
5,Na0-1MnF3,7.0,6.0,0.764,0.972,0.6820599788634433
6,Na1-3CoPCO7,7.0,7.0,0.718,0.968,0.6703273643635393
7,Na0-2CoP2O7,8.0,7.0,0.652,0.974,0.6558121912130261
8,Na0-2MnPO4F,9.0,8.0,0.612,0.956,0.6534340768200189
9,Na0-2FeCSO7,9.0,7.0,0.59,0.94,0.6497400015960273
10,Na1-3FePCO7,10.0,8.0,0.552,0.938,0.6496645577277298
11,Na1-3MnPCO7,11.0,9.0,0.442,0.874,0.6387079527038741
12,Na0-2MnH4(SO5)2,14.0,10.0,0.32,0.8,0.6300531705498968
13,Na0-1CoPO4,15.0,10.0,0.26,0.754,0.6189110881088994
14,Na1.5-3NiPCO7,15.0,9.0,0.212,0.752,0.6144205395465183
15,Na0-3Cr2(PO4)3,15.0,10.0,0.23,0.72,0.6130931828354983
16,Na0-2MnP2O7,18.0,11.0,0.144,0.608,0.6048938521296092
17,Na1-3CoAsCO7,18.0,10.25,0.136,0.602,0.58951450093898
18,Na2-6Fe2C4SO16,19.0,12.0,0.114,0.552,0.5880287704175603
19,Na1-3FeAsCO7,20.0,10.0,0.11,0.544,0.5785546901215265
20,Na1-3CrPCO7,22.0,13.0,0.074,0.464,0.5846535152435602
