target,stage,n_oof,et_mae,et_rmse,dummy_mae,dummy_rmse,mae_skill_vs_dummy,mae_skill_ci_low,mae_skill_ci_high,rmse_skill_vs_dummy,rmse_skill_ci_low,rmse_skill_ci_high,passes_primary_point_threshold,mae_skill_interval_entirely_above_zero,rmse_skill_interval_entirely_above_zero,useful_learnability_primary_rule
average_voltage,P1,3201,0.4815484348707873,0.6674388637101547,0.8831344359486816,1.120789354623445,0.4547280512807794,0.4278849167367589,0.4816247159565974,0.4044921456856662,0.3768815595339037,0.431946816778834,True,True,True,True
average_voltage,P2,3201,0.4547447455026416,0.6293720885910231,0.8831344359486816,1.120789354623445,0.4850786845219716,0.4596521757212433,0.510880620605718,0.4384564003978471,0.4135581808288699,0.4644137297214611,True,True,True,True
average_voltage,P3,3201,0.3537454057831118,0.4853120809279386,0.8831344359486816,1.120789354623445,0.5994433107988695,0.5789946752805992,0.6194016037498161,0.5669908186351481,0.5460798340827726,0.5877064164861284,True,True,True,True
capacity_grav,P1,3201,40.58727801679369,60.68336248804275,57.4907924101996,76.01787469511147,0.2940212455726564,0.2587960908366221,0.3270725336831885,0.2017224536804217,0.1700457292944912,0.2318091478328736,True,True,True,True
capacity_grav,P2,3201,17.845741199298242,32.83247517365939,57.4907924101996,76.01787469511147,0.6895895768496629,0.6706999072600042,0.7080714519159248,0.5680953288244092,0.5231427465607654,0.6128837263299984,True,True,True,True
capacity_grav,P3,3201,19.15240888493077,32.89090119052949,57.4907924101996,76.01787469511147,0.6668612819201133,0.6500790120314816,0.6835490424490153,0.5673267462100644,0.5317622340804286,0.60230599369238,True,True,True,True
capacity_vol,P1,3201,138.6843940584646,204.3860142095616,206.2009927515076,268.51363014626605,0.3274310069612862,0.293537541724986,0.3604536153814889,0.2388244347289654,0.2085331667741764,0.267598812490311,True,True,True,True
capacity_vol,P2,3201,55.13301579916498,94.94047831635352,206.2009927515076,268.51363014626605,0.7326248770023835,0.7174006299530011,0.7478163231186157,0.6464221266360404,0.6182666821689705,0.6728424826234457,True,True,True,True
capacity_vol,P3,3201,61.42266685022332,99.49861429620636,206.2009927515076,268.51363014626605,0.7021223514464664,0.6867714592027093,0.7169055289673758,0.6294466905013091,0.6059213317180462,0.6523189058572615,True,True,True,True
energy_grav,P1,3201,147.12558244460612,207.13248406086728,220.42338785954152,282.6394465051339,0.3325318884112348,0.3032613523541367,0.3616961697074992,0.2671494137775815,0.2357033445067111,0.2982244422535508,True,True,True,True
