threshold,target,earliest_useful_stage
0.05,average_voltage,P1
0.05,capacity_grav,P1
0.05,capacity_vol,P1
0.05,energy_grav,P1
0.05,energy_vol,P1
0.05,max_delta_volume,none_through_P3
0.05,stability_charge,P2
0.05,stability_discharge,P2
0.05,stability_worst,P2
0.1,average_voltage,P1
0.1,capacity_grav,P1
0.1,capacity_vol,P1
0.1,energy_grav,P1
0.1,energy_vol,P1
0.1,max_delta_volume,none_through_P3
0.1,stability_charge,P2
0.1,stability_discharge,P3
0.1,stability_worst,P2
0.2,average_voltage,P1
0.2,capacity_grav,P1
0.2,capacity_vol,P1
0.2,energy_grav,P1
0.2,energy_vol,P1
0.2,max_delta_volume,none_through_P3
0.2,stability_charge,P3
0.2,stability_discharge,none_through_P3
0.2,stability_worst,P3
