shortlist_priority_rank,battery_formula,formula_charge,formula_discharge,average_voltage,capacity_grav,energy_grav,max_delta_volume,stability_worst,final_triage_score,rank_median_mc,rank_iqr_mc,out_of_domain_flag,high_uncertainty_flag
1,Na0-2VF5,VF5,Na2VF5,4.338141591551722,279.3085775932417,1211.680157334393,0.185321871033648,0.057393259583332,0.7802501772700956,1.0,0.0,False,False
2,Na0-1CoO2,CoO2,NaCoO2,3.008840576551722,235.2621671087404,707.86635452427,0.095311966205387,0.011452050000005,0.6908771992361679,5.0,4.0,False,False
3,Na0-1CoO2,CoO2,NaCoO2,3.056321886551724,235.2621671087404,719.0369104120325,0.167784901100262,0.00813656,0.6828218946525285,6.0,5.0,False,False
4,Na0-4Fe2(PO4)3,Fe2(PO4)3,Na4Fe2(PO4)3,3.956551765301722,219.4310432592394,868.1902815693422,0.036937405438655,0.096099300980394,0.679075598597492,5.0,6.0,False,False
5,Na0-1MnF3,MnF3,NaMnF3,3.78776930655172,198.64275476957155,752.4129294850634,0.18908059493695,0.001892827499998,0.6820599788634433,7.0,6.0,False,False
6,Na1-3CoPCO7,NaCoPCO7,Na3CoPCO7,3.92340555530173,189.48825786910663,743.4392835880998,0.066817102717882,0.053627843579542,0.6703273643635393,7.0,7.0,False,False
7,Na0-2CoP2O7,CoP2O7,Na2CoP2O7,4.392705956551719,192.22448585035423,844.3856439899428,0.048271376324257,0.080338579250005,0.6558121912130261,8.0,7.0,False,False
8,Na0-2MnPO4F,MnPO4F,Na2MnPO4F,3.864972674676721,249.4468036394037,964.105079851745,0.286561754856125,0.035307653035705,0.6534340768200189,9.0,8.0,False,False
9,Na0-2FeCSO7,FeCSO7,Na2FeCSO7,3.892605436551723,207.847172023377,809.0670317900984,0.128771071377676,0.089343333416668,0.6497400015960273,9.0,7.0,False,False
10,Na1-3FePCO7,NaFePCO7,Na3FePCO7,3.443899664051723,191.5797090750565,659.781295722714,0.010974811361596,0.040621705954548,0.6496645577277298,10.0,8.0,False,False
11,Na1-3MnPCO7,NaMnPCO7,Na3MnPCO7,3.369558361551721,192.2027348596324,647.6383323593827,0.073265602924694,0.0,0.6387079527038741,11.0,9.0,False,False
