check,expected,observed,pass,detail
input_exists::master_feature_table,True,True,True,data/processed/notebook_02/02_master_feature_table.csv
input_exists::metadata_targets,True,True,True,data/processed/notebook_02/02_master_metadata_and_targets.csv
input_exists::valid_record_universe,True,True,True,data/processed/notebook_05/05_valid_record_universe.csv
input_exists::split_plan,True,True,True,data/processed/notebook_05/05_split_plan.csv
input_exists::outer_test_manifest,True,True,True,data/processed/notebook_05/05_outer_test_record_manifest.csv
input_exists::protocol_integrity_audit,True,True,True,results/audits/notebook_02/02_protocol_integrity_audit.csv
input_exists::target_specific_matrix,True,True,True,results/audits/notebook_02/02_target_specific_leakage_matrix.csv
input_exists::dependency_nodes,True,True,True,data/processed/notebook_03/03_dependency_graph_nodes.csv
input_exists::dependency_edges,True,True,True,data/processed/notebook_03/03_dependency_graph_edges.csv
input_exists::compiler_agreement,True,True,True,results/audits/notebook_03/03_manual_vs_compiler_agreement.csv
input_exists::historical_benchmark,True,True,True,data/processed/notebook_04/04_benchmark_aggregate_results.csv
input_exists::historical_model_audit,True,True,True,results/audits/notebook_04/04_model_audit.csv
input_exists::historical_config,True,True,True,provenance/notebook_04/04_benchmark_config.json
valid_record_universe_unique,3201,3201,True,
n_records,3201,3201,True,
valid_records_present_in_master,3201,3201,True,
ion_count::Li,2658,2658,True,
ion_count::Na,394,394,True,
ion_count::K,149,149,True,
framework_formula_groups,1955,1955,True,
host_chemical_systems,709,709,True,
coarse_chemistry_families,10,10,True,
target_complete::average_voltage,0,0,True,
target_complete::capacity_grav,0,0,True,
target_complete::capacity_vol,0,0,True,
target_complete::energy_grav,0,0,True,
target_complete::energy_vol,0,0,True,
target_complete::max_delta_volume,0,0,True,
target_complete::stability_charge,0,0,True,
target_complete::stability_discharge,0,0,True,
target_complete::stability_worst,0,0,True,
target_feature_matrix_rows,2430,2430,True,
dependency_graph_nodes,291,291,True,
dependency_graph_edges,2438,2438,True,
compiler_agreement_rows,2430,2430,True,
compiler_class_agreement_all,True,True,True,
