target,from_stage,to_stage,delta_mae_positive_is_improvement,relative_mae_improvement,delta_rmse_positive_is_improvement,relative_rmse_improvement
average_voltage,P1,P2,0.0268036893681457,0.05566146087742527,0.03806677511913159,0.057034100333214426
average_voltage,P2,P3,0.10099933971952985,0.2221011693227869,0.14406000766308447,0.22889481480755203
average_voltage,P1,P3,0.12780302908767555,0.26540015465312145,0.18212678278221606,0.27287410530728
capacity_grav,P1,P2,22.741536817495447,0.5603119481943515,27.850887314383364,0.4589542532332679
capacity_grav,P2,P3,-1.306667685632533,-0.07322014093109877,-0.05842601687010074,-0.001779519106039692
capacity_grav,P1,P3,21.434869131862914,0.5281179270754217,27.792461297513263,0.45799145198965496
capacity_vol,P1,P2,83.55137825929961,0.6024569586688839,109.44553589320805,0.5354844670584509
capacity_vol,P2,P3,-6.289651051058335,-0.11408138952474274,-4.558135979852821,-0.048010459402411505
capacity_vol,P1,P3,77.26172720824127,0.5571046961179379,104.88739991335522,0.513182862922371
energy_grav,P1,P2,59.995605307562585,0.40778499775966137,79.29227488222317,0.3828094624642391
energy_grav,P2,P3,2.6572017795196388,0.030496986993812977,3.7903291589938846,0.029648959301195082
energy_grav,P1,P3,62.65280708708222,0.4258457709805259,83.08260404121705,0.4011085195927196
energy_vol,P1,P2,207.60703304497264,0.4089341710876832,280.4513955012099,0.39589282142071847
energy_vol,P2,P3,12.689236947096504,0.042287401103132734,17.976484789248104,0.042005948608483376
energy_vol,P1,P3,220.29626999206914,0.43392880887325397,298.427880290458,0.4212689165181357
max_delta_volume,P1,P2,0.001946639352120201,0.05096478984065828,0.00234856480059438,0.027959374693498355
max_delta_volume,P2,P3,0.002428157120245314,0.06698525254961919,0.006521815489280186,0.0798746555736312
max_delta_volume,P1,P3,0.004374796472365515,0.11453615307166272,0.008870380289874566,0.10560078484343227
stability_charge,P1,P2,0.0034522668394947817,0.08216029973982095,0.006095528110743473,0.05882098449286396
stability_charge,P2,P3,0.005067342131048418,0.13139264250296162,0.01516101168313877,0.15544505018992893
stability_charge,P1,P3,0.0085196089705432,0.20275768335113212,0.021256539793882243,0.20512260379607863
stability_discharge,P1,P2,0.0027767333078472095,0.08149884846946935,0.0030332909574018463,0.03803645381787704
stability_discharge,P2,P3,0.002787577729634727,0.0890767952255371,0.010044273907717144,0.13093202438836873
stability_discharge,P1,P3,0.0055643110374819366,0.16331598745877446,0.01307756486511899,0.16398828830731646
stability_worst,P1,P2,0.00434096364937115,0.10010188776028849,0.007905902180648738,0.07579175555276381
stability_worst,P2,P3,0.004250351117259549,0.10891497243740886,0.014772144940690124,0.15323015891479236
stability_worst,P1,P3,0.008591314766630699,0.19811426585135292,0.022678047121338862,0.21740833171977508
