target,stage,n_oof,et_mae,et_rmse,dummy_mae,dummy_rmse,mae_skill_vs_dummy,mae_skill_ci_low,mae_skill_ci_high,rmse_skill_vs_dummy,rmse_skill_ci_low,rmse_skill_ci_high,passes_primary_point_threshold,mae_skill_interval_entirely_above_zero,rmse_skill_interval_entirely_above_zero,useful_learnability_primary_rule
average_voltage,P1,3201,0.4815484348707873,0.6674388637101547,0.8831344359486816,1.120789354623445,0.4547280512807794,0.42788491673675894,0.48162471595659745,0.40449214568566627,0.37688155953390373,0.43194681677883406,True,True,True,True
average_voltage,P2,3201,0.45474474550264166,0.6293720885910231,0.8831344359486816,1.120789354623445,0.48507868452197167,0.45965217572124334,0.510880620605718,0.43845640039784717,0.4135581808288699,0.4644137297214611,True,True,True,True
average_voltage,P3,3201,0.3537454057831118,0.48531208092793865,0.8831344359486816,1.120789354623445,0.5994433107988695,0.5789946752805992,0.6194016037498161,0.5669908186351481,0.5460798340827726,0.5877064164861284,True,True,True,True
capacity_grav,P1,3201,40.58727801679369,60.68336248804275,57.490792410199596,76.01787469511147,0.2940212455726564,0.25879609083662214,0.3270725336831885,0.20172245368042174,0.1700457292944912,0.23180914783287368,True,True,True,True
capacity_grav,P2,3201,17.845741199298242,32.83247517365939,57.490792410199596,76.01787469511147,0.6895895768496629,0.6706999072600042,0.7080714519159248,0.5680953288244092,0.5231427465607654,0.6128837263299984,True,True,True,True
capacity_grav,P3,3201,19.152408884930775,32.89090119052949,57.490792410199596,76.01787469511147,0.6668612819201133,0.6500790120314816,0.6835490424490153,0.5673267462100644,0.5317622340804286,0.60230599369238,True,True,True,True
capacity_vol,P1,3201,138.6843940584646,204.38601420956158,206.2009927515076,268.51363014626605,0.32743100696128624,0.293537541724986,0.3604536153814889,0.23882443472896542,0.20853316677417644,0.26759881249031103,True,True,True,True
capacity_vol,P2,3201,55.13301579916498,94.94047831635353,206.2009927515076,268.51363014626605,0.7326248770023835,0.7174006299530011,0.7478163231186157,0.6464221266360404,0.6182666821689705,0.6728424826234457,True,True,True,True
capacity_vol,P3,3201,61.422666850223315,99.49861429620636,206.2009927515076,268.51363014626605,0.7021223514464664,0.6867714592027093,0.7169055289673758,0.6294466905013091,0.6059213317180462,0.6523189058572615,True,True,True,True
energy_grav,P1,3201,147.12558244460612,207.13248406086726,220.42338785954152,282.6394465051339,0.3325318884112348,0.3032613523541367,0.36169616970749924,0.2671494137775815,0.23570334450671118,0.2982244422535508,True,True,True,True
energy_grav,P2,3201,87.12997713704354,127.8402091786441,220.42338785954152,282.6394465051339,0.6047153708001048,0.5848186296873755,0.6236697033925132,0.547691552755988,0.5238416147028657,0.5704190295750337,True,True,True,True
energy_grav,P3,3201,84.4727753575239,124.0498800196502,220.42338785954152,282.6394465051339,0.6167703609956683,0.5970809092088728,0.6347390409331528,0.5611020274999126,0.5346207419531211,0.5852734880179946,True,True,True,True
energy_vol,P1,3201,507.6783690949069,708.4023258991401,760.2225767123205,973.7033647543188,0.3321977212378685,0.3034175251861363,0.3595699842661903,0.27246597727647626,0.2456702045525389,0.2977751828068351,True,True,True,True
energy_vol,P2,3201,300.07133604993425,427.9509303979302,760.2225767123205,973.7033647543188,0.6052848925539267,0.5861308968949612,0.6246627567210437,0.5604914742120573,0.5384784472127826,0.5821862569893526,True,True,True,True
energy_vol,P3,3201,287.38209910283774,409.9744456086821,760.2225767123205,973.7033647543188,0.621976368623965,0.6042637361666483,0.6388420445141993,0.5789534467592958,0.5576962890710062,0.5989142325452893,True,True,True,True
max_delta_volume,P1,3201,0.03819576924002588,0.08399918904983618,0.04544783617983642,0.08403005444100944,0.1595690257092598,0.1115431872084373,0.20188726295181322,0.0003673137114880154,-0.1996226459059973,0.12131300966520783,False,True,False,False
max_delta_volume,P2,3201,0.036249129887905684,0.08165062424924178,0.04544783617983642,0.08403005444100944,0.20240141368956688,0.1552517984755659,0.24422982175653515,0.02831641854329703,-0.1637880967074798,0.1528996697654332,False,True,False,False
max_delta_volume,P3,3201,0.03382097276766037,0.07512880875996159,0.04544783617983642,0.08403005444100944,0.2558287564267906,0.2159352254315453,0.2922501246268851,0.10592930993870397,-0.021462137040118495,0.19701139218436423,True,True,False,False
stability_charge,P1,3201,0.04201867386593229,0.10362846122514253,0.04991495610383319,0.10879208633526624,0.1581947146557644,0.11490999469257135,0.19972651362169216,0.04746324189620632,0.005922633454229005,0.09309232882815956,False,True,True,False
stability_charge,P2,3201,0.03856640702643752,0.09753293311439905,0.04991495610383319,0.10879208633526624,0.2273576892222121,0.1940455272638173,0.26151197211314714,0.10349239177351277,0.06319939556521881,0.16290709964907316,True,True,True,True
stability_charge,P3,3201,0.033499064895389105,0.08237192143126024,0.04991495610383319,0.10879208633526624,0.3288772041449003,0.29831787564172635,0.3580549328873986,0.24285006192993286,0.18433871072190558,0.30975951157277953,True,True,True,True
stability_discharge,P1,3201,0.03407082872940727,0.07974694412695744,0.039252921720221635,0.08235246345448748,0.13201801964577697,0.0783602820900202,0.17903710747308718,0.03163863251000365,-0.006087923678807283,0.06711410751565143,False,True,False,False
stability_discharge,P2,3201,0.03129409542156006,0.0767136531695556,0.039252921720221635,0.08235246345448748,0.2027575515368959,0.16304825533228556,0.24126733863881894,0.06847166494355317,0.02965893109121038,0.11637356820441151,False,True,True,False
stability_discharge,P3,3201,0.02850651769192533,0.06666937926183843,0.039252921720221635,0.08235246345448748,0.2737733538637497,0.23812254296898575,0.3085886367162429,0.19043855562762113,0.09716123013446082,0.3099437926397763,True,True,True,True
stability_worst,P1,3201,0.04336545240551652,0.10431084651608166,0.048587599195219516,0.10845429449477234,0.10747900444146241,0.05625806793139223,0.15259997413306323,0.038204554259401835,-0.004392351731085659,0.07828824732168488,False,True,False,False
stability_worst,P2,3201,0.03902448875614537,0.09640494433543288,0.048587599195219516,0.10845429449477234,0.19682204096256417,0.16616773644181287,0.227335110046631,0.11110071957473533,0.07207559869767965,0.16520357737715194,True,True,True,True
