target,protocol,mae,rmse,stage,fold_mean_et_mae,fold_mean_et_rmse,mae_relative_difference,rmse_relative_difference,passes_tolerance
average_voltage,P1,0.48154837781170573,0.6665823879667497,P1,0.4815483778117057,0.6665823879667497,1.1527637468849227e-16,0.0,True
average_voltage,P2,0.45474172514564,0.6283628985608827,P2,0.45474172514564,0.6283628985608827,0.0,0.0,True
average_voltage,P3,0.35374047116566887,0.48430649032512074,P3,0.3537404711656688,0.4843064903251206,1.5692620934306394e-16,3.438596364504171e-16,True
capacity_grav,P1,40.5884200753548,60.626293569992484,P1,40.586979012886175,60.6252972762401,3.550427599661827e-05,1.643336073706077e-05,True
capacity_grav,P2,17.845914985405177,32.65574450382283,P2,17.845993178532314,32.65573776811421,4.381570079291881e-06,2.0626412675914376e-07,True
capacity_grav,P3,19.15082440669186,32.80505466161303,P3,19.152204138628125,32.79965506311336,7.204556352061725e-05,0.0001645965402393617,True
energy_grav,P1,147.12633623957805,207.05485532119047,P1,147.12633623957805,207.05485532119047,0.0,0.0,True
energy_grav,P2,87.1312601392992,127.61724724084714,P2,87.1312601392992,127.61724724084714,0.0,0.0,True
energy_grav,P3,84.47348138869226,123.86855375888472,P3,84.47348138869226,123.8685537588847,0.0,1.1472528163091355e-16,True
max_delta_volume,P1,0.03819681336462294,0.0809926854697164,P1,0.0381968133646229,0.0809926854697164,1.0899695486640592e-15,0.0,True
max_delta_volume,P2,0.03625023597261036,0.07819455752433488,P2,0.0362502359726103,0.0781945575243348,1.7227486514115529e-15,1.0648660147603413e-15,True
max_delta_volume,P3,0.033822125489738404,0.0717534993684372,P3,0.0338221254897384,0.0717534993684372,2.0515842228816994e-16,0.0,True
stability_worst,P1,0.04336508031907817,0.1037589820532506,P1,0.0433650803190781,0.1037589820532506,1.6001109309267231e-15,0.0,True
stability_worst,P2,0.03902384942860816,0.0955488892761521,P2,0.0390238494286081,0.0955488892761521,1.6003045842367177e-15,0.0,True
stability_worst,P3,0.03477308361258084,0.08060853679069328,P3,0.0347730836125808,0.0806085367906932,1.1972870708647907e-15,1.0329765327845568e-15,True
