target,split_name,reporting_name,stage_c_primary_earliest_useful_stage,domain_point_earliest_stage_10pct,comparison_status,reference_stage_for_skill_check,reference_stage_macro_mae_skill,reference_stage_macro_rmse_skill,reference_stage_passes_10pct_macro_point,interpretation_note
average_voltage,leave_chemical_system_out,host-chemical-system-held-out validation,P1,P1,same_stage_at_point_level,P1,0.28501617747558416,0.2518240203338439,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
average_voltage,leave_family_out,coarse-chemistry-family-held-out validation,P1,P1,same_stage_at_point_level,P1,0.3111403630650599,0.27491593708286743,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
average_voltage,leave_working_ion_out,working-ion-held-out validation,P1,P1,same_stage_at_point_level,P1,0.4484046942056471,0.39293093213230557,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
capacity_grav,leave_chemical_system_out,host-chemical-system-held-out validation,P1,P1,same_stage_at_point_level,P1,0.21563404133402964,0.193528240671885,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
capacity_grav,leave_family_out,coarse-chemistry-family-held-out validation,P1,P1,same_stage_at_point_level,P1,0.21698312364600814,0.17331529509009758,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
capacity_grav,leave_working_ion_out,working-ion-held-out validation,P1,P1,same_stage_at_point_level,P1,0.3262293215515133,0.16236045386990683,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
capacity_vol,leave_chemical_system_out,host-chemical-system-held-out validation,P1,P1,same_stage_at_point_level,P1,0.2563505314015785,0.22896198533789902,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
capacity_vol,leave_family_out,coarse-chemistry-family-held-out validation,P1,P2,later_stage_required_at_point_level,P1,0.16463259848875045,0.09177592811357482,False,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
capacity_vol,leave_working_ion_out,working-ion-held-out validation,P1,P1,same_stage_at_point_level,P1,0.32278466585088117,0.1711333110002603,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
energy_grav,leave_chemical_system_out,host-chemical-system-held-out validation,P1,P1,same_stage_at_point_level,P1,0.26174505516386737,0.22433627431271508,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
energy_grav,leave_family_out,coarse-chemistry-family-held-out validation,P1,P1,same_stage_at_point_level,P1,0.2754506952073029,0.19067642641454596,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
