target,stage,split_name,fold_id,heldout_group,n_train,n_test,n_features,et_mae,et_rmse,et_r2,et_spearman,dummy_mae,dummy_rmse,dummy_r2,dummy_spearman,source,mae_skill_vs_dummy,rmse_skill_vs_dummy,reporting_name
average_voltage,P1,leave_working_ion_out,0,Li,543,2658,73,0.629153779866332,0.8387681312688935,0.412368747093914,0.5993111008964797,0.9152564654009038,1.1367179972878356,-0.0792610782256151,,historical_notebook04_reused_after_compatibility_gate,0.31259291395363387,0.2621141450472666,working-ion-held-out validation
average_voltage,P1,leave_working_ion_out,1,Na,2807,394,73,0.4220586210385742,0.5959283119564991,0.7314199234944693,0.8584447423592081,0.951900840143695,1.196954873839967,-0.0835309237502723,,historical_notebook04_reused_after_compatibility_gate,0.5566149295814656,0.5021296750773122,working-ion-held-out validation
average_voltage,P1,leave_working_ion_out,2,K,3052,149,73,0.6073604829830965,0.798034243165379,0.6418517595851625,0.820255148635333,1.1397081743918025,1.3442128993219218,-0.0161454690414035,,historical_notebook04_reused_after_compatibility_gate,0.4670912285882215,0.4063185648880907,working-ion-held-out validation
average_voltage,P2,leave_working_ion_out,0,Li,543,2658,93,0.6091620195143418,0.8084480580735214,0.4540846732905952,0.6247985444763425,0.9152564654009038,1.1367179972878356,-0.0792610782256151,,historical_notebook04_reused_after_compatibility_gate,0.3344357100525758,0.28878749170643325,working-ion-held-out validation
average_voltage,P2,leave_working_ion_out,1,Na,2807,394,93,0.4283338834173733,0.6124679826360742,0.7163044415601161,0.859447417122133,0.951900840143695,1.196954873839967,-0.0835309237502723,,historical_notebook04_reused_after_compatibility_gate,0.5500225807630197,0.4883115512356724,working-ion-held-out validation
average_voltage,P2,leave_working_ion_out,2,K,3052,149,93,0.6067710615170097,0.7862817679860645,0.6523228261773936,0.8252893161617993,1.1397081743918025,1.3442128993219218,-0.0161454690414035,,historical_notebook04_reused_after_compatibility_gate,0.46760839735065607,0.41506158110616365,working-ion-held-out validation
average_voltage,P3,leave_working_ion_out,0,Li,543,2658,108,0.5487430327853143,0.695210974320958,0.5963041533944122,0.7594178598336762,0.9152564654009038,1.1367179972878356,-0.0792610782256151,,historical_notebook04_reused_after_compatibility_gate,0.4004488867008964,0.3884050609036682,working-ion-held-out validation
average_voltage,P3,leave_working_ion_out,1,Na,2807,394,108,0.4239288970455538,0.5557645198097101,0.7664029299503079,0.91647816091503,0.951900840143695,1.196954873839967,-0.0835309237502723,,historical_notebook04_reused_after_compatibility_gate,0.5546501492933242,0.5356846511458243,working-ion-held-out validation
average_voltage,P3,leave_working_ion_out,2,K,3052,149,108,0.4370361503101923,0.5466947146301459,0.8319225238420355,0.9318519862144024,1.1397081743918025,1.3442128993219218,-0.0161454690414035,,historical_notebook04_reused_after_compatibility_gate,0.6165367941285377,0.593297523847657,working-ion-held-out validation
capacity_grav,P1,leave_working_ion_out,0,Li,543,2658,73,53.216616291573565,74.51294623162636,0.07573609128772,0.4192831522462636,57.723597740883655,81.0929235444157,-0.0947083707630978,,historical_notebook04_reused_after_compatibility_gate,0.07807866497756333,0.08114120227994237,working-ion-held-out validation
