check,expected,observed,pass,detail
input_exists::master_feature_table,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\02_master_feature_table.csv
input_exists::valid_record_universe,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_05\05_valid_record_universe.csv
input_exists::protocol_feature_dir,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\protocol_feature_lists
input_exists::stage_a_split_manifest,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\papers\cmt\results\stage_ab\stage_a_primary_split_manifest.csv
input_exists::stage_b_gate,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\papers\cmt\results\stage_ab\stage_b_gate.json
input_exists::stage_c_gate,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\papers\cmt\results\stage_c\stage_c_gate.json
input_exists::stage_c_earliest_useful_stage,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\papers\cmt\results\stage_c\stage_c_earliest_useful_stage.csv
input_exists::stage_d_gate,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\papers\cmt\results\stage_d\stage_d_gate.json
stage_b_gate_status,PASS,PASS,True,
stage_c_gate_status,PASS,PASS,True,
stage_d_gate_status,PASS,PASS,True,
valid_records,3201,3201,True,
split_rows,3201,3201,True,
split_folds,5,5,True,
stage_c_n_targets,9,9,True,
feature_file::average_voltage::P1,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\protocol_feature_lists\02_protocol_P1_features_for_target_average_voltage.csv
feature_unique::average_voltage::P1,73,73,True,
features_present::average_voltage::P1,0,0,True,
feature_file::average_voltage::P2,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\protocol_feature_lists\02_protocol_P2_features_for_target_average_voltage.csv
feature_unique::average_voltage::P2,93,93,True,
features_present::average_voltage::P2,0,0,True,
feature_file::average_voltage::P3,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\protocol_feature_lists\02_protocol_P3_features_for_target_average_voltage.csv
feature_unique::average_voltage::P3,108,108,True,
features_present::average_voltage::P3,0,0,True,
nested_P1_P2::average_voltage,True,True,True,
nested_P2_P3::average_voltage,True,True,True,
feature_file::capacity_grav::P1,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\protocol_feature_lists\02_protocol_P1_features_for_target_capacity_grav.csv
feature_unique::capacity_grav::P1,73,73,True,
