target,from_stage,to_stage,delta_mae_positive_is_improvement,delta_mae_ci_low,delta_mae_ci_high,delta_mae_interval_direction,delta_rmse_positive_is_improvement,delta_rmse_ci_low,delta_rmse_ci_high,delta_rmse_interval_direction
average_voltage,P1,P2,0.025750912284878802,0.01639678840167545,0.03512909345853627,improvement_supported,0.020435385200365364,0.005035912482248285,0.0347816176771975,improvement_supported
average_voltage,P2,P3,0.1513113573479637,0.13146332615500217,0.1710264043582631,improvement_supported,0.17109365575013613,0.1426195396343372,0.19820086850364832,improvement_supported
average_voltage,P1,P3,0.1770622696328425,0.1563547719367319,0.19679986440656627,improvement_supported,0.1915290409505015,0.15663231095092267,0.22203478614928843,improvement_supported
capacity_grav,P1,P2,15.324407802002284,13.577047379804341,17.13330319685625,improvement_supported,15.547872318562796,10.007209873483086,20.278538339522775,improvement_supported
capacity_grav,P2,P3,5.7887915596596216,4.847794602869367,6.759993996785913,improvement_supported,9.33965359069424,6.824735131591271,12.256219978801278,improvement_supported
capacity_grav,P1,P3,21.113199361661906,19.242658956208707,23.0108772018057,improvement_supported,24.887525909257036,20.50845739963244,29.163850880947013,improvement_supported
capacity_vol,P1,P2,56.38651555188957,49.918438967790344,62.8728390812291,improvement_supported,53.79241998417032,33.230694787449764,71.76014309557675,improvement_supported
capacity_vol,P2,P3,18.986259534456863,15.732778085928919,22.47421461620681,improvement_supported,36.70405744456889,27.301761008200756,47.09203885171085,improvement_supported
capacity_vol,P1,P3,75.37277508634644,68.74093566573225,82.31029830720938,improvement_supported,90.49647742873921,76.20845914126384,104.5464069682736,improvement_supported
energy_grav,P1,P2,38.862975446520494,32.217719419223634,45.04431500262081,improvement_supported,30.801907747498916,6.975633065002649,50.39275571930084,improvement_supported
energy_grav,P2,P3,14.471600179557896,10.908807100534922,17.93314594133598,improvement_supported,19.169563731879066,13.364515692411528,24.936278542594525,improvement_supported
energy_grav,P1,P3,53.33457562607839,46.822788932998456,59.58411371971869,improvement_supported,49.97147147937798,26.43461785055799,69.41697220427083,improvement_supported
energy_vol,P1,P2,145.98083808397206,121.82532759548704,168.50817673498085,improvement_supported,116.20165222064338,34.51345060017508,183.81652162820845,improvement_supported
energy_vol,P2,P3,48.4145484820732,36.82895734272591,59.295610595346346,improvement_supported,59.370785558772695,41.72633024641574,76.59779775921159,improvement_supported
energy_vol,P1,P3,194.39538656604526,170.68290608812674,217.15054071093235,improvement_supported,175.57243777941608,94.04565677976481,242.94327535338968,improvement_supported
max_delta_volume,P1,P2,0.0006593256363022493,0.00021486859673032005,0.0011102679830614442,improvement_supported,0.0009200968407014204,0.0005081383451482402,0.0013413923842248052,improvement_supported
max_delta_volume,P2,P3,0.0018790073742480165,0.0009583376676020413,0.0028102886207184265,improvement_supported,0.003976237990329742,0.0024744350315429576,0.0054617310371663,improvement_supported
max_delta_volume,P1,P3,0.0025383330105502658,0.0015224210598431492,0.003553483509920337,improvement_supported,0.004896334831031163,0.0032758927398191416,0.006503847878829141,improvement_supported
stability_charge,P1,P2,0.001394314627664997,0.0002518513270679329,0.0025080920690763544,improvement_supported,0.004564007412647522,0.0018425214770808234,0.007661121420214275,improvement_supported
stability_charge,P2,P3,-0.0004751062274940057,-0.002311883260664799,0.0014201112380604671,interval_spans_zero,0.009944449111136969,0.003043676390568913,0.016390973880700356,improvement_supported
stability_charge,P1,P3,0.0009192084001709913,-0.0011313186191984639,0.002943942958014164,interval_spans_zero,0.014508456523784491,0.007539255153500763,0.02102842797073816,improvement_supported
stability_discharge,P1,P2,0.00046129254717531404,-7.954884994561063e-05,0.0009690930997160586,interval_spans_zero,0.0006341206342699024,-5.89130070363969e-05,0.0013672139385257289,interval_spans_zero
stability_discharge,P2,P3,-0.00018831679039930938,-0.0015357875216870744,0.0011798123825672673,interval_spans_zero,0.008645069317260765,0.002863496055847129,0.013801625707641069,improvement_supported
stability_discharge,P1,P3,0.00027297575677600466,-0.0011559125588756478,0.0016939193977862398,interval_spans_zero,0.009279189951530667,0.003594706553245151,0.014443572928940367,improvement_supported
stability_worst,P1,P2,0.0010700418376057563,-5.129162613486233e-05,0.0021837446716230315,interval_spans_zero,0.004789453594064658,0.0021515395923250827,0.007962587378533384,improvement_supported
stability_worst,P2,P3,-0.0009263238414534761,-0.0027710802536304283,0.0009092625967292443,interval_spans_zero,0.009707605961187901,0.002672448267657835,0.01617077101675753,improvement_supported
stability_worst,P1,P3,0.00014371799615228026,-0.0018645044563779577,0.0020995459530253175,interval_spans_zero,0.014497059555252559,0.007463973526928243,0.020884349516438763,improvement_supported
