target,stage,n_oof,ridge_mae,ridge_rmse,dummy_mae,dummy_rmse,mae_skill_vs_dummy,rmse_skill_vs_dummy
average_voltage,P1,3201,0.6487516542732207,0.8360647835541071,0.8831344359486816,1.120789354623445,0.2653987571254449,0.2540393249586117
average_voltage,P2,3201,0.6230007419883419,0.8156293983537417,0.8831344359486816,1.120789354623445,0.29455729883400894,0.27227235431070707
average_voltage,P3,3201,0.4716893846403782,0.6445357426036056,0.8831344359486816,1.120789354623445,0.4658917539166282,0.4249269588930453
capacity_grav,P1,3201,48.901156956336905,67.15258863111363,57.490792410199596,76.01787469511147,0.1494088895587875,0.1166210723406077
capacity_grav,P2,3201,33.57674915433462,51.604716312550835,57.490792410199596,76.01787469511147,0.4159630134376495,0.32115023578961743
capacity_grav,P3,3201,27.787957594675,42.265062721856594,57.490792410199596,76.01787469511147,0.5166537730701888,0.4440115184570589
capacity_vol,P1,3201,170.89652196689713,232.15097861650256,206.2009927515076,268.51363014626605,0.17121387396595045,0.13542199518868314
capacity_vol,P2,3201,114.51000641500755,178.35855863233223,206.2009927515076,268.51363014626605,0.4446680159634182,0.33575603392954056
capacity_vol,P3,3201,95.52374688055069,141.65450118776334,206.2009927515076,268.51363014626605,0.5367444860187159,0.47244949498243116
energy_grav,P1,3201,174.42097755743237,233.70264219119707,220.42338785954152,282.6394465051339,0.20870022346005712,0.17314216015862427
energy_grav,P2,3201,135.55800211091187,202.90073444369816,220.42338785954152,282.6394465051339,0.38501080385674713,0.28212166789672566
energy_grav,P3,3201,121.08640193135398,183.7311707118191,220.42338785954152,282.6394465051339,0.4506644548603308,0.3499450519604602
energy_vol,P1,3201,606.1254844800219,810.4598718056219,760.2225767123205,973.7033647543188,0.20269996834178627,0.16765218120601433
energy_vol,P2,3201,460.14464639604984,694.2582195849785,760.2225767123205,973.7033647543188,0.3947237815719653,0.2869920709782582
energy_vol,P3,3201,411.73009791397664,634.8874340262058,760.2225767123205,973.7033647543188,0.45840848387513566,0.3479662728839412
max_delta_volume,P1,3201,0.04349661051299297,0.08321427074883779,0.04544783617983648,0.08403005444100971,0.04293330179950772,0.009708237101579087
max_delta_volume,P2,3201,0.04283728487669072,0.08229417390813637,0.04544783617983648,0.08403005444100971,0.057440607135086474,0.020657853245733104
max_delta_volume,P3,3201,0.04095827750244271,0.07831793591780663,0.04544783617983648,0.08403005444100971,0.09878487194920893,0.06797708940213842
stability_charge,P1,3201,0.049575144359326535,0.10618822755934545,0.04991495610383323,0.10879208633526642,0.006807814150929348,0.023934266394125547
stability_charge,P2,3201,0.04818082973166154,0.10162422014669793,0.04991495610383323,0.10879208633526642,0.034741618695694254,0.0658859153273259
stability_charge,P3,3201,0.048655935959155544,0.09167977103556096,0.04991495610383323,0.10879208633526642,0.02522330465559597,0.15729375064074191
stability_discharge,P1,3201,0.03737888802794709,0.08090483500845262,0.03925292172022168,0.08235246345448773,0.047742527438643045,0.017578447387128104
stability_discharge,P2,3201,0.036917595480771774,0.08027071437418272,0.03925292172022168,0.08235246345448773,0.059494329010592595,0.025278528327880467
stability_discharge,P3,3201,0.03710591227117108,0.07162564505692195,0.03925292172022168,0.08235246345448773,0.0546968061219385,0.13025497899639604
stability_worst,P1,3201,0.0492656966230984,0.10587247005448018,0.048587599195219565,0.10845429449477255,-0.013956183040744863,0.02380564506292382
stability_worst,P2,3201,0.04819565478549264,0.10108301646041552,0.048587599195219565,0.10845429449477255,0.008066758107395544,0.06796667728738315
stability_worst,P3,3201,0.04912197862694612,0.09137541049922762,0.048587599195219565,0.10845429449477255,-0.010998267882705415,0.15747540542406202
