query_id,manual_candidate_id,shortlist_priority_rank,battery_formula,formula_discharge,framework_formula,coarse_family,chemical_system_uid,query_type,query_priority,query_priority_tier,search_platform,search_query,search_url,query_note,manual_check_required,recommended_action,normalized_search_query,manual_checked,annotation_status,analogue_level,relevance_score_0_to_3,citation_title,citation_year,doi,url,source_journal_or_database,same_sodium_working_ion,same_formula,same_framework,same_transition_metal,same_anion_framework,electrochemical_evidence_reported,computed_or_experimental,manual_evidence_note,reviewer_initials,manual_check_date,needs_second_check,evidence_confidence_0_to_3,do_not_use_as_discovery_claim,manual_filling_hint,negative_result_rule
Q0001,Na_candidate_01,1,Na0-2VF5,Na2VF5,VF5,halide_or_fluoride_like,F-V,_exact_formula_sodium_ion,1,A_try_first,Google Scholar,Na2VF5 sodium ion battery cathode,https://scholar.google.com/scholar?q=Na2VF5+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,TRUE,search_this_first,na2vf5 sodium ion battery cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0002,Na_candidate_01,1,Na0-2VF5,Na2VF5,VF5,halide_or_fluoride_like,F-V,_exact_formula_electrode,2,A_try_first,Google Scholar,Na2VF5 electrode cathode,https://scholar.google.com/scholar?q=Na2VF5+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,TRUE,search_this_first,na2vf5 electrode cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0003,Na_candidate_01,1,Na0-2VF5,Na2VF5,VF5,halide_or_fluoride_like,F-V,quoted_literature_formula,3,B_try_second,Google Scholar,"""Na2VF5"" sodium ion battery cathode",https://scholar.google.com/scholar?q=%22Na2VF5%22+sodium+ion+battery+cathode,Quoted formula query. Use after the unquoted query; quotes can miss papers using subscripts/spaces.,TRUE,search_if_needed,"""na2vf5"" sodium ion battery cathode",TRUE,exact_or_near_exact_formula,exact_formula,2,Machine Learning Screening of Metal-ion Battery Electrode Materials,2021,10.1021/acsami.1c04627,https://pubs.acs.org/doi/10.1021/acsami.1c04627,ACS Applied Materials & Interfaces / ACS Publications,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,computed,"Exact Na2VF5/VF5 pair appears in a computational ML/DFT+U electrode-screening study. This is exact formula-level computational evidence only, not experimental validation; interpretation should be second-checked before treating it as positive support.",Md Efatuzzaman Efat,7/6/2026,TRUE,2,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0004,Na_candidate_01,1,Na0-2VF5,Na2VF5,VF5,halide_or_fluoride_like,F-V,variable_sodium_literature_formula,4,B_try_second,Google Scholar,NaxVF5 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxVF5+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,TRUE,search_if_needed,naxvf5 sodium ion battery cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0005,Na_candidate_01,1,Na0-2VF5,Na2VF5,VF5,halide_or_fluoride_like,F-V,_framework_formula,5,B_try_second,Google Scholar,VF5 sodium ion battery cathode,https://scholar.google.com/scholar?q=VF5+sodium+ion+battery+cathode,"Framework-level search-friendly formula. This is analogue evidence, not exact formula validation.",TRUE,search_if_needed,vf5 sodium ion battery cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0006,Na_candidate_01,1,Na0-2VF5,Na2VF5,VF5,halide_or_fluoride_like,F-V,material_phrase_fluoride,6,C_broad_fallback,Google Scholar,vanadium fluoride sodium ion battery cathode,https://scholar.google.com/scholar?q=vanadium+fluoride+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,TRUE,search_if_needed,vanadium fluoride sodium ion battery cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0007,Na_candidate_01,1,Na0-2VF5,Na2VF5,VF5,halide_or_fluoride_like,F-V,broad_family_fluoride,7,C_broad_fallback,Google Scholar,transition metal fluoride sodium ion battery cathode,https://scholar.google.com/scholar?q=transition+metal+fluoride+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,TRUE,search_if_needed,transition metal fluoride sodium ion battery cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0008,Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,_exact_formula_sodium_ion,1,A_try_first,Google Scholar,NaCoO2 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaCoO2+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,TRUE,search_this_first,nacoo2 sodium ion battery cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0009,Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,_exact_formula_electrode,2,A_try_first,Google Scholar,NaCoO2 electrode cathode,https://scholar.google.com/scholar?q=NaCoO2+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,TRUE,search_this_first,nacoo2 electrode cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0010,Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,quoted_literature_formula,3,B_try_second,Google Scholar,"""NaCoO2"" sodium ion battery cathode",https://scholar.google.com/scholar?q=%22NaCoO2%22+sodium+ion+battery+cathode,Quoted formula query. Use after the unquoted query; quotes can miss papers using subscripts/spaces.,TRUE,search_if_needed,"""nacoo2"" sodium ion battery cathode",TRUE,exact_or_near_exact_formula,exact_formula,3,Sol-gel-based synthesis of high-capacity-NaCoO2 cathode for advanced sodium-ion batteries,2024,10.1016/j.electacta.2024.145201,https://www.sciencedirect.com/science/article/abs/pii/S0013468624014373,Electrochimica Acta,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,experimental,"Paper reports experimental synthesis and electrochemical testing of phase-pure P2-NaCoO2 as a sodium-ion battery cathode. The reported NaCoO2 formula directly matches the discharged formula of the Na0-1CoO2 candidate, and the study reports discharge capacity and energy-density values. This is exact formula-level experimental cathode evidence, but it should still not be treated as validation of the specific Materials Project computed record.",Md Efatuzzaman Efat,7/6/2026,FALSE,3,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
