record_index,working_ion,electrode_uid,dup_exact_electrode_uid,dup_same_ion_framework_charge_discharge_formula,dup_same_ion_charge_discharge_ids,dup_same_framework_uid,dup_same_ion_battery_formula_framework
Li_000000,Li,el_bd4da6eb02eac05f,False,False,False,False,False
Li_000001,Li,el_ded74e08b5c8e751,False,False,False,False,False
Li_000002,Li,el_8a0ba3fe86e34778,False,False,False,False,False
Li_000003,Li,el_e6483b8050aecae0,False,False,False,False,False
Li_000004,Li,el_a57292c5ea11d309,False,False,False,False,False
Li_000005,Li,el_fd179b3805350736,False,False,False,False,False
Li_000006,Li,el_2d91fe42e607ab38,False,False,False,False,False
Li_000007,Li,el_f212d14cd7c2eebf,False,False,False,False,False
Li_000008,Li,el_0b8e3edcce0f7e84,False,False,False,False,False
Li_000009,Li,el_2cfe28a2f7908aa1,False,False,False,False,False
Li_000010,Li,el_d9b12859d9c91670,False,False,False,False,False
Li_000011,Li,el_841d4b04311e699f,False,False,False,False,False
Li_000012,Li,el_2a38121f8973571d,False,False,False,False,False
Li_000013,Li,el_464c04f7aac886dd,False,False,False,False,False
Li_000014,Li,el_7e10a02183c06a00,False,False,False,False,False
Li_000015,Li,el_c7c2d834aadb4498,False,False,False,False,False
Li_000016,Li,el_4fb11146621e8629,False,False,False,False,False
Li_000017,Li,el_a9c4bda41885dce6,False,False,False,False,False
Li_000018,Li,el_3f53a2675db55a3a,False,False,False,False,False
Li_000019,Li,el_b11d9cea25d000f8,False,False,False,False,False
Li_000020,Li,el_af43d8f25217d61c,False,False,False,False,False
Li_000021,Li,el_9035d0830f4a62f1,False,False,False,False,False
Li_000022,Li,el_0d690edca9af730e,False,False,False,False,False
Li_000023,Li,el_d3afb56059ae4539,False,False,False,False,False
Li_000024,Li,el_066b0688c6c0d27a,False,False,False,False,False
Li_000025,Li,el_c6ebaed8915e8365,False,False,False,False,False
Li_000026,Li,el_b8ba6fdb10acd3e3,False,False,False,False,False
Li_000027,Li,el_0e6169bfd74017f6,False,False,False,False,False
Li_000028,Li,el_b791b113d13c9673,False,False,False,False,False
Li_000029,Li,el_b7ac414d1e98d7b4,False,False,False,False,False
Li_000030,Li,el_0fc23bdf288bfab8,False,False,False,False,False
Li_000031,Li,el_2297c6737aa0e6bb,False,False,False,False,False
Li_000032,Li,el_01b0fff7fd44f3be,False,False,False,False,False
Li_000033,Li,el_a2b8754869faed7b,False,False,False,False,False
Li_000034,Li,el_81e69539f7266350,False,False,False,True,False
Li_000035,Li,el_51a57ebebe826069,False,False,False,True,False
Li_000036,Li,el_016559bd77a93e2d,False,False,False,False,False
Li_000037,Li,el_fa6cc83456914e92,False,False,False,False,False
Li_000038,Li,el_1e050e37835037e6,False,False,False,False,False
Li_000039,Li,el_c7b1860177eeba03,False,False,False,False,False
Li_000040,Li,el_48602aa9f479d138,False,False,False,False,False
Li_000041,Li,el_13a4312eba562369,False,False,False,False,False
Li_000042,Li,el_60362dbebf3dbc4a,False,False,False,False,False
Li_000043,Li,el_15ca1ac080a14f46,False,False,False,False,False
