working_ion,coarse_family,n_records
K,halide_or_fluoride_like,49
K,polyanion_phosphate_like,37
K,transition_metal_oxide_like,32
K,other_or_unclear,23
K,sulfide_like,10
K,sulfate_or_sulfur_oxoanion_like,7
K,organic_or_carbon_like,2
K,oxide_like_other,2
K,oxyfluoride_or_fluoropolyanion_like,2
Li,transition_metal_oxide_like,1045
Li,polyanion_phosphate_like,1038
Li,oxyfluoride_or_fluoropolyanion_like,227
Li,halide_or_fluoride_like,156
Li,silicate_like,115
Li,sulfate_or_sulfur_oxoanion_like,80
Li,other_or_unclear,57
Li,sulfide_like,31
Li,oxide_like_other,20
Li,organic_or_carbon_like,5
Na,polyanion_phosphate_like,141
Na,transition_metal_oxide_like,129
Na,halide_or_fluoride_like,45
Na,other_or_unclear,35
Na,sulfate_or_sulfur_oxoanion_like,21
Na,silicate_like,18
Na,sulfide_like,14
Na,organic_or_carbon_like,7
Na,oxide_like_other,6
