working_ion,id_role,source,n_unique_material_ids,n_rows
K,anywhere_raw_record,whole_raw_record_regex,412,575
K,id_charge,harmonized_core_column,164,164
K,id_charge,raw_role_specific_alias,164,164
K,id_discharge,harmonized_core_column,164,164
K,id_discharge,raw_role_specific_alias,164,164
K,material_ids,harmonized_core_column,411,411
K,material_ids,raw_role_specific_alias,411,411
Li,anywhere_raw_record,whole_raw_record_regex,8530,11303
Li,id_charge,harmonized_core_column,2774,2774
Li,id_charge,raw_role_specific_alias,2774,2774
Li,id_discharge,harmonized_core_column,2774,2774
Li,id_discharge,raw_role_specific_alias,2774,2774
Li,material_ids,harmonized_core_column,8529,8529
Li,material_ids,raw_role_specific_alias,8529,8529
Na,anywhere_raw_record,whole_raw_record_regex,1213,1628
Na,id_charge,harmonized_core_column,416,416
Na,id_charge,raw_role_specific_alias,416,416
Na,id_discharge,harmonized_core_column,416,416
Na,id_discharge,raw_role_specific_alias,416,416
Na,material_ids,harmonized_core_column,1212,1212
Na,material_ids,raw_role_specific_alias,1212,1212
