material_id,linked_summary_has_structure,structure_nsites_if_parseable,structure_formula_if_available
mp-aaaaaaax,True,1,
mp-aaaaaabc,True,1,
mp-aaaaaabt,True,1,
mp-aaaaaadc,True,2,
mp-aaaaaady,True,1,
mp-aaaaaaeu,True,1,
mp-aaaaaahi,True,16,
mp-aaaaaajm,True,8,
mp-aaaaaapa,True,6,
mp-aaaaaavp,True,14,
mp-aaaaabas,True,3,
mp-aaaaabet,True,14,
mp-aaaaabta,True,3,
mp-aaaaacsu,True,24,
mp-aaaaacvj,True,3,
mp-aaaaadbu,True,4,
mp-aaaaadey,True,9,
mp-aaaaadfg,True,14,
mp-aaaaadgk,True,3,
mp-aaaaadgx,True,6,
mp-aaaaadyf,True,12,
mp-aaaaaeqq,True,5,
mp-aaaaaeye,True,4,
mp-aaaaafge,True,24,
mp-aaaaafnn,True,40,
mp-aaaaafoa,True,8,
mp-aaaaafrq,True,20,
mp-aaaaafuy,True,8,
mp-aaaaafxc,True,8,
mp-aaaaaggo,True,4,
mp-aaaaagla,True,5,
mp-aaaaagnp,True,14,
mp-aaaaagsr,True,4,
mp-aaaaagzf,True,5,
mp-aaaaahga,True,14,
mp-aaaaahkd,True,20,
mp-aaaaahpf,True,12,
mp-aaaaahtu,True,5,
mp-aaaaaibp,True,21,
mp-aaaaaifl,True,3,
mp-aaaaaikc,True,14,
mp-aaaaaivb,True,8,
mp-aaaaaiwr,True,76,
mp-aaaaajfm,True,40,
mp-aaaaajld,True,80,
mp-aaaaajma,True,80,
mp-aaaaajmq,True,24,
mp-aaaaajor,True,20,
mp-aaaaajot,True,24,
mp-aaaaajpo,True,64,
mp-aaaaajpw,True,24,
mp-aaaaajxo,True,76,
mp-aaaaajzv,True,40,
mp-aaaaakab,True,36,
mp-aaaaakcw,True,64,
mp-aaaaakda,True,100,
mp-aaaaakhc,True,16,
mp-aaaaakia,True,10,
mp-aaaaakji,True,4,
mp-aaaaakox,True,11,
mp-aaaaakxr,True,5,
mp-aaaaakzx,True,6,
mp-aaaaalbh,True,12,
mp-aaaaaled,True,4,
mp-aaaaaleo,True,4,
mp-aaaaaley,True,14,
mp-aaaaaltg,True,8,
mp-aaaaalth,True,8,
mp-aaaaalti,True,8,
mp-aaaaaltj,True,8,
mp-aaaaaltk,True,8,
mp-aaaaaltz,True,8,
mp-aaaaalua,True,8,
mp-aaaaamae,True,14,
mp-aaaaamcz,True,10,
mp-aaaaameg,True,2,
mp-aaaaamua,True,1,
mp-aaaaamub,True,1,
mp-aaaaamuc,True,1,
mp-aaaaamue,True,1,
mp-aaaaamuf,True,1,
mp-aaaaamuj,True,1,
mp-aaaaamuk,True,1,
mp-aaaaanjf,True,12,
mp-aaaaanog,True,4,
mp-aaaaanov,True,12,
mp-aaaaanqx,True,14,
mp-aaaaanro,True,6,
mp-aaaaaodt,True,3,
mp-aaaaaofv,True,4,
mp-aaaaaola,True,14,
mp-aaaaaovx,True,6,
mp-aaaaapat,True,4,
mp-aaaaapbn,True,4,
mp-aaaaapbr,True,3,
mp-aaaaapbs,True,3,
mp-aaaaapbx,True,4,
mp-aaaaapdg,True,4,
mp-aaaaapdh,True,4,
mp-aaaaapsw,True,1,
mp-aaaaapux,True,1,
mp-aaaaapzu,True,8,
mp-aaaaaqhy,True,8,
mp-aaaaaqjb,True,32,
mp-aaaaaqoa,True,4,
mp-aaaaaqpa,True,20,
mp-aaaaarna,True,3,
mp-aaaaasar,True,56,
mp-aaaaaspg,True,3,
mp-aaaaasrr,True,14,
mp-aaaaatjp,True,12,
mp-aaaaaugl,True,10,
mp-aaaaauoz,True,54,
mp-aaaaautd,True,8,
mp-aaaaauvr,True,16,
mp-aaaaaxgu,True,4,
mp-aaaaaxhe,True,80,
mp-aaaaaxnq,True,17,
mp-aaaaaybv,True,4,
mp-aaaaaycr,True,20,
mp-aaaaaygb,True,76,
mp-aaaaaymr,True,92,
mp-aaaaazbh,True,24,
mp-aaaaazcd,True,40,
mp-aaaaazji,True,44,
mp-aaaaazne,True,34,
mp-aaaaazpy,True,46,
mp-aaaaazrl,True,36,
mp-aaaaazst,True,32,
mp-aaaaazvp,True,44,
mp-aaaaazwh,True,44,
mp-aaaaazxe,True,36,
mp-aaaabadk,True,32,
mp-aaaabagw,True,27,
mp-aaaabalo,True,28,
mp-aaaabapb,True,28,
mp-aaaabaqh,True,24,
mp-aaaabaqj,True,20,
mp-aaaabawo,True,20,
mp-aaaabazt,True,28,
mp-aaaabbaw,True,40,
mp-aaaabbfi,True,36,
mp-aaaabbhb,True,44,
mp-aaaabbjh,True,42,
mp-aaaabbkq,True,36,
mp-aaaabbky,True,24,
mp-aaaabboy,True,36,
mp-aaaabbqt,True,24,
mp-aaaabbrt,True,24,
mp-aaaabbsc,True,32,
mp-aaaabbsh,True,40,
mp-aaaabbtl,True,10,
mp-aaaabbtv,True,8,
mp-aaaabbub,True,16,
mp-aaaabbuc,True,44,
mp-aaaabbuk,True,8,
mp-aaaabbuv,True,4,
mp-aaaabbuw,True,20,
mp-aaaabbvl,True,36,
mp-aaaabbvx,True,19,
mp-aaaabbvz,True,22,
mp-aaaabbwl,True,24,
mp-aaaabbww,True,50,
mp-aaaabbxk,True,36,
mp-aaaabbyc,True,11,
mp-aaaabbyf,True,13,
mp-aaaabbyu,True,38,
mp-aaaabbzb,True,10,
mp-aaaabbze,True,24,
mp-aaaabbzj,True,22,
mp-aaaabbzn,True,28,
mp-aaaabbzt,True,4,
mp-aaaabbzx,True,44,
mp-aaaabcae,True,24,
mp-aaaabcag,True,16,
mp-aaaabcal,True,10,
mp-aaaabcap,True,8,
mp-aaaabcav,True,12,
mp-aaaabcax,True,28,
mp-aaaabcbc,True,12,
mp-aaaabcbd,True,4,
mp-aaaabcbo,True,32,
mp-aaaabcch,True,22,
mp-aaaabcci,True,24,
mp-aaaabccr,True,28,
mp-aaaabcct,True,20,
mp-aaaabccu,True,14,
mp-aaaabcdh,True,16,
mp-aaaabcdl,True,28,
mp-aaaabceb,True,16,
mp-aaaabcel,True,20,
mp-aaaabcfd,True,40,
mp-aaaabcgt,True,22,
mp-aaaabcgx,True,14,
mp-aaaabcgz,True,18,
mp-aaaabchb,True,16,
mp-aaaabchv,True,36,
