working_ion,record_index,electrode_uid,raw_electrode_has_structure_like_field,any_linked_material_has_structure,record_has_any_structure_route
Li,Li_000000,el_bd4da6eb02eac05f,True,True,True
Li,Li_000001,el_ded74e08b5c8e751,True,True,True
Li,Li_000002,el_8a0ba3fe86e34778,True,True,True
Li,Li_000003,el_e6483b8050aecae0,True,True,True
Li,Li_000004,el_a57292c5ea11d309,True,True,True
Li,Li_000005,el_fd179b3805350736,True,True,True
Li,Li_000006,el_2d91fe42e607ab38,True,True,True
Li,Li_000007,el_f212d14cd7c2eebf,True,True,True
Li,Li_000008,el_0b8e3edcce0f7e84,True,True,True
Li,Li_000009,el_2cfe28a2f7908aa1,True,True,True
Li,Li_000010,el_d9b12859d9c91670,True,True,True
Li,Li_000011,el_841d4b04311e699f,True,True,True
Li,Li_000012,el_2a38121f8973571d,True,True,True
Li,Li_000013,el_464c04f7aac886dd,True,True,True
Li,Li_000014,el_7e10a02183c06a00,True,True,True
Li,Li_000015,el_c7c2d834aadb4498,True,True,True
Li,Li_000016,el_4fb11146621e8629,True,True,True
Li,Li_000017,el_a9c4bda41885dce6,True,True,True
Li,Li_000018,el_3f53a2675db55a3a,True,True,True
Li,Li_000019,el_b11d9cea25d000f8,True,True,True
Li,Li_000020,el_af43d8f25217d61c,True,True,True
Li,Li_000021,el_9035d0830f4a62f1,True,True,True
Li,Li_000022,el_0d690edca9af730e,True,True,True
Li,Li_000023,el_d3afb56059ae4539,True,True,True
Li,Li_000024,el_066b0688c6c0d27a,True,True,True
Li,Li_000025,el_c6ebaed8915e8365,True,True,True
Li,Li_000026,el_b8ba6fdb10acd3e3,True,True,True
Li,Li_000027,el_0e6169bfd74017f6,True,True,True
Li,Li_000028,el_b791b113d13c9673,True,True,True
Li,Li_000029,el_b7ac414d1e98d7b4,True,True,True
Li,Li_000030,el_0fc23bdf288bfab8,True,True,True
Li,Li_000031,el_2297c6737aa0e6bb,True,True,True
Li,Li_000032,el_01b0fff7fd44f3be,True,True,True
Li,Li_000033,el_a2b8754869faed7b,True,True,True
Li,Li_000034,el_81e69539f7266350,True,True,True
Li,Li_000035,el_51a57ebebe826069,True,True,True
Li,Li_000036,el_016559bd77a93e2d,True,True,True
Li,Li_000037,el_fa6cc83456914e92,True,True,True
Li,Li_000038,el_1e050e37835037e6,True,True,True
Li,Li_000039,el_c7b1860177eeba03,True,True,True
Li,Li_000040,el_48602aa9f479d138,True,True,True
Li,Li_000041,el_13a4312eba562369,True,True,True
Li,Li_000042,el_60362dbebf3dbc4a,True,True,True
Li,Li_000043,el_15ca1ac080a14f46,True,True,True
Li,Li_000044,el_79be5794de300165,True,True,True
Li,Li_000045,el_56592bad436f3e38,True,True,True
Li,Li_000046,el_d43a546f36a687f6,True,True,True
Li,Li_000047,el_bb425447565a4bfd,True,True,True
Li,Li_000048,el_46388e235f64dba5,True,True,True
Li,Li_000049,el_2fae3837b02db4a9,True,True,True
Li,Li_000050,el_0e8f4c7e0a9e3595,True,True,True
Li,Li_000051,el_d1f112aa624efe40,True,True,True
Li,Li_000052,el_616a44875b42f5b2,True,True,True
Li,Li_000053,el_eaee6af9a7ce0c47,True,True,True
Li,Li_000054,el_d09e1fad5e15cc6d,True,True,True
Li,Li_000055,el_060a432515703153,True,True,True
Li,Li_000056,el_7310139187485b37,True,True,True
Li,Li_000057,el_639722db1a5df0c9,True,True,True
Li,Li_000058,el_d21a8bc4981deaf1,True,True,True
Li,Li_000059,el_6a495c7eff511a2d,True,True,True
Li,Li_000060,el_746383e6d6d04cb0,True,True,True
Li,Li_000061,el_cdd6054753a1c730,True,True,True
Li,Li_000062,el_996b377ab3ae7006,True,True,True
Li,Li_000063,el_cbf30263466466b8,True,True,True
Li,Li_000064,el_28c5a08e6b3943a9,True,True,True
Li,Li_000065,el_eeed3ef1afc1dea5,True,True,True
Li,Li_000066,el_0c498e437a8d13dd,True,True,True
Li,Li_000067,el_779a1ed329f67972,True,True,True
Li,Li_000068,el_89b8be5c203a8aaf,True,True,True
Li,Li_000069,el_dc95a1ef4017db86,True,True,True
Li,Li_000070,el_68b117d1ae8e68d6,True,True,True
Li,Li_000071,el_d07ee6278cdce42a,True,True,True
Li,Li_000072,el_ce68d0f6fd4caf41,True,True,True
Li,Li_000073,el_4b78d9728e2fa734,True,True,True
Li,Li_000074,el_64c54677d063b930,True,True,True
Li,Li_000075,el_ff951ba8333969ee,True,True,True
Li,Li_000076,el_3cc692cec84c56ca,True,True,True
Li,Li_000077,el_f4bc25d56ec13095,True,True,True
Li,Li_000078,el_3de25a3f955089c1,True,True,True
Li,Li_000079,el_d91289e5d547adbf,True,True,True
Li,Li_000080,el_c471b8ecd90766e4,True,True,True
Li,Li_000081,el_a003c147679862cb,True,True,True
Li,Li_000082,el_a4224a064f92ee69,True,True,True
Li,Li_000083,el_df104b2bc3ba3de9,True,True,True
Li,Li_000084,el_3198ac708003d5bb,True,True,True
Li,Li_000085,el_cb0e1e0167fe72e8,True,True,True
Li,Li_000086,el_c95516f661ab1bc1,True,True,True
Li,Li_000087,el_07ba25b9ba2e35db,True,True,True
Li,Li_000088,el_8304441bb4ce3ebe,True,True,True
Li,Li_000089,el_825a2b0504e229f4,True,True,True
Li,Li_000090,el_ac097ac9bfd733a1,True,True,True
Li,Li_000091,el_dc6a5ca54db3f054,True,True,True
Li,Li_000092,el_59001b45cda23ed3,True,True,True
Li,Li_000093,el_c98a6b0bba0b5707,True,True,True
Li,Li_000094,el_f37ff95db5b6e395,True,True,True
Li,Li_000095,el_209973dbf2281ad6,True,True,True
Li,Li_000096,el_a1665486a4d01b68,True,True,True
Li,Li_000097,el_01ead53df345dc90,True,True,True
Li,Li_000098,el_f95b26358460e15b,True,True,True
Li,Li_000099,el_2965478e8d5fa199,True,True,True
Li,Li_000100,el_7a92639d53b43507,True,True,True
Li,Li_000101,el_e71f2e260958f22d,True,True,True
Li,Li_000102,el_73ea05af4a4c9b06,True,True,True
Li,Li_000103,el_2e9410b6fd0856a3,True,True,True
Li,Li_000104,el_964ef1f6da53e478,True,True,True
Li,Li_000105,el_09e4579814fdf249,True,True,True
Li,Li_000106,el_745244037161ca73,True,True,True
Li,Li_000107,el_23def158803feae6,True,True,True
Li,Li_000108,el_f38bdcdc24baaf03,True,True,True
Li,Li_000109,el_199a0f139a08e187,True,True,True
Li,Li_000110,el_d48716ce1240e174,True,True,True
Li,Li_000111,el_fadb5d0f3da4f7c6,True,True,True
Li,Li_000112,el_cffa068a0b1ccf24,True,True,True
Li,Li_000113,el_949631c6d267a846,True,True,True
Li,Li_000114,el_13f105f24db3e589,True,True,True
Li,Li_000115,el_dc93a997573657b0,True,True,True
Li,Li_000116,el_29670a220fc60f5b,True,True,True
Li,Li_000117,el_c36aa096c6daf3f0,True,True,True
Li,Li_000118,el_c2ab962b22ab6f96,True,True,True
Li,Li_000119,el_d907c8259297e30c,True,True,True
Li,Li_000120,el_b45eea9642bec2db,True,True,True
Li,Li_000121,el_5ea1073449dc3150,True,True,True
Li,Li_000122,el_9d210e5ac925798a,True,True,True
Li,Li_000123,el_af2da3fa665b4324,True,True,True
Li,Li_000124,el_96c1abf4d96608f0,True,True,True
Li,Li_000125,el_05b0eb23b4b72a48,True,True,True
Li,Li_000126,el_3599653dd2d5aa2f,True,True,True
Li,Li_000127,el_d0d5a902d9cdcc46,True,True,True
Li,Li_000128,el_f57e63fcf1d24650,True,True,True
Li,Li_000129,el_2048bce65348b5e1,True,True,True
Li,Li_000130,el_6753356c4b4f187b,True,True,True
Li,Li_000131,el_bbebb2596cb4c3d2,True,True,True
Li,Li_000132,el_54d5e186e71485c0,True,True,True
Li,Li_000133,el_6a0e688d0703e284,True,True,True
Li,Li_000134,el_44c132616c03d1cf,True,True,True
Li,Li_000135,el_e7fe2b0c14e8bd4d,True,True,True
Li,Li_000136,el_c4b7269895c5d469,True,True,True
Li,Li_000137,el_307fbe067566b8f7,True,True,True
Li,Li_000138,el_b53962fe6b84f776,True,True,True
Li,Li_000139,el_10bdb4ec5ac99244,True,True,True
Li,Li_000140,el_96641de0e7524285,True,True,True
Li,Li_000141,el_9805bf181c6da529,True,True,True
Li,Li_000142,el_2695a2b9d57f252a,True,True,True
Li,Li_000143,el_56c3e96049f299e0,True,True,True
Li,Li_000144,el_09e7db33fdc4cc65,True,True,True
Li,Li_000145,el_3425fc6912f6d6cf,True,True,True
Li,Li_000146,el_0e84fcf6f3aa4353,True,True,True
Li,Li_000147,el_8b286653c81dd024,True,True,True
Li,Li_000148,el_a759c24fa03e5685,True,True,True
Li,Li_000149,el_b4a948b1a2bd319b,True,True,True
Li,Li_000150,el_844f522d74da1a38,True,True,True
Li,Li_000151,el_f8523f95776d7f11,True,True,True
