working_ion,target,n_records,n_non_missing,coverage_pct
K,average_voltage,164,164,100.0
K,capacity_grav,164,164,100.0
K,capacity_vol,164,164,100.0
K,energy_grav,164,164,100.0
K,energy_vol,164,164,100.0
K,max_delta_volume,164,164,100.0
K,stability_charge,164,164,100.0
K,stability_discharge,164,164,100.0
K,stability_worst,164,164,100.0
Li,average_voltage,2774,2774,100.0
Li,capacity_grav,2774,2774,100.0
Li,capacity_vol,2774,2774,100.0
Li,energy_grav,2774,2774,100.0
Li,energy_vol,2774,2774,100.0
Li,max_delta_volume,2774,2774,100.0
Li,stability_charge,2774,2774,100.0
Li,stability_discharge,2774,2774,100.0
Li,stability_worst,2774,2774,100.0
Na,average_voltage,416,416,100.0
Na,capacity_grav,416,416,100.0
Na,capacity_vol,416,416,100.0
Na,energy_grav,416,416,100.0
Na,energy_vol,416,416,100.0
Na,max_delta_volume,416,416,100.0
Na,stability_charge,416,416,100.0
Na,stability_discharge,416,416,100.0
Na,stability_worst,416,416,100.0
