feature,feature_origin,default_max_leakage_level_across_targets,is_target_column,n_non_missing,non_missing_pct,n_unique_values
fw_X_max,composition_known_framework,L0,False,3354,100.0,33
fw_X_mean,composition_known_framework,L0,False,3354,100.0,1484
fw_X_min,composition_known_framework,L0,False,3354,100.0,51
fw_X_range,composition_known_framework,L0,False,3354,100.0,136
fw_X_std,composition_known_framework,L0,False,3354,100.0,1691
fw_Z_max,composition_known_framework,L0,False,3354,100.0,60
fw_Z_mean,composition_known_framework,L0,False,3354,100.0,1005
fw_Z_min,composition_known_framework,L0,False,3354,100.0,42
fw_Z_range,composition_known_framework,L0,False,3354,100.0,79
fw_Z_std,composition_known_framework,L0,False,3354,100.0,1628
fw_atomic_mass_max,composition_known_framework,L0,False,3354,100.0,60
fw_atomic_mass_mean,composition_known_framework,L0,False,3354,100.0,1727
fw_atomic_mass_min,composition_known_framework,L0,False,3354,100.0,42
fw_atomic_mass_range,composition_known_framework,L0,False,3354,100.0,216
fw_atomic_mass_std,composition_known_framework,L0,False,3354,100.0,1709
fw_frac_Ag,composition_known_framework,L0,False,3354,100.0,12
fw_frac_Al,composition_known_framework,L0,False,3354,100.0,9
fw_frac_As,composition_known_framework,L0,False,3354,100.0,9
fw_frac_B,composition_known_framework,L0,False,3354,100.0,13
fw_frac_Br,composition_known_framework,L0,False,3354,100.0,4
fw_frac_C,composition_known_framework,L0,False,3354,100.0,24
fw_frac_Ca,composition_known_framework,L0,False,3354,100.0,9
fw_frac_Cl,composition_known_framework,L0,False,3354,100.0,16
fw_frac_Co,composition_known_framework,L0,False,3354,100.0,58
fw_frac_Cr,composition_known_framework,L0,False,3354,100.0,57
fw_frac_Cu,composition_known_framework,L0,False,3354,100.0,46
fw_frac_F,composition_known_framework,L0,False,3354,100.0,63
fw_frac_Fe,composition_known_framework,L0,False,3354,100.0,88
fw_frac_I,composition_known_framework,L0,False,3354,100.0,3
fw_frac_K,composition_known_framework,L0,False,3354,100.0,16
fw_frac_Li,composition_known_framework,L0,False,3354,100.0,7
fw_frac_Mg,composition_known_framework,L0,False,3354,100.0,19
fw_frac_Mn,composition_known_framework,L0,False,3354,100.0,82
fw_frac_N,composition_known_framework,L0,False,3354,100.0,12
fw_frac_Na,composition_known_framework,L0,False,3354,100.0,21
fw_frac_Ni,composition_known_framework,L0,False,3354,100.0,65
fw_frac_O,composition_known_framework,L0,False,3354,100.0,126
fw_frac_P,composition_known_framework,L0,False,3354,100.0,50
fw_frac_S,composition_known_framework,L0,False,3354,100.0,30
fw_frac_Si,composition_known_framework,L0,False,3354,100.0,26
fw_frac_Ti,composition_known_framework,L0,False,3354,100.0,58
fw_frac_V,composition_known_framework,L0,False,3354,100.0,66
fw_frac_Zn,composition_known_framework,L0,False,3354,100.0,12
fw_frac_transition_metals,composition_known_framework,L0,False,3354,100.0,136
fw_group_max,composition_known_framework,L0,False,3354,100.0,16
fw_group_mean,composition_known_framework,L0,False,3354,100.0,647
fw_group_min,composition_known_framework,L0,False,3354,100.0,16
fw_group_range,composition_known_framework,L0,False,3354,100.0,17
fw_group_std,composition_known_framework,L0,False,3354,100.0,1314
fw_has_Br,composition_known_framework,L0,False,3354,100.0,2
fw_has_C,composition_known_framework,L0,False,3354,100.0,2
fw_has_Cl,composition_known_framework,L0,False,3354,100.0,2
fw_has_F,composition_known_framework,L0,False,3354,100.0,2
fw_has_I,composition_known_framework,L0,False,3354,100.0,2
fw_has_N,composition_known_framework,L0,False,3354,100.0,2
fw_has_O,composition_known_framework,L0,False,3354,100.0,2
fw_has_P,composition_known_framework,L0,False,3354,100.0,2
fw_has_S,composition_known_framework,L0,False,3354,100.0,2
fw_has_Si,composition_known_framework,L0,False,3354,100.0,2
fw_n_atoms,composition_known_framework,L0,False,3354,100.0,63
fw_n_elements,composition_known_framework,L0,False,3354,100.0,6
fw_n_transition_metals,composition_known_framework,L0,False,3354,100.0,4
fw_parse_ok,composition_known_framework,L0,False,3354,100.0,1
fw_row_max,composition_known_framework,L0,False,3354,100.0,6
fw_row_mean,composition_known_framework,L0,False,3354,100.0,265
fw_row_min,composition_known_framework,L0,False,3354,100.0,6
fw_row_range,composition_known_framework,L0,False,3354,100.0,6
fw_row_std,composition_known_framework,L0,False,3354,100.0,422
wi_X,composition_known_working_ion,L0,False,3354,100.0,3
wi_Z,composition_known_working_ion,L0,False,3354,100.0,3
wi_atomic_mass,composition_known_working_ion,L0,False,3354,100.0,3
wi_group,composition_known_working_ion,L0,False,3354,100.0,1
wi_row,composition_known_working_ion,L0,False,3354,100.0,3
stored_abs_fracA_delta,other_numeric,L0,False,3354,100.0,367
charge_summary_nsites,relaxed_structure_summary,L0,False,3347,99.79129397734049,106
charge_summary_symmetry_number,relaxed_structure_summary,L0,False,3347,99.79129397734049,130
discharge_summary_nsites,relaxed_structure_summary,L0,False,3350,99.88073941562314,104
discharge_summary_symmetry_number,relaxed_structure_summary,L0,False,3350,99.88073941562314,138
num_steps,stored_electrode_process_descriptor,L0,False,3354,100.0,6
charge_summary_density,relaxed_structure_summary,L2,False,3347,99.79129397734049,3030
charge_summary_density_atomic,relaxed_structure_summary,L2,False,3347,99.79129397734049,3030
charge_summary_volume,relaxed_structure_summary,L2,False,3347,99.79129397734049,3030
charge_summary_volume_per_site,relaxed_structure_summary,L2,False,3347,99.79129397734049,3030
discharge_summary_density,relaxed_structure_summary,L2,False,3350,99.88073941562314,3337
discharge_summary_density_atomic,relaxed_structure_summary,L2,False,3350,99.88073941562314,3337
discharge_summary_volume,relaxed_structure_summary,L2,False,3350,99.88073941562314,3337
discharge_summary_volume_per_site,relaxed_structure_summary,L2,False,3350,99.88073941562314,3337
summary_abs_delta_density,relaxed_structure_summary,L2,False,3343,99.67203339296363,3334
summary_abs_delta_density_atomic,relaxed_structure_summary,L2,False,3343,99.67203339296363,3334
summary_abs_delta_volume_fraction,relaxed_structure_summary,L2,False,3343,99.67203339296363,3334
summary_abs_delta_volume_per_site,relaxed_structure_summary,L2,False,3343,99.67203339296363,3334
summary_delta_density,relaxed_structure_summary,L2,False,3343,99.67203339296363,3334
summary_delta_density_atomic,relaxed_structure_summary,L2,False,3343,99.67203339296363,3334
summary_delta_volume_fraction,relaxed_structure_summary,L2,False,3343,99.67203339296363,3334
summary_delta_volume_per_site,relaxed_structure_summary,L2,False,3343,99.67203339296363,3334
charge_formula_X_max,stoichiometric_window,L3,False,3354,100.0,33
charge_formula_X_mean,stoichiometric_window,L3,False,3354,100.0,1760
charge_formula_X_min,stoichiometric_window,L3,False,3354,100.0,49
charge_formula_X_range,stoichiometric_window,L3,False,3354,100.0,128
charge_formula_X_std,stoichiometric_window,L3,False,3354,100.0,1959
charge_formula_Z_max,stoichiometric_window,L3,False,3354,100.0,62
charge_formula_Z_mean,stoichiometric_window,L3,False,3354,100.0,1149
charge_formula_Z_min,stoichiometric_window,L3,False,3354,100.0,42
