feature,n_non_missing,non_missing_pct,n_unique_values
average_voltage,3354,100.0,3354
capacity_grav,3354,100.0,2510
capacity_vol,3354,100.0,3345
energy_grav,3354,100.0,3354
energy_vol,3354,100.0,3354
max_delta_volume,3354,100.0,3345
stability_charge,3354,100.0,2800
stability_discharge,3354,100.0,3051
fracA_charge,3354,100.0,120
fracA_discharge,3354,100.0,182
num_steps,3354,100.0,6
max_voltage_step,3354,100.0,538
stability_worst,3354,100.0,3152
fw_parse_ok,3354,100.0,1
fw_n_elements,3354,100.0,6
fw_n_atoms,3354,100.0,63
fw_frac_Li,3354,100.0,7
fw_frac_Na,3354,100.0,21
fw_frac_K,3354,100.0,16
fw_frac_O,3354,100.0,126
fw_frac_F,3354,100.0,63
fw_frac_P,3354,100.0,50
fw_frac_S,3354,100.0,30
fw_frac_Si,3354,100.0,26
fw_frac_C,3354,100.0,24
fw_frac_N,3354,100.0,12
fw_frac_B,3354,100.0,13
fw_frac_Cl,3354,100.0,16
fw_frac_Br,3354,100.0,4
fw_frac_I,3354,100.0,3
fw_frac_Mn,3354,100.0,82
fw_frac_Fe,3354,100.0,88
fw_frac_Co,3354,100.0,58
fw_frac_Ni,3354,100.0,65
fw_frac_Cu,3354,100.0,46
fw_frac_V,3354,100.0,66
fw_frac_Ti,3354,100.0,58
fw_frac_Cr,3354,100.0,57
fw_frac_Al,3354,100.0,9
fw_frac_Mg,3354,100.0,19
fw_frac_Ca,3354,100.0,9
fw_frac_Zn,3354,100.0,12
fw_frac_Ag,3354,100.0,12
fw_frac_As,3354,100.0,9
fw_Z_mean,3354,100.0,1005
fw_Z_min,3354,100.0,42
fw_Z_max,3354,100.0,60
fw_Z_range,3354,100.0,79
fw_Z_std,3354,100.0,1628
fw_atomic_mass_mean,3354,100.0,1727
fw_atomic_mass_min,3354,100.0,42
fw_atomic_mass_max,3354,100.0,60
fw_atomic_mass_range,3354,100.0,216
fw_atomic_mass_std,3354,100.0,1709
fw_X_mean,3354,100.0,1484
fw_X_min,3354,100.0,51
fw_X_max,3354,100.0,33
fw_X_range,3354,100.0,136
fw_X_std,3354,100.0,1691
fw_row_mean,3354,100.0,265
fw_row_min,3354,100.0,6
fw_row_max,3354,100.0,6
fw_row_range,3354,100.0,6
fw_row_std,3354,100.0,422
fw_group_mean,3354,100.0,647
fw_group_min,3354,100.0,16
fw_group_max,3354,100.0,16
fw_group_range,3354,100.0,17
fw_group_std,3354,100.0,1314
fw_has_O,3354,100.0,2
fw_has_F,3354,100.0,2
fw_has_P,3354,100.0,2
fw_has_S,3354,100.0,2
fw_has_Si,3354,100.0,2
fw_has_C,3354,100.0,2
fw_has_N,3354,100.0,2
fw_has_Cl,3354,100.0,2
fw_has_Br,3354,100.0,2
fw_has_I,3354,100.0,2
fw_n_transition_metals,3354,100.0,4
fw_frac_transition_metals,3354,100.0,136
charge_formula_parse_ok,3354,100.0,1
charge_formula_n_elements,3354,100.0,6
charge_formula_n_atoms,3354,100.0,76
charge_formula_frac_Li,3354,100.0,113
charge_formula_frac_Na,3354,100.0,42
charge_formula_frac_K,3354,100.0,30
charge_formula_frac_O,3354,100.0,155
charge_formula_frac_F,3354,100.0,71
charge_formula_frac_P,3354,100.0,60
charge_formula_frac_S,3354,100.0,36
