target,protocol,status,n_features,issues
average_voltage,P0,PASS,266,none
average_voltage,P1,PASS,73,none
average_voltage,P2,PASS,93,none
average_voltage,P3,PASS,108,none
average_voltage,P4,PASS,267,none
capacity_grav,P0,PASS,266,none
capacity_grav,P1,PASS,73,none
capacity_grav,P2,PASS,93,none
capacity_grav,P3,PASS,112,none
capacity_grav,P4,PASS,267,none
capacity_vol,P0,PASS,266,none
capacity_vol,P1,PASS,73,none
capacity_vol,P2,PASS,93,none
capacity_vol,P3,PASS,112,none
capacity_vol,P4,PASS,267,none
energy_grav,P0,PASS,266,none
energy_grav,P1,PASS,73,none
energy_grav,P2,PASS,93,none
energy_grav,P3,PASS,108,none
energy_grav,P4,PASS,267,none
energy_vol,P0,PASS,266,none
energy_vol,P1,PASS,73,none
energy_vol,P2,PASS,93,none
energy_vol,P3,PASS,108,none
energy_vol,P4,PASS,267,none
max_delta_volume,P0,PASS,266,none
max_delta_volume,P1,PASS,73,none
max_delta_volume,P2,PASS,77,none
max_delta_volume,P3,PASS,96,none
max_delta_volume,P4,PASS,267,none
stability_charge,P0,PASS,266,none
stability_charge,P1,PASS,73,none
stability_charge,P2,PASS,93,none
stability_charge,P3,PASS,105,none
stability_charge,P4,PASS,267,none
stability_discharge,P0,PASS,266,none
stability_discharge,P1,PASS,73,none
stability_discharge,P2,PASS,93,none
stability_discharge,P3,PASS,105,none
stability_discharge,P4,PASS,267,none
stability_worst,P0,PASS,266,none
stability_worst,P1,PASS,73,none
stability_worst,P2,PASS,93,none
stability_worst,P3,PASS,105,none
stability_worst,P4,PASS,267,none
