record_index,working_ion,electrode_uid,framework_uid,coarse_family,chemsys,host_chemsys_no_working_ion,mask_raw_all_records,mask_voltage_0_to_6,mask_capacity_grav_positive_le_1000,mask_capacity_vol_positive_le_10000,mask_energy_grav_nonnegative_le_6000,mask_energy_vol_nonnegative_le_50000,mask_volume_change_0_to_2,mask_stability_charge_0_to_2,mask_stability_discharge_0_to_2,mask_stability_worst_0_to_2,mask_physics_plausible_primary,mask_physics_plausible_all_targets
Li_000000,Li,el_bd4da6eb02eac05f,Li|AgAsF6,halide_or_fluoride_like,Ag-As-F,Ag-As-F,True,True,True,True,True,True,True,True,True,True,True,True
Li_000001,Li,el_ded74e08b5c8e751,Li|CsAcO3,oxide_like_other,Ac-Cs-O,Ac-Cs-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000002,Li,el_8a0ba3fe86e34778,Li|Ag,other_or_unclear,Ag,Ag,True,True,True,True,True,True,False,True,True,True,True,False
Li_000003,Li,el_e6483b8050aecae0,Li|AgClO4,transition_metal_oxide_like,Ag-Cl-O,Ag-Cl-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000004,Li,el_a57292c5ea11d309,Li|AgF4,halide_or_fluoride_like,Ag-F,Ag-F,True,True,True,True,True,True,True,True,True,True,True,True
Li_000005,Li,el_fd179b3805350736,Li|AgF2,halide_or_fluoride_like,Ag-F,Ag-F,True,True,True,True,True,True,True,True,True,True,True,True
Li_000006,Li,el_2d91fe42e607ab38,Li|AgF3,halide_or_fluoride_like,Ag-F,Ag-F,True,True,True,True,True,True,True,True,True,True,True,True
Li_000007,Li,el_f212d14cd7c2eebf,Li|HoAg(WO4)2,transition_metal_oxide_like,Ag-Ho-O-W,Ag-Ho-O-W,True,True,True,True,True,True,True,True,True,True,True,True
Li_000008,Li,el_0b8e3edcce0f7e84,Li|TaNb(AgO3)2,transition_metal_oxide_like,Ag-Nb-O-Ta,Ag-Nb-O-Ta,True,True,True,True,True,True,True,True,True,True,True,True
Li_000009,Li,el_2cfe28a2f7908aa1,Li|AgRuO3,transition_metal_oxide_like,Ag-O-Ru,Ag-O-Ru,True,True,True,True,True,True,True,True,True,True,True,True
Li_000010,Li,el_d9b12859d9c91670,Li|RbAgO2,transition_metal_oxide_like,Ag-O-Rb,Ag-O-Rb,True,True,True,True,True,True,True,True,True,True,True,True
Li_000011,Li,el_841d4b04311e699f,Li|ScAgO2,transition_metal_oxide_like,Ag-O-Sc,Ag-O-Sc,True,True,True,True,True,True,True,True,True,True,True,True
Li_000012,Li,el_2a38121f8973571d,Li|Si(AgO)4,silicate_like,Ag-O-Si,Ag-O-Si,True,True,True,True,True,True,True,True,True,True,True,True
Li_000013,Li,el_464c04f7aac886dd,Li|Al2CdO4,transition_metal_oxide_like,Al-Cd-O,Al-Cd-O,True,False,True,True,False,False,True,True,True,True,False,False
Li_000014,Li,el_7e10a02183c06a00,Li|Al3Cr3(SbO8)2,transition_metal_oxide_like,Al-Cr-O-Sb,Al-Cr-O-Sb,True,True,True,True,True,True,True,True,True,True,True,True
Li_000015,Li,el_c7c2d834aadb4498,Li|Al2Cu,other_or_unclear,Al-Cu,Al-Cu,True,True,True,True,True,True,True,True,True,True,True,True
Li_000016,Li,el_4fb11146621e8629,Li|Al2FeO6,transition_metal_oxide_like,Al-Fe-O,Al-Fe-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000017,Li,el_a9c4bda41885dce6,Li|Na2Ti3Al(PO4)6,polyanion_phosphate_like,Al-Na-O-P-Ti,Al-Na-O-P-Ti,True,True,True,True,True,True,True,True,True,True,True,True
