target,leakage_level,n_features
average_voltage,L0,238
average_voltage,L1,1
average_voltage,L2,6
average_voltage,L4,22
average_voltage,L5,3
capacity_grav,L0,96
capacity_grav,L1,1
capacity_grav,L2,3
capacity_grav,L3,143
capacity_grav,L4,24
capacity_grav,L5,3
capacity_vol,L0,96
capacity_vol,L1,1
capacity_vol,L2,3
capacity_vol,L3,143
capacity_vol,L4,24
capacity_vol,L5,3
energy_grav,L0,96
energy_grav,L1,1
energy_grav,L2,8
energy_grav,L3,143
energy_grav,L4,19
energy_grav,L5,3
energy_vol,L0,96
energy_vol,L1,1
energy_vol,L2,8
energy_vol,L3,143
energy_vol,L4,19
energy_vol,L5,3
max_delta_volume,L0,223
max_delta_volume,L1,1
max_delta_volume,L2,16
max_delta_volume,L4,27
max_delta_volume,L5,3
stability_charge,L0,239
stability_charge,L1,1
stability_charge,L2,9
stability_charge,L4,18
stability_charge,L5,3
stability_discharge,L0,239
stability_discharge,L1,1
stability_discharge,L2,9
stability_discharge,L4,18
stability_discharge,L5,3
stability_worst,L0,239
stability_worst,L1,1
stability_worst,L2,9
stability_worst,L4,18
stability_worst,L5,3
