target,feature,feature_origin,workflow_stage,leakage_level,rule_id,dependency_path
average_voltage,average_voltage,stored_electrode_target,stored_electrode_record,L1,RULE_DIRECT_TARGET,feature::average_voltage -> target::average_voltage
average_voltage,capacity_grav,stored_electrode_target,stored_electrode_record,L4,RULE_OTHER_STORED_TARGET,feature::capacity_grav -> concept::stored_electrode_record -> target::average_voltage
average_voltage,capacity_vol,stored_electrode_target,stored_electrode_record,L4,RULE_OTHER_STORED_TARGET,feature::capacity_vol -> concept::stored_electrode_record -> target::average_voltage
average_voltage,charge_formula_X_max,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_X_max -> target::average_voltage
average_voltage,charge_formula_X_mean,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_X_mean -> target::average_voltage
average_voltage,charge_formula_X_min,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_X_min -> target::average_voltage
average_voltage,charge_formula_X_range,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_X_range -> target::average_voltage
average_voltage,charge_formula_X_std,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_X_std -> target::average_voltage
average_voltage,charge_formula_Z_max,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_Z_max -> target::average_voltage
average_voltage,charge_formula_Z_mean,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_Z_mean -> target::average_voltage
average_voltage,charge_formula_Z_min,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_Z_min -> target::average_voltage
average_voltage,charge_formula_Z_range,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_Z_range -> target::average_voltage
average_voltage,charge_formula_Z_std,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_Z_std -> target::average_voltage
average_voltage,charge_formula_atomic_mass_max,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_atomic_mass_max -> target::average_voltage
average_voltage,charge_formula_atomic_mass_mean,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_atomic_mass_mean -> target::average_voltage
average_voltage,charge_formula_atomic_mass_min,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_atomic_mass_min -> target::average_voltage
average_voltage,charge_formula_atomic_mass_range,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_atomic_mass_range -> target::average_voltage
average_voltage,charge_formula_atomic_mass_std,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_atomic_mass_std -> target::average_voltage
average_voltage,charge_formula_frac_Ag,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Ag -> target::average_voltage
average_voltage,charge_formula_frac_Al,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Al -> target::average_voltage
average_voltage,charge_formula_frac_As,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_As -> target::average_voltage
average_voltage,charge_formula_frac_B,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_B -> target::average_voltage
average_voltage,charge_formula_frac_Br,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Br -> target::average_voltage
average_voltage,charge_formula_frac_C,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_C -> target::average_voltage
average_voltage,charge_formula_frac_Ca,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Ca -> target::average_voltage
average_voltage,charge_formula_frac_Cl,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Cl -> target::average_voltage
average_voltage,charge_formula_frac_Co,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Co -> target::average_voltage
average_voltage,charge_formula_frac_Cr,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Cr -> target::average_voltage
average_voltage,charge_formula_frac_Cu,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Cu -> target::average_voltage
average_voltage,charge_formula_frac_F,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_F -> target::average_voltage
average_voltage,charge_formula_frac_Fe,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Fe -> target::average_voltage
average_voltage,charge_formula_frac_I,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_I -> target::average_voltage
average_voltage,charge_formula_frac_K,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_K -> target::average_voltage
average_voltage,charge_formula_frac_Li,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Li -> target::average_voltage
average_voltage,charge_formula_frac_Mg,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Mg -> target::average_voltage
average_voltage,charge_formula_frac_Mn,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Mn -> target::average_voltage
average_voltage,charge_formula_frac_N,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_N -> target::average_voltage
average_voltage,charge_formula_frac_Na,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Na -> target::average_voltage
average_voltage,charge_formula_frac_Ni,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Ni -> target::average_voltage
average_voltage,charge_formula_frac_O,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_O -> target::average_voltage
average_voltage,charge_formula_frac_P,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_P -> target::average_voltage
average_voltage,charge_formula_frac_S,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_S -> target::average_voltage
average_voltage,charge_formula_frac_Si,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Si -> target::average_voltage
average_voltage,charge_formula_frac_Ti,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Ti -> target::average_voltage
