target,protocol,n_features,n_L0,n_L1,n_L2,n_L3,n_L4,n_L5,compiler_n_features,compiler_n_L0,compiler_n_L1,compiler_n_L2,compiler_n_L3,compiler_n_L4,compiler_n_L5,_merge,feature_count_agreement,L0_count_agreement,L1_count_agreement,L2_count_agreement,L3_count_agreement,L4_count_agreement,L5_count_agreement,all_count_fields_agree
average_voltage,P0,266,238,0,6,0,22,0,266,238,0,6,0,22,0,both,True,True,True,True,True,True,True,True
average_voltage,P1,73,73,0,0,0,0,0,73,73,0,0,0,0,0,both,True,True,True,True,True,True,True,True
average_voltage,P2,93,93,0,0,0,0,0,93,93,0,0,0,0,0,both,True,True,True,True,True,True,True,True
average_voltage,P3,108,94,0,0,0,14,0,108,94,0,0,0,14,0,both,True,True,True,True,True,True,True,True
average_voltage,P4,267,238,1,6,0,22,0,267,238,1,6,0,22,0,both,True,True,True,True,True,True,True,True
capacity_grav,P0,266,96,0,3,143,24,0,266,96,0,3,143,24,0,both,True,True,True,True,True,True,True,True
capacity_grav,P1,73,73,0,0,0,0,0,73,73,0,0,0,0,0,both,True,True,True,True,True,True,True,True
capacity_grav,P2,93,93,0,0,0,0,0,93,93,0,0,0,0,0,both,True,True,True,True,True,True,True,True
capacity_grav,P3,112,95,0,0,0,17,0,112,95,0,0,0,17,0,both,True,True,True,True,True,True,True,True
capacity_grav,P4,267,96,1,3,143,24,0,267,96,1,3,143,24,0,both,True,True,True,True,True,True,True,True
capacity_vol,P0,266,96,0,3,143,24,0,266,96,0,3,143,24,0,both,True,True,True,True,True,True,True,True
capacity_vol,P1,73,73,0,0,0,0,0,73,73,0,0,0,0,0,both,True,True,True,True,True,True,True,True
capacity_vol,P2,93,93,0,0,0,0,0,93,93,0,0,0,0,0,both,True,True,True,True,True,True,True,True
capacity_vol,P3,112,95,0,0,0,17,0,112,95,0,0,0,17,0,both,True,True,True,True,True,True,True,True
capacity_vol,P4,267,96,1,3,143,24,0,267,96,1,3,143,24,0,both,True,True,True,True,True,True,True,True
energy_grav,P0,266,96,0,8,143,19,0,266,96,0,8,143,19,0,both,True,True,True,True,True,True,True,True
energy_grav,P1,73,73,0,0,0,0,0,73,73,0,0,0,0,0,both,True,True,True,True,True,True,True,True
energy_grav,P2,93,93,0,0,0,0,0,93,93,0,0,0,0,0,both,True,True,True,True,True,True,True,True
energy_grav,P3,108,95,0,0,0,13,0,108,95,0,0,0,13,0,both,True,True,True,True,True,True,True,True
energy_grav,P4,267,96,1,8,143,19,0,267,96,1,8,143,19,0,both,True,True,True,True,True,True,True,True
energy_vol,P0,266,96,0,8,143,19,0,266,96,0,8,143,19,0,both,True,True,True,True,True,True,True,True
energy_vol,P1,73,73,0,0,0,0,0,73,73,0,0,0,0,0,both,True,True,True,True,True,True,True,True
energy_vol,P2,93,93,0,0,0,0,0,93,93,0,0,0,0,0,both,True,True,True,True,True,True,True,True
energy_vol,P3,108,95,0,0,0,13,0,108,95,0,0,0,13,0,both,True,True,True,True,True,True,True,True
energy_vol,P4,267,96,1,8,143,19,0,267,96,1,8,143,19,0,both,True,True,True,True,True,True,True,True
max_delta_volume,P0,266,223,0,16,0,27,0,266,223,0,16,0,27,0,both,True,True,True,True,True,True,True,True
max_delta_volume,P1,73,73,0,0,0,0,0,73,73,0,0,0,0,0,both,True,True,True,True,True,True,True,True
max_delta_volume,P2,77,77,0,0,0,0,0,77,77,0,0,0,0,0,both,True,True,True,True,True,True,True,True
max_delta_volume,P3,96,79,0,0,0,17,0,96,79,0,0,0,17,0,both,True,True,True,True,True,True,True,True
max_delta_volume,P4,267,223,1,16,0,27,0,267,223,1,16,0,27,0,both,True,True,True,True,True,True,True,True
stability_charge,P0,266,239,0,9,0,18,0,266,239,0,9,0,18,0,both,True,True,True,True,True,True,True,True
stability_charge,P1,73,73,0,0,0,0,0,73,73,0,0,0,0,0,both,True,True,True,True,True,True,True,True
stability_charge,P2,93,93,0,0,0,0,0,93,93,0,0,0,0,0,both,True,True,True,True,True,True,True,True
stability_charge,P3,105,95,0,0,0,10,0,105,95,0,0,0,10,0,both,True,True,True,True,True,True,True,True
stability_charge,P4,267,239,1,9,0,18,0,267,239,1,9,0,18,0,both,True,True,True,True,True,True,True,True
stability_discharge,P0,266,239,0,9,0,18,0,266,239,0,9,0,18,0,both,True,True,True,True,True,True,True,True
stability_discharge,P1,73,73,0,0,0,0,0,73,73,0,0,0,0,0,both,True,True,True,True,True,True,True,True
stability_discharge,P2,93,93,0,0,0,0,0,93,93,0,0,0,0,0,both,True,True,True,True,True,True,True,True
stability_discharge,P3,105,95,0,0,0,10,0,105,95,0,0,0,10,0,both,True,True,True,True,True,True,True,True
stability_discharge,P4,267,239,1,9,0,18,0,267,239,1,9,0,18,0,both,True,True,True,True,True,True,True,True
stability_worst,P0,266,239,0,9,0,18,0,266,239,0,9,0,18,0,both,True,True,True,True,True,True,True,True
stability_worst,P1,73,73,0,0,0,0,0,73,73,0,0,0,0,0,both,True,True,True,True,True,True,True,True
stability_worst,P2,93,93,0,0,0,0,0,93,93,0,0,0,0,0,both,True,True,True,True,True,True,True,True
stability_worst,P3,105,95,0,0,0,10,0,105,95,0,0,0,10,0,both,True,True,True,True,True,True,True,True
stability_worst,P4,267,239,1,9,0,18,0,267,239,1,9,0,18,0,both,True,True,True,True,True,True,True,True
