target,protocol,split_name,model_name,n_rows,n_ok,n_error
average_voltage,P0,framework_groupkfold,DummyMean,5,5,0
average_voltage,P0,framework_groupkfold,ExtraTrees,5,5,0
average_voltage,P0,framework_groupkfold,Ridge,5,5,0
average_voltage,P0,leave_chemical_system_out,DummyMean,75,75,0
average_voltage,P0,leave_chemical_system_out,ExtraTrees,75,75,0
average_voltage,P0,leave_chemical_system_out,Ridge,75,75,0
average_voltage,P0,leave_family_out,DummyMean,10,10,0
average_voltage,P0,leave_family_out,ExtraTrees,10,10,0
average_voltage,P0,leave_family_out,Ridge,10,10,0
average_voltage,P0,leave_working_ion_out,DummyMean,3,3,0
average_voltage,P0,leave_working_ion_out,ExtraTrees,3,3,0
average_voltage,P0,leave_working_ion_out,Ridge,3,3,0
average_voltage,P0,random_split,DummyMean,5,5,0
average_voltage,P0,random_split,ExtraTrees,5,5,0
average_voltage,P0,random_split,Ridge,5,5,0
average_voltage,P1,framework_groupkfold,DummyMean,5,5,0
average_voltage,P1,framework_groupkfold,ExtraTrees,5,5,0
average_voltage,P1,framework_groupkfold,Ridge,5,5,0
average_voltage,P1,leave_chemical_system_out,DummyMean,75,75,0
average_voltage,P1,leave_chemical_system_out,ExtraTrees,75,75,0
average_voltage,P1,leave_chemical_system_out,Ridge,75,75,0
average_voltage,P1,leave_family_out,DummyMean,10,10,0
average_voltage,P1,leave_family_out,ExtraTrees,10,10,0
average_voltage,P1,leave_family_out,Ridge,10,10,0
average_voltage,P1,leave_working_ion_out,DummyMean,3,3,0
average_voltage,P1,leave_working_ion_out,ExtraTrees,3,3,0
average_voltage,P1,leave_working_ion_out,Ridge,3,3,0
average_voltage,P1,random_split,DummyMean,5,5,0
average_voltage,P1,random_split,ExtraTrees,5,5,0
average_voltage,P1,random_split,Ridge,5,5,0
average_voltage,P2,framework_groupkfold,DummyMean,5,5,0
average_voltage,P2,framework_groupkfold,ExtraTrees,5,5,0
average_voltage,P2,framework_groupkfold,Ridge,5,5,0
average_voltage,P2,leave_chemical_system_out,DummyMean,75,75,0
average_voltage,P2,leave_chemical_system_out,ExtraTrees,75,75,0
average_voltage,P2,leave_chemical_system_out,Ridge,75,75,0
average_voltage,P2,leave_family_out,DummyMean,10,10,0
average_voltage,P2,leave_family_out,ExtraTrees,10,10,0
average_voltage,P2,leave_family_out,Ridge,10,10,0
average_voltage,P2,leave_working_ion_out,DummyMean,3,3,0
average_voltage,P2,leave_working_ion_out,ExtraTrees,3,3,0
average_voltage,P2,leave_working_ion_out,Ridge,3,3,0
average_voltage,P2,random_split,DummyMean,5,5,0
average_voltage,P2,random_split,ExtraTrees,5,5,0
average_voltage,P2,random_split,Ridge,5,5,0
average_voltage,P3,framework_groupkfold,DummyMean,5,5,0
average_voltage,P3,framework_groupkfold,ExtraTrees,5,5,0
average_voltage,P3,framework_groupkfold,Ridge,5,5,0
average_voltage,P3,leave_chemical_system_out,DummyMean,75,75,0
average_voltage,P3,leave_chemical_system_out,ExtraTrees,75,75,0
average_voltage,P3,leave_chemical_system_out,Ridge,75,75,0
