target,protocol,n_features_requested,n_features_available,n_features_missing,n_rows,n_all_missing_features
average_voltage,P0,266,266,0,3354,0
average_voltage,P1,73,73,0,3354,0
average_voltage,P2,93,93,0,3354,0
average_voltage,P3,108,108,0,3354,0
average_voltage,P4,267,267,0,3354,0
capacity_grav,P0,266,266,0,3354,0
capacity_grav,P1,73,73,0,3354,0
capacity_grav,P2,93,93,0,3354,0
capacity_grav,P3,112,112,0,3354,0
capacity_grav,P4,267,267,0,3354,0
energy_grav,P0,266,266,0,3354,0
energy_grav,P1,73,73,0,3354,0
energy_grav,P2,93,93,0,3354,0
energy_grav,P3,108,108,0,3354,0
energy_grav,P4,267,267,0,3354,0
max_delta_volume,P0,266,266,0,3354,0
max_delta_volume,P1,73,73,0,3354,0
max_delta_volume,P2,77,77,0,3354,0
max_delta_volume,P3,96,96,0,3354,0
max_delta_volume,P4,267,267,0,3354,0
stability_worst,P0,266,266,0,3354,0
stability_worst,P1,73,73,0,3354,0
stability_worst,P2,93,93,0,3354,0
stability_worst,P3,105,105,0,3354,0
stability_worst,P4,267,267,0,3354,0
