target,split_name,n_folds,min_train,median_train,min_test,median_test
average_voltage,framework_groupkfold,5,2560,2561.0,640,640.0
average_voltage,leave_chemical_system_out,75,3048,3184.0,7,17.0
average_voltage,leave_family_out,10,2027,3082.5,10,118.5
average_voltage,leave_working_ion_out,3,543,2807.0,149,394.0
average_voltage,random_split,5,2560,2560.0,641,641.0
capacity_grav,framework_groupkfold,5,2560,2561.0,640,640.0
capacity_grav,leave_chemical_system_out,75,3048,3184.0,7,17.0
capacity_grav,leave_family_out,10,2027,3082.5,10,118.5
capacity_grav,leave_working_ion_out,3,543,2807.0,149,394.0
capacity_grav,random_split,5,2560,2560.0,641,641.0
energy_grav,framework_groupkfold,5,2560,2561.0,640,640.0
energy_grav,leave_chemical_system_out,75,3048,3184.0,7,17.0
energy_grav,leave_family_out,10,2027,3082.5,10,118.5
energy_grav,leave_working_ion_out,3,543,2807.0,149,394.0
energy_grav,random_split,5,2560,2560.0,641,641.0
max_delta_volume,framework_groupkfold,5,2560,2561.0,640,640.0
max_delta_volume,leave_chemical_system_out,75,3048,3184.0,7,17.0
max_delta_volume,leave_family_out,10,2027,3082.5,10,118.5
max_delta_volume,leave_working_ion_out,3,543,2807.0,149,394.0
max_delta_volume,random_split,5,2560,2560.0,641,641.0
stability_worst,framework_groupkfold,5,2560,2561.0,640,640.0
stability_worst,leave_chemical_system_out,75,3048,3184.0,7,17.0
stability_worst,leave_family_out,10,2027,3082.5,10,118.5
stability_worst,leave_working_ion_out,3,543,2807.0,149,394.0
stability_worst,random_split,5,2560,2560.0,641,641.0
