protocol,target,target_present_as_feature,n_common_features,pass
P1,average_voltage,False,73,True
P1,capacity_grav,False,73,True
P1,energy_grav,False,73,True
P1,max_delta_volume,False,73,True
P1,stability_charge,False,73,True
P1,stability_discharge,False,73,True
P1,stability_worst,False,73,True
P2,average_voltage,False,77,True
P2,capacity_grav,False,77,True
P2,energy_grav,False,77,True
P2,max_delta_volume,False,77,True
P2,stability_charge,False,77,True
P2,stability_discharge,False,77,True
P2,stability_worst,False,77,True
P3,average_voltage,False,85,True
P3,capacity_grav,False,85,True
P3,energy_grav,False,85,True
P3,max_delta_volume,False,85,True
P3,stability_charge,False,85,True
P3,stability_discharge,False,85,True
P3,stability_worst,False,85,True
