target,protocol,model_name,n_groups,n_test_min,n_test_median,n_test_max,mae_median,mae_iqr,r2_median,r2_iqr,negative_r2_fraction,primary_reporting_policy
average_voltage,P0,ExtraTrees,75,7,17.0,153,0.1385207100744793,0.10217561340197465,0.9126923369545196,0.17383102796451944,0.02666666666666667,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
average_voltage,P0,Ridge,75,7,17.0,153,0.2257858762727468,0.12310678211021056,0.7721161753871882,0.25302092218882244,0.10666666666666667,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
average_voltage,P1,ExtraTrees,75,7,17.0,153,0.5201719225152756,0.3479076796982772,-0.1138734160803345,0.6548921787678186,0.5733333333333334,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
average_voltage,P1,Ridge,75,7,17.0,153,0.5184330966530044,0.3427702155605572,-0.1205084033760548,0.8329985537265896,0.64,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
average_voltage,P2,ExtraTrees,75,7,17.0,153,0.4877474132689296,0.3640673029537415,0.0151709249097433,0.6004333615962172,0.48,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
average_voltage,P2,Ridge,75,7,17.0,153,0.5178875930538901,0.3356874366515292,-0.1742122432181769,0.8137831662755264,0.6133333333333333,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
average_voltage,P3,ExtraTrees,75,7,17.0,153,0.3456095677881798,0.26621712366464223,0.4292915416505106,0.4828046262794096,0.2,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
average_voltage,P3,Ridge,75,7,17.0,153,0.3831157561700881,0.2450859896165169,0.2591784488475468,0.7186790933620204,0.28,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
average_voltage,P4,ExtraTrees,75,7,17.0,153,0.0020024129920381,0.0014587097338639497,0.9999791486931342,3.919651234052246e-05,0.0,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
average_voltage,P4,Ridge,75,7,17.0,153,0.0006918224598379,0.00038317776294025,0.9999977894178996,2.3237304890288968e-06,0.0,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
capacity_grav,P0,ExtraTrees,75,7,17.0,153,1.64985070934764,3.013350782257385,0.9978633883835842,0.007181725746637779,0.013333333333333334,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
