target,protocol,split_name,ad_flag,n_predictions,pct_within_config
average_voltage,P1,framework_groupkfold,borderline,246,7.685098406747891
average_voltage,P1,framework_groupkfold,in_domain,2860,89.34707903780068
average_voltage,P1,framework_groupkfold,out_of_domain,95,2.9678225554514213
average_voltage,P1,leave_chemical_system_out,borderline,188,9.224730127576056
average_voltage,P1,leave_chemical_system_out,in_domain,1833,89.94111874386654
average_voltage,P1,leave_chemical_system_out,out_of_domain,17,0.8341511285574092
average_voltage,P1,leave_family_out,borderline,697,21.77444548578569
average_voltage,P1,leave_family_out,in_domain,864,26.991565135895033
average_voltage,P1,leave_family_out,out_of_domain,1640,51.23398937831927
average_voltage,P1,leave_working_ion_out,borderline,645,20.149953139643863
average_voltage,P1,leave_working_ion_out,in_domain,2204,68.85348328647298
average_voltage,P1,leave_working_ion_out,out_of_domain,352,10.996563573883162
average_voltage,P1,random_split,borderline,169,5.273010920436818
average_voltage,P1,random_split,in_domain,2925,91.26365054602184
average_voltage,P1,random_split,out_of_domain,111,3.4633385335413416
average_voltage,P2,framework_groupkfold,borderline,239,7.46641674476726
average_voltage,P2,framework_groupkfold,in_domain,2874,89.78444236176195
average_voltage,P2,framework_groupkfold,out_of_domain,88,2.7491408934707904
average_voltage,P2,leave_chemical_system_out,borderline,118,5.789990186457311
average_voltage,P2,leave_chemical_system_out,in_domain,1909,93.6702649656526
average_voltage,P2,leave_chemical_system_out,out_of_domain,11,0.5397448478900884
average_voltage,P2,leave_family_out,borderline,596,18.619181505779444
average_voltage,P2,leave_family_out,in_domain,1125,35.14526710402999
average_voltage,P2,leave_family_out,out_of_domain,1480,46.235551390190565
average_voltage,P2,leave_working_ion_out,borderline,406,12.683536394876601
average_voltage,P2,leave_working_ion_out,in_domain,2631,82.19306466729147
average_voltage,P2,leave_working_ion_out,out_of_domain,164,5.123398937831928
average_voltage,P2,random_split,borderline,180,5.616224648985959
average_voltage,P2,random_split,in_domain,2916,90.98283931357254
average_voltage,P2,random_split,out_of_domain,109,3.4009360374414976
average_voltage,P3,framework_groupkfold,borderline,238,7.435176507341456
average_voltage,P3,framework_groupkfold,in_domain,2872,89.72196188691034
average_voltage,P3,framework_groupkfold,out_of_domain,91,2.8428616057482037
average_voltage,P3,leave_chemical_system_out,borderline,114,5.593719332679097
average_voltage,P3,leave_chemical_system_out,in_domain,1908,93.62119725220805
average_voltage,P3,leave_chemical_system_out,out_of_domain,16,0.7850834151128557
average_voltage,P3,leave_family_out,borderline,492,15.370196813495783
average_voltage,P3,leave_family_out,in_domain,1211,37.831927522649174
average_voltage,P3,leave_family_out,out_of_domain,1498,46.797875663855045
average_voltage,P3,leave_working_ion_out,borderline,384,11.996251171508904
average_voltage,P3,leave_working_ion_out,in_domain,2662,83.16151202749141
average_voltage,P3,leave_working_ion_out,out_of_domain,155,4.842236800999688
average_voltage,P3,random_split,borderline,194,6.053042121684867
average_voltage,P3,random_split,in_domain,2902,90.54602184087364
average_voltage,P3,random_split,out_of_domain,109,3.4009360374414976
capacity_grav,P1,framework_groupkfold,borderline,246,7.685098406747891
capacity_grav,P1,framework_groupkfold,in_domain,2860,89.34707903780068
