config_key,target,protocol,split_name,status,n_folds_generated,n_ok_folds,n_fold_errors,n_rows,n_features,mask_used,seconds,error
average_voltage__P1__random_split,average_voltage,P1,random_split,OK,5,5,0,3201,73,mask_physics_plausible_all_targets,9.70572543144226,
average_voltage__P1__framework_groupkfold,average_voltage,P1,framework_groupkfold,OK,5,5,0,3201,73,mask_physics_plausible_all_targets,6.364728689193726,
average_voltage__P1__leave_family_out,average_voltage,P1,leave_family_out,OK,10,10,0,3201,73,mask_physics_plausible_all_targets,11.813951015472412,
average_voltage__P1__leave_chemical_system_out,average_voltage,P1,leave_chemical_system_out,OK,75,75,0,3201,73,mask_physics_plausible_all_targets,81.76275157928467,
average_voltage__P1__leave_working_ion_out,average_voltage,P1,leave_working_ion_out,OK,3,3,0,3201,73,mask_physics_plausible_all_targets,3.654601812362671,
average_voltage__P2__random_split,average_voltage,P2,random_split,OK,5,5,0,3201,93,mask_physics_plausible_all_targets,6.322414875030518,
average_voltage__P2__framework_groupkfold,average_voltage,P2,framework_groupkfold,OK,5,5,0,3201,93,mask_physics_plausible_all_targets,6.288695573806763,
average_voltage__P2__leave_family_out,average_voltage,P2,leave_family_out,OK,10,10,0,3201,93,mask_physics_plausible_all_targets,11.43661904335022,
average_voltage__P2__leave_chemical_system_out,average_voltage,P2,leave_chemical_system_out,OK,75,75,0,3201,93,mask_physics_plausible_all_targets,81.21801042556763,
average_voltage__P2__leave_working_ion_out,average_voltage,P2,leave_working_ion_out,OK,3,3,0,3201,93,mask_physics_plausible_all_targets,3.770418882369995,
average_voltage__P3__random_split,average_voltage,P3,random_split,OK,5,5,0,3201,108,mask_physics_plausible_all_targets,6.404499530792236,
average_voltage__P3__framework_groupkfold,average_voltage,P3,framework_groupkfold,OK,5,5,0,3201,108,mask_physics_plausible_all_targets,6.3612353801727295,
average_voltage__P3__leave_family_out,average_voltage,P3,leave_family_out,OK,10,10,0,3201,108,mask_physics_plausible_all_targets,11.618665218353271,
average_voltage__P3__leave_chemical_system_out,average_voltage,P3,leave_chemical_system_out,OK,75,75,0,3201,108,mask_physics_plausible_all_targets,81.53203105926514,
average_voltage__P3__leave_working_ion_out,average_voltage,P3,leave_working_ion_out,OK,3,3,0,3201,108,mask_physics_plausible_all_targets,3.907096147537232,
capacity_grav__P1__random_split,capacity_grav,P1,random_split,OK,5,5,0,3201,73,mask_physics_plausible_all_targets,6.12553858757019,
capacity_grav__P1__framework_groupkfold,capacity_grav,P1,framework_groupkfold,OK,5,5,0,3201,73,mask_physics_plausible_all_targets,6.2103588581085205,
capacity_grav__P1__leave_family_out,capacity_grav,P1,leave_family_out,OK,10,10,0,3201,73,mask_physics_plausible_all_targets,11.254349946975708,
capacity_grav__P1__leave_chemical_system_out,capacity_grav,P1,leave_chemical_system_out,OK,75,75,0,3201,73,mask_physics_plausible_all_targets,79.66989493370056,
capacity_grav__P1__leave_working_ion_out,capacity_grav,P1,leave_working_ion_out,OK,3,3,0,3201,73,mask_physics_plausible_all_targets,3.673639297485352,
capacity_grav__P2__random_split,capacity_grav,P2,random_split,OK,5,5,0,3201,93,mask_physics_plausible_all_targets,6.338067054748535,
