config_key,target,protocol,split_name,n_protocol_features_available
average_voltage__P1__random_split,average_voltage,P1,random_split,73
average_voltage__P1__framework_groupkfold,average_voltage,P1,framework_groupkfold,73
average_voltage__P1__leave_family_out,average_voltage,P1,leave_family_out,73
average_voltage__P1__leave_chemical_system_out,average_voltage,P1,leave_chemical_system_out,73
average_voltage__P1__leave_working_ion_out,average_voltage,P1,leave_working_ion_out,73
average_voltage__P2__random_split,average_voltage,P2,random_split,93
average_voltage__P2__framework_groupkfold,average_voltage,P2,framework_groupkfold,93
average_voltage__P2__leave_family_out,average_voltage,P2,leave_family_out,93
average_voltage__P2__leave_chemical_system_out,average_voltage,P2,leave_chemical_system_out,93
average_voltage__P2__leave_working_ion_out,average_voltage,P2,leave_working_ion_out,93
average_voltage__P3__random_split,average_voltage,P3,random_split,108
average_voltage__P3__framework_groupkfold,average_voltage,P3,framework_groupkfold,108
average_voltage__P3__leave_family_out,average_voltage,P3,leave_family_out,108
average_voltage__P3__leave_chemical_system_out,average_voltage,P3,leave_chemical_system_out,108
average_voltage__P3__leave_working_ion_out,average_voltage,P3,leave_working_ion_out,108
capacity_grav__P1__random_split,capacity_grav,P1,random_split,73
capacity_grav__P1__framework_groupkfold,capacity_grav,P1,framework_groupkfold,73
capacity_grav__P1__leave_family_out,capacity_grav,P1,leave_family_out,73
capacity_grav__P1__leave_chemical_system_out,capacity_grav,P1,leave_chemical_system_out,73
capacity_grav__P1__leave_working_ion_out,capacity_grav,P1,leave_working_ion_out,73
capacity_grav__P2__random_split,capacity_grav,P2,random_split,93
capacity_grav__P2__framework_groupkfold,capacity_grav,P2,framework_groupkfold,93
capacity_grav__P2__leave_family_out,capacity_grav,P2,leave_family_out,93
capacity_grav__P2__leave_chemical_system_out,capacity_grav,P2,leave_chemical_system_out,93
capacity_grav__P2__leave_working_ion_out,capacity_grav,P2,leave_working_ion_out,93
capacity_grav__P3__random_split,capacity_grav,P3,random_split,112
capacity_grav__P3__framework_groupkfold,capacity_grav,P3,framework_groupkfold,112
capacity_grav__P3__leave_family_out,capacity_grav,P3,leave_family_out,112
capacity_grav__P3__leave_chemical_system_out,capacity_grav,P3,leave_chemical_system_out,112
capacity_grav__P3__leave_working_ion_out,capacity_grav,P3,leave_working_ion_out,112
energy_grav__P1__random_split,energy_grav,P1,random_split,73
energy_grav__P1__framework_groupkfold,energy_grav,P1,framework_groupkfold,73
energy_grav__P1__leave_family_out,energy_grav,P1,leave_family_out,73
energy_grav__P1__leave_chemical_system_out,energy_grav,P1,leave_chemical_system_out,73
energy_grav__P1__leave_working_ion_out,energy_grav,P1,leave_working_ion_out,73
energy_grav__P2__random_split,energy_grav,P2,random_split,93
