chemical_system_uid,n_records,n_case_screen_pass,best_final_triage_score,best_top20_probability,families
F-V,3,3,0.7802501772700956,1.0,halide_or_fluoride_like
Co-O,6,3,0.6908771992361679,1.0,transition_metal_oxide_like
F-Mn,1,1,0.6820599788634433,0.972,halide_or_fluoride_like
Fe-O-P,15,7,0.679075598597492,0.994,polyanion_phosphate_like
C-Co-O-P,2,2,0.6703273643635393,0.968,polyanion_phosphate_like
Co-O-P,9,5,0.6558121912130261,0.974,polyanion_phosphate_like
F-Mn-O-P,1,1,0.6534340768200189,0.956,polyanion_phosphate_like
C-Fe-O-S,2,2,0.6497400015960273,0.94,sulfate_or_sulfur_oxoanion_like
C-Fe-O-P,5,2,0.6496645577277298,0.938,polyanion_phosphate_like
C-Mn-O-P,7,7,0.6387079527038741,0.874,polyanion_phosphate_like
H-Mn-O-S,1,1,0.6300531705498968,0.8,sulfate_or_sulfur_oxoanion_like
C-Ni-O-P,4,4,0.6144205395465183,0.752,polyanion_phosphate_like
Cr-O-P,5,2,0.6130931828354983,0.72,polyanion_phosphate_like
Mn-O-P,11,6,0.6048938521296092,0.608,polyanion_phosphate_like
As-C-Co-O,2,1,0.58951450093898,0.602,transition_metal_oxide_like
C-Cr-O-P,2,2,0.5846535152435602,0.464,polyanion_phosphate_like
As-C-Fe-O,2,2,0.5785546901215265,0.544,transition_metal_oxide_like
O-P-V,11,10,0.5738794617621932,0.434,polyanion_phosphate_like
Mn-O,13,5,0.5718044971246529,0.436,transition_metal_oxide_like
As-C-Mn-O,2,2,0.5622555433824739,0.322,transition_metal_oxide_like
C-O-Si-V,1,1,0.5409114031040865,0.19,silicate_like
C-Mn-O-S,2,2,0.5397827794855958,0.206,sulfate_or_sulfur_oxoanion_like
Cu-O-P,7,4,0.5227500177528901,0.066,polyanion_phosphate_like
C-Ni-O-S,2,2,0.5193117174610468,0.076,sulfate_or_sulfur_oxoanion_like
F-K-Mn,1,1,0.5187360005844088,0.058,halide_or_fluoride_like
C-O-P-V,2,2,0.5047110977933756,0.054,polyanion_phosphate_like
O-V,18,7,0.4902258236563525,0.024,transition_metal_oxide_like
Ni-O-P,10,1,0.4885250217203786,0.018,polyanion_phosphate_like
C-Cu-O-S,2,2,0.4879930573332542,0.014,sulfate_or_sulfur_oxoanion_like
Mo-O-P,9,7,0.4796622869497615,0.01,polyanion_phosphate_like
C-Co-O-S,2,2,0.4736172885694374,0.008,sulfate_or_sulfur_oxoanion_like
Cr-F-Rb,1,1,0.47122711921750093,0.0,halide_or_fluoride_like
As-C-Ni-O,2,1,0.4542702500449147,0.0,transition_metal_oxide_like
Cr-O,8,2,0.4444450939974559,0.0,transition_metal_oxide_like
As-C-Cr-O,2,2,0.4441668809374606,0.0,transition_metal_oxide_like
Cr-F,1,0,0.44200856989023,0.0,halide_or_fluoride_like
F-Mo,1,1,0.43951660876372334,0.002,halide_or_fluoride_like
C-Fe-O-Si,1,1,0.4322506869325772,0.002,silicate_like
As-C-O-V,1,1,0.4320828614060038,0.0,transition_metal_oxide_like
Fe-O,6,0,0.4235924952795465,0.0,transition_metal_oxide_like
F-Rb-V,1,1,0.42061230430632424,0.0,halide_or_fluoride_like
B-Mn-O-P,1,1,0.4156744984666903,0.0,polyanion_phosphate_like
Ni-O,10,5,0.4142653060478674,0.0,transition_metal_oxide_like
C-Cu-O-P,1,1,0.40705828748615475,0.0,polyanion_phosphate_like
C-Cr-O-Si,1,1,0.4022907506504456,0.0,silicate_like
C-Li-Mn-O-P,5,5,0.4017125870460538,0.0,polyanion_phosphate_like
F-Mn-Rb,1,1,0.3917176130439279,0.0,halide_or_fluoride_like
B-Fe-O-P,1,1,0.3907360638470884,0.0,polyanion_phosphate_like
C-Fe-Li-O-P,4,4,0.3899470797977811,0.0,polyanion_phosphate_like
Cr-Ge-O,1,1,0.38245029240344297,0.0,transition_metal_oxide_like
Fe-O-P-Ti,1,1,0.38161522556530436,0.0,polyanion_phosphate_like
C-Mn-O-Si,1,1,0.372087817991482,0.0,silicate_like
Co-H-O-S,1,0,0.3687085720562086,0.0,sulfate_or_sulfur_oxoanion_like
As-Mn-O,1,1,0.3658187429847214,0.0,transition_metal_oxide_like
As-B-Fe-O,1,1,0.35980443915628224,0.0,transition_metal_oxide_like
O-P-Ti,5,1,0.357956275465185,0.0,polyanion_phosphate_like
Cu-O,9,2,0.3553815960105896,0.0,transition_metal_oxide_like
H-Ni-O-S,1,0,0.34950157382062413,0.0,sulfate_or_sulfur_oxoanion_like
Bi-C-O-P,2,2,0.34934826094516336,0.0,polyanion_phosphate_like
Cr-F-K,1,0,0.3484435511104788,0.0,halide_or_fluoride_like
As-C-Cu-O,1,1,0.34630030818086754,0.0,transition_metal_oxide_like
As-B-Mn-O,1,1,0.34563113277136737,0.0,transition_metal_oxide_like
C-Nd-O-P,1,1,0.33445650541808775,0.0,polyanion_phosphate_like
C-O-S-V,2,2,0.3332985666687113,0.0,sulfate_or_sulfur_oxoanion_like
B-O-P-V,1,1,0.3331092162182828,0.0,polyanion_phosphate_like
Cs-F-Ni,1,1,0.33288108263837485,0.0,halide_or_fluoride_like
Co-F-K,1,0,0.33164090677786967,0.0,halide_or_fluoride_like
Ge-Mn-O,1,1,0.3285253102149825,0.0,transition_metal_oxide_like
F-Li-Mn,1,0,0.32823510387414656,0.0,halide_or_fluoride_like
B-Cu-O-S,1,1,0.32777905964548293,0.0,sulfate_or_sulfur_oxoanion_like
C-Ge-O-P,1,1,0.32767727868441027,0.0,polyanion_phosphate_like
C-Co-O-Si,1,1,0.32762767539830906,0.0,silicate_like
B-Mn-O-S,1,1,0.31917967515718976,0.0,sulfate_or_sulfur_oxoanion_like
Ge-O-V,1,1,0.3079703172984615,0.0,transition_metal_oxide_like
As-B-O-V,1,1,0.3069764960972755,0.0,transition_metal_oxide_like
Cr-S,2,1,0.3012232131097798,0.0,sulfide_like
O-Si-V,1,1,0.30013444415886936,0.0,silicate_like
B-Bi-O-P,1,1,0.28445242535037146,0.0,polyanion_phosphate_like
C-O-Sb-Si,1,1,0.2836448495911745,0.0,silicate_like
Bi-C-O-Si,1,1,0.2800324341156372,0.0,silicate_like
Bi-C-O-S,1,1,0.2789629371899226,0.0,organic_or_carbon_like
C-Cr-O-S,2,2,0.27835773273344405,0.0,sulfate_or_sulfur_oxoanion_like
F-Li-V,1,0,0.27494845862678896,0.0,halide_or_fluoride_like
O-Sb,2,0,0.2715038660601883,0.0,oxide_like_other
C-O-P-Sn,2,1,0.26810431526363987,0.0,polyanion_phosphate_like
F-K-Ni,1,0,0.26405206589082164,0.0,halide_or_fluoride_like
B-Bi-O-S,1,1,0.25860917831683355,0.0,sulfate_or_sulfur_oxoanion_like
As-B-Bi-O,1,1,0.25260120833043015,0.0,oxide_like_other
Nb-O,2,0,0.251354052598315,0.0,transition_metal_oxide_like
C-O-S-Sn,1,1,0.2510321720641432,0.0,organic_or_carbon_like
Cl-U,2,1,0.24850201688667284,0.0,halide_or_fluoride_like
As-C-O-Sn,1,1,0.2477559547453146,0.0,organic_or_carbon_like
As-Bi-C-O,2,2,0.24643090582099567,0.0,organic_or_carbon_like
Cs-F-Mn,1,1,0.24288083800872007,0.0,halide_or_fluoride_like
C-Ce-O-P,1,1,0.2418698068445238,0.0,polyanion_phosphate_like
Mg-Ni-O,1,1,0.23843077690967643,0.0,transition_metal_oxide_like
Ca-Fe-O-Si,1,1,0.23487515245312093,0.0,silicate_like
Co-F-Rb,1,0,0.23200843291067114,0.0,halide_or_fluoride_like
Cl-Rb-Sb,1,1,0.23172823046736857,0.0,halide_or_fluoride_like
Cu-F-Rb,1,0,0.22977574353901595,0.0,halide_or_fluoride_like
F-Ni-Rb,1,0,0.21926980332931298,0.0,halide_or_fluoride_like
Fe-O-Si,1,0,0.21413270131194412,0.0,silicate_like
Bi-O-P,2,0,0.20127600216337038,0.0,polyanion_phosphate_like
B-Bi-O-Si,1,1,0.19767559638674057,0.0,silicate_like
Cl-Rb-V,1,1,0.19483796104402712,0.0,halide_or_fluoride_like
Nb-S,3,1,0.1881050019425685,0.0,sulfide_like
Cr-O-Si,1,0,0.1853696158381829,0.0,silicate_like
C,2,0,0.17853630507281254,0.0,organic_or_carbon_like
Cl-K-Mo,1,1,0.16881182412123816,0.0,halide_or_fluoride_like
Fe-Li-O-Si,1,0,0.16647280582070423,0.0,silicate_like
O-W,5,1,0.16468232728589666,0.0,transition_metal_oxide_like
B-O-S-Sb,1,1,0.15665852773780925,0.0,sulfate_or_sulfur_oxoanion_like
Fe-Ge-O,1,0,0.15361510489837754,0.0,transition_metal_oxide_like
Ca-Mn-O-P,1,0,0.1454021199175457,0.0,polyanion_phosphate_like
O-Ti,10,0,0.14362953061872108,0.0,transition_metal_oxide_like
