query_id,manual_candidate_id,search_query,_source_file
Q0003,Na_candidate_01,"""Na2VF5"" sodium ion battery cathode",${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0010,Na_candidate_02,"""NaCoO2"" sodium ion battery cathode",${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0017,Na_candidate_03,"""NaCoO2"" sodium ion battery cathode",${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0022,Na_candidate_04,Na4Fe2(PO4)3 sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0024,Na_candidate_04,"""Na4Fe2(PO4)3"" sodium ion battery cathode",${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0031,Na_candidate_05,"""NaMnF3"" sodium ion battery cathode",${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0036,Na_candidate_06,Na3CoPO4CO3 sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0037,Na_candidate_06,Na3CoPO4CO3 electrode cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0046,Na_candidate_07,Na2CoP2O7 sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0054,Na_candidate_08,Na2MnPO4F sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0064,Na_candidate_09,Na2Fe(CO3)(SO4) sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0065,Na_candidate_09,Na2Fe(CO3)(SO4) electrode cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0066,Na_candidate_09,Na2Fe(SO4)(CO3) sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0067,Na_candidate_09,Na2Fe(SO4)(CO3) electrode cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0071,Na_candidate_09,NaxFe(CO3)(SO4) sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0072,Na_candidate_10,Na3FePO4CO3 sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0082,Na_candidate_11,Na3MnPO4CO3 sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0092,Na_candidate_12,Na2MnH4(SO5)2 sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0093,Na_candidate_12,Na2MnH4(SO5)2 electrode cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0094,Na_candidate_12,"""Na2MnH4(SO5)2"" sodium ion battery cathode",${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0095,Na_candidate_12,NaxMnH4(SO5)2 sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0096,Na_candidate_12,MnH4(SO5)2 sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0097,Na_candidate_12,sodium manganese sulfate cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0098,Na_candidate_12,sulfate polyanion sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0099,Na_candidate_13,NaCoPO4 sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0106,Na_candidate_14,Na3NiPO4CO3 sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0116,Na_candidate_15,Na3Cr2(PO4)3 sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0123,Na_candidate_16,Na2MnP2O7 sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
Q0131,Na_candidate_17,Na3CoAsO4CO3 sodium ion battery cathode,${CMT_REPOSITORY_ROOT}\notebook_09\manual_inputs\09_manual_literature_annotations_FILLED.csv
