manual_candidate_id,shortlist_priority_rank,formula,reason_not_,suggested_replacements
Na_candidate_01,1,Na0-2VF5,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na0-2VF5
Na_candidate_02,2,Na0-1CoO2,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na0-1CoO2
Na_candidate_03,3,Na0-1CoO2,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na0-1CoO2
Na_candidate_04,4,Na0-4Fe2(PO4)3,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na0-4Fe2(PO4)3
Na_candidate_05,5,Na0-1MnF3,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na0-1MnF3
Na_candidate_06,6,Na1-3CoPCO7,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na1-3CoPCO7
Na_candidate_06,6,Na3CoPCO7,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na3CoPO4CO3 | Na3Co(CO3)(PO4) | Na3Co(PO4)(CO3) | Na3CoPCO7
Na_candidate_06,6,CoPCO7,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,CoPO4CO3 | Co(CO3)(PO4) | Co(PO4)(CO3) | CoPCO7
Na_candidate_07,7,Na0-2CoP2O7,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na0-2CoP2O7
Na_candidate_08,8,Na0-2MnPO4F,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na0-2MnPO4F
Na_candidate_09,9,Na0-2FeCSO7,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na0-2FeCSO7
Na_candidate_09,9,Na2FeCSO7,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na2FeCO3SO4 | Na2Fe(CO3)(SO4) | Na2Fe(SO4)(CO3) | Na2FeCSO7
Na_candidate_09,9,FeCSO7,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,FeCO3SO4 | Fe(CO3)(SO4) | Fe(SO4)(CO3) | FeCSO7
Na_candidate_10,10,Na1-3FePCO7,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na1-3FePCO7
Na_candidate_10,10,Na3FePCO7,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na3FePO4CO3 | Na3Fe(CO3)(PO4) | Na3Fe(PO4)(CO3) | Na3FePCO7
Na_candidate_10,10,FePCO7,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,FePO4CO3 | Fe(CO3)(PO4) | Fe(PO4)(CO3) | FePCO7
Na_candidate_11,11,Na1-3MnPCO7,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na1-3MnPCO7
Na_candidate_11,11,Na3MnPCO7,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na3MnPO4CO3 | Na3Mn(CO3)(PO4) | Na3Mn(PO4)(CO3) | Na3MnPCO7
Na_candidate_11,11,MnPCO7,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,MnPO4CO3 | Mn(CO3)(PO4) | Mn(PO4)(CO3) | MnPCO7
Na_candidate_12,12,Na0-2MnH4(SO5)2,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na0-2MnH4(SO5)2
Na_candidate_13,13,Na0-1CoPO4,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na0-1CoPO4
Na_candidate_14,14,Na1.5-3NiPCO7,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na1.5-3NiPCO7
Na_candidate_14,14,Na3NiPCO7,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,Na3NiPO4CO3 | Na3Ni(CO3)(PO4) | Na3Ni(PO4)(CO3) | Na3NiPCO7
Na_candidate_14,14,NiPCO7,MP battery-window notation or condensed polyoxo formula; use grouped/expanded formula variants instead.,NiPO4CO3 | Ni(CO3)(PO4) | Ni(PO4)(CO3) | NiPCO7
