manual_candidate_id,shortlist_priority_rank,battery_formula,formula_discharge,framework_formula,n_queries,n_checked,n_try_first,n_checked_positive,n_checked_negative,candidate_manual_status
Na_candidate_01,1,Na0-2VF5,Na2VF5,VF5,7,1,2,1,0,needs_manual_check
Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,7,1,2,1,0,needs_manual_check
Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,7,1,2,1,0,needs_manual_check
Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,7,2,2,2,0,started_or_sufficient
Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,7,1,2,1,0,needs_manual_check
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,10,2,6,2,0,started_or_sufficient
Na_candidate_07,7,Na0-2CoP2O7,Na2CoP2O7,CoP2O7,8,1,2,1,0,needs_manual_check
Na_candidate_08,8,Na0-2MnPO4F,Na2MnPO4F,MnPO4F,8,1,2,1,0,needs_manual_check
Na_candidate_09,9,Na0-2FeCSO7,Na2FeCSO7,FeCSO7,10,5,6,0,0,started_or_sufficient
Na_candidate_10,10,Na1-3FePCO7,Na3FePCO7,FePCO7,10,1,6,1,0,needs_manual_check
Na_candidate_11,11,Na1-3MnPCO7,Na3MnPCO7,MnPCO7,10,1,6,1,0,needs_manual_check
Na_candidate_12,12,Na0-2MnH4(SO5)2,Na2MnH4(SO5)2,MnH4(SO5)2,7,7,2,1,5,started_or_sufficient
Na_candidate_13,13,Na0-1CoPO4,NaCoPO4,CoPO4,7,1,2,1,0,needs_manual_check
Na_candidate_14,14,Na1.5-3NiPCO7,Na3NiPCO7,NiPCO7,10,1,6,1,0,needs_manual_check
Na_candidate_15,15,Na0-3Cr2(PO4)3,Na3Cr2(PO4)3,Cr2(PO4)3,7,1,2,1,0,needs_manual_check
Na_candidate_16,16,Na0-2MnP2O7,Na2MnP2O7,MnP2O7,8,1,2,1,0,needs_manual_check
Na_candidate_17,17,Na1-3CoAsCO7,Na3CoAsCO7,CoAsCO7,10,10,6,0,10,started_or_sufficient
Na_candidate_18,18,Na2-6Fe2C4SO16,Na6Fe2C4SO16,Fe2C4SO16,10,10,8,0,6,started_or_sufficient
Na_candidate_19,19,Na1-3FeAsCO7,Na3FeAsCO7,FeAsCO7,10,6,6,0,6,started_or_sufficient
Na_candidate_20,20,Na1-3CrPCO7,Na3CrPCO7,CrPCO7,10,4,6,1,1,started_or_sufficient
Na_candidate_21,21,Na0-6Mn3(PO4)4,Na6Mn3(PO4)4,Mn3(PO4)4,7,7,2,2,4,started_or_sufficient
Na_candidate_22,22,Na0-1MnO2,NaMnO2,MnO2,7,2,2,2,0,started_or_sufficient
Na_candidate_23,23,Na0-1VPO5,NaVPO5,VPO5,7,2,2,1,0,started_or_sufficient
Na_candidate_24,24,Na0-1VF4,NaVF4,VF4,7,4,2,2,1,started_or_sufficient
Na_candidate_25,25,Na1-3MnAsCO7,Na3MnAsCO7,MnAsCO7,10,10,6,0,8,started_or_sufficient
Na_candidate_26,26,Na1-2.5MnPCO7,Na5Mn2P2(CO7)2,MnPCO7,10,9,4,2,6,started_or_sufficient
Na_candidate_27,27,Na0-2MnCSO7,Na2MnCSO7,MnCSO7,10,10,6,4,5,started_or_sufficient
Na_candidate_28,28,Na1-3VSiCO7,Na3VSiCO7,VSiCO7,10,10,6,4,5,started_or_sufficient
Na_candidate_29,29,Na0-1MnO2,NaMnO2,MnO2,7,7,2,6,0,started_or_sufficient
Na_candidate_30,30,Na0-3.5Cr2(PO4)3,Na7Cr4(PO4)6,Cr2(PO4)3,7,7,2,1,2,started_or_sufficient
