manual_candidate_id,shortlist_priority_rank,n_recommended_queries,n_try_first,n_try_second,n_broad_fallback,status
Na_candidate_01,1,7,2,3,2,PASS
Na_candidate_02,2,7,2,3,2,PASS
Na_candidate_03,3,7,2,3,2,PASS
Na_candidate_04,4,7,2,3,2,PASS
Na_candidate_05,5,7,2,3,2,PASS
Na_candidate_06,6,10,6,4,0,PASS
Na_candidate_07,7,8,2,3,3,PASS
Na_candidate_08,8,8,2,3,3,PASS
Na_candidate_09,9,10,6,4,0,PASS
Na_candidate_10,10,10,6,4,0,PASS
Na_candidate_11,11,10,6,4,0,PASS
Na_candidate_12,12,7,2,3,2,PASS
Na_candidate_13,13,7,2,3,2,PASS
Na_candidate_14,14,10,6,4,0,PASS
Na_candidate_15,15,7,2,3,2,PASS
Na_candidate_16,16,8,2,3,3,PASS
Na_candidate_17,17,10,6,4,0,PASS
Na_candidate_18,18,10,8,2,0,PASS
Na_candidate_19,19,10,6,4,0,PASS
Na_candidate_20,20,10,6,4,0,PASS
Na_candidate_21,21,7,2,3,2,PASS
Na_candidate_22,22,7,2,3,2,PASS
Na_candidate_23,23,7,2,3,2,PASS
Na_candidate_24,24,7,2,3,2,PASS
Na_candidate_25,25,10,6,4,0,PASS
Na_candidate_26,26,10,4,6,0,PASS
Na_candidate_27,27,10,6,4,0,PASS
Na_candidate_28,28,10,6,4,0,PASS
Na_candidate_29,29,7,2,3,2,PASS
Na_candidate_30,30,7,2,3,2,PASS
