candidate_id,selection_role,state_role,endpoint_id,expected_formula,candidate_path,association,parse_success,formula_match,selected,selection_reason,structure_formula,nsites,volume,is_ordered,parse_error
Na_candidate_06,primary,charged,mp-aaackrry,NaCoPCO7,host_structure,conservative_parent_subtree,True,False,False,,CoPCO7,20,295.3800721906818,True,
Na_candidate_06,primary,charged,mp-aaackrry,NaCoPCO7,electrode_object/voltage_pairs/0/entry_charge/structure,conservative_parent_subtree,True,True,True,unique_exact_id_plus_formula_match,NaCoPCO7,22,295.3800721906818,True,
Na_candidate_06,primary,discharged,mp-aaabrwlw,Na3CoPCO7,host_structure,conservative_parent_subtree,True,False,False,,CoPCO7,20,295.3800721906818,True,
Na_candidate_06,primary,discharged,mp-aaabrwlw,Na3CoPCO7,electrode_object/voltage_pairs/1/entry_discharge/structure,conservative_parent_subtree,True,True,True,unique_exact_id_plus_formula_match,Na3CoPCO7,52,630.2330256301244,True,
Na_candidate_10,primary,charged,mp-aaabrunh,NaFePCO7,host_structure,conservative_parent_subtree,True,False,False,,FePCO7,20,313.52003536876765,True,
Na_candidate_10,primary,charged,mp-aaabrunh,NaFePCO7,electrode_object/voltage_pairs/0/entry_charge/structure,conservative_parent_subtree,True,True,True,unique_exact_id_plus_formula_match,NaFePCO7,22,313.52003536876765,True,
Na_candidate_10,primary,discharged,mp-aaaabgtj,Na3FePCO7,host_structure,conservative_parent_subtree,True,False,False,,FePCO7,20,313.52003536876765,True,
Na_candidate_10,primary,discharged,mp-aaaabgtj,Na3FePCO7,electrode_object/voltage_pairs/1/entry_discharge/structure,conservative_parent_subtree,True,True,True,unique_exact_id_plus_formula_match,Na3FePCO7,26,316.76615565222943,True,
Na_candidate_11,primary,charged,mp-aaabrhtw,NaMnPCO7,host_structure,conservative_parent_subtree,True,False,False,,MnPCO7,20,301.08980006213187,True,
Na_candidate_11,primary,charged,mp-aaabrhtw,NaMnPCO7,electrode_object/voltage_pairs/0/entry_charge/structure,conservative_parent_subtree,True,True,True,unique_exact_id_plus_formula_match,NaMnPCO7,22,301.08980006213187,True,
Na_candidate_11,primary,discharged,mp-aaaabcmv,Na3MnPCO7,host_structure,conservative_parent_subtree,True,False,False,,MnPCO7,20,301.08980006213187,True,
Na_candidate_11,primary,discharged,mp-aaaabcmv,Na3MnPCO7,electrode_object/voltage_pairs/1/entry_discharge/structure,conservative_parent_subtree,True,True,True,unique_exact_id_plus_formula_match,Na3MnPCO7,26,323.1493257981598,True,
Na_candidate_15,primary,charged,mp-aaaabnjm,Cr2(PO4)3,host_structure,conservative_parent_subtree,True,True,True,unique_exact_id_plus_formula_match,Cr2(PO4)3,34,449.0762005496703,True,
Na_candidate_15,primary,discharged,mp-aaacrmqw,Na3Cr2(PO4)3,host_structure,conservative_parent_subtree,True,False,False,,Cr2(PO4)3,34,449.0762005496703,True,
Na_candidate_15,primary,discharged,mp-aaacrmqw,Na3Cr2(PO4)3,electrode_object/voltage_pairs/0/entry_discharge/structure,conservative_parent_subtree,True,True,True,unique_exact_id_plus_formula_match,Na3Cr2(PO4)3,40,488.41259930904755,True,
Na_candidate_16,primary,charged,mp-aaabhhug,MnP2O7,host_structure,conservative_parent_subtree,True,True,True,unique_exact_id_plus_formula_match,MnP2O7,40,559.3072441394465,True,
Na_candidate_16,primary,discharged,mp-aaacqeli,Na2MnP2O7,host_structure,conservative_parent_subtree,True,False,False,,MnP2O7,40,559.3072441394465,True,
Na_candidate_16,primary,discharged,mp-aaacqeli,Na2MnP2O7,electrode_object/voltage_pairs/0/entry_discharge/structure,conservative_parent_subtree,True,True,True,unique_exact_id_plus_formula_match,Na2MnP2O7,48,628.1586251277538,True,
Na_candidate_02,optional_control,charged,mp-aaacupmn,CoO2,host_structure,conservative_parent_subtree,True,True,True,unique_exact_id_plus_formula_match,CoO2,12,143.07244990041937,True,
Na_candidate_02,optional_control,discharged,mp-aaabxjhz,NaCoO2,host_structure,conservative_parent_subtree,True,False,False,,CoO2,12,143.07244990041937,True,
Na_candidate_02,optional_control,discharged,mp-aaabxjhz,NaCoO2,electrode_object/voltage_pairs/2/entry_discharge/structure,conservative_parent_subtree,True,True,True,unique_exact_id_plus_formula_match,NaCoO2,8,77.64036645623564,True,
