check,observed,expected,status,details
SCRIPT_PYTHON_SYNTAX,valid,valid,PASS,
PROHIBITED_TOKEN_.fit(,False,False,PASS,
PROHIBITED_TOKEN_GridSearchCV(,False,False,PASS,
PROHIBITED_TOKEN_RandomizedSearchCV(,False,False,PASS,
PROHIBITED_TOKEN_pw.x,False,False,PASS,
PROHIBITED_TOKEN_mpirun ,False,False,PASS,
PROHIBITED_TOKEN_subprocess.run(,False,False,PASS,
NOTEBOOK_CELL_COUNT,5,5,PASS,
NOTEBOOK_OUTPUT_COUNT,0,0,PASS,
NOTEBOOK_EXECUTION_COUNT_NONNULL,0,0,PASS,
NOTEBOOK_CODE_SYNTAX_FAILURES,0,0,PASS,
MAIN_Figure_1_workflow_PDF_EXISTS,True,True,PASS,
MAIN_Figure_1_workflow_PDF_PAGES,1,1,PASS,
MAIN_Figure_1_workflow_PDF_RENDER,1,1,PASS,
MAIN_Figure_1_workflow_PNG_EXISTS,True,True,PASS,
MAIN_Figure_1_workflow_PNG_WIDTH,4073,>=2400,PASS,
MAIN_Figure_1_workflow_PNG_HEIGHT,3723,>=1800,PASS,
MAIN_Figure_2_dataset_landscape_PDF_EXISTS,True,True,PASS,
MAIN_Figure_2_dataset_landscape_PDF_PAGES,1,1,PASS,
MAIN_Figure_2_dataset_landscape_PDF_RENDER,1,1,PASS,
MAIN_Figure_2_dataset_landscape_PNG_EXISTS,True,True,PASS,
MAIN_Figure_2_dataset_landscape_PNG_WIDTH,5214,>=2400,PASS,
MAIN_Figure_2_dataset_landscape_PNG_HEIGHT,2793,>=1800,PASS,
MAIN_Figure_3_leakage_validation_PDF_EXISTS,True,True,PASS,
MAIN_Figure_3_leakage_validation_PDF_PAGES,1,1,PASS,
MAIN_Figure_3_leakage_validation_PDF_RENDER,1,1,PASS,
MAIN_Figure_3_leakage_validation_PNG_EXISTS,True,True,PASS,
MAIN_Figure_3_leakage_validation_PNG_WIDTH,4223,>=2400,PASS,
MAIN_Figure_3_leakage_validation_PNG_HEIGHT,2815,>=1800,PASS,
MAIN_Figure_4_physics_constraints_PDF_EXISTS,True,True,PASS,
MAIN_Figure_4_physics_constraints_PDF_PAGES,1,1,PASS,
MAIN_Figure_4_physics_constraints_PDF_RENDER,1,1,PASS,
MAIN_Figure_4_physics_constraints_PNG_EXISTS,True,True,PASS,
MAIN_Figure_4_physics_constraints_PNG_WIDTH,3967,>=2400,PASS,
MAIN_Figure_4_physics_constraints_PNG_HEIGHT,2768,>=1800,PASS,
MAIN_Figure_5_applicability_domain_PDF_EXISTS,True,True,PASS,
MAIN_Figure_5_applicability_domain_PDF_PAGES,1,1,PASS,
MAIN_Figure_5_applicability_domain_PDF_RENDER,1,1,PASS,
MAIN_Figure_5_applicability_domain_PNG_EXISTS,True,True,PASS,
MAIN_Figure_5_applicability_domain_PNG_WIDTH,4146,>=2400,PASS,
MAIN_Figure_5_applicability_domain_PNG_HEIGHT,2815,>=1800,PASS,
MAIN_Figure_6_sodium_dft_PDF_EXISTS,True,True,PASS,
MAIN_Figure_6_sodium_dft_PDF_PAGES,1,1,PASS,
MAIN_Figure_6_sodium_dft_PDF_RENDER,1,1,PASS,
MAIN_Figure_6_sodium_dft_PNG_EXISTS,True,True,PASS,
MAIN_Figure_6_sodium_dft_PNG_WIDTH,3931,>=2400,PASS,
MAIN_Figure_6_sodium_dft_PNG_HEIGHT,2817,>=1800,PASS,
SUPPLEMENTARY_Figure_S1_protocol_feature_counts_PDF_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S1_protocol_feature_counts_PDF_PAGES,1,1,PASS,
SUPPLEMENTARY_Figure_S1_protocol_feature_counts_PDF_RENDER,1,1,PASS,
SUPPLEMENTARY_Figure_S1_protocol_feature_counts_PNG_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S1_protocol_feature_counts_PNG_WIDTH,4440,>=2400,PASS,
SUPPLEMENTARY_Figure_S1_protocol_feature_counts_PNG_HEIGHT,3297,>=1800,PASS,
SUPPLEMENTARY_Figure_S2_compiler_validation_PDF_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S2_compiler_validation_PDF_PAGES,1,1,PASS,
SUPPLEMENTARY_Figure_S2_compiler_validation_PDF_RENDER,1,1,PASS,
SUPPLEMENTARY_Figure_S2_compiler_validation_PNG_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S2_compiler_validation_PNG_WIDTH,4503,>=2400,PASS,
SUPPLEMENTARY_Figure_S2_compiler_validation_PNG_HEIGHT,2801,>=1800,PASS,
SUPPLEMENTARY_Figure_S3_clean_domain_shift_PDF_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S3_clean_domain_shift_PDF_PAGES,1,1,PASS,
SUPPLEMENTARY_Figure_S3_clean_domain_shift_PDF_RENDER,1,1,PASS,
SUPPLEMENTARY_Figure_S3_clean_domain_shift_PNG_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S3_clean_domain_shift_PNG_WIDTH,4217,>=2400,PASS,
SUPPLEMENTARY_Figure_S3_clean_domain_shift_PNG_HEIGHT,2815,>=1800,PASS,
SUPPLEMENTARY_Figure_S4_predictive_tradeoff_PDF_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S4_predictive_tradeoff_PDF_PAGES,1,1,PASS,
SUPPLEMENTARY_Figure_S4_predictive_tradeoff_PDF_RENDER,1,1,PASS,
SUPPLEMENTARY_Figure_S4_predictive_tradeoff_PNG_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S4_predictive_tradeoff_PNG_WIDTH,4398,>=2400,PASS,
SUPPLEMENTARY_Figure_S4_predictive_tradeoff_PNG_HEIGHT,2815,>=1800,PASS,
SUPPLEMENTARY_Figure_S5_conformal_coverage_PDF_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S5_conformal_coverage_PDF_PAGES,1,1,PASS,
SUPPLEMENTARY_Figure_S5_conformal_coverage_PDF_RENDER,1,1,PASS,
SUPPLEMENTARY_Figure_S5_conformal_coverage_PNG_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S5_conformal_coverage_PNG_WIDTH,4266,>=2400,PASS,
SUPPLEMENTARY_Figure_S5_conformal_coverage_PNG_HEIGHT,2815,>=1800,PASS,
