protocol,split_name,fold_id,heldout_group,model_variant,n_test,energy_consistency_mae,energy_consistency_rmse,stability_consistency_mae,stability_consistency_rmse,any_negative_prediction_rate,mean_negative_outputs_per_record
P1,random_split,0,random_0,unconstrained_direct,641,39.59897613525391,52.5053825378418,0.0142481951043009,0.0190875735133886,0.0842433697347894,0.1123244929797191
P1,random_split,0,random_0,unconstrained_hardderived,641,0.0,0.0,0.0,0.0,0.06396255850234,0.0811232449297972
P1,random_split,0,random_0,softconstrained_direct,641,18.89748764038086,27.98501968383789,0.0094833401963114,0.0114511977881193,0.0998439937597504,0.1310452418096724
P1,random_split,0,random_0,softconstrained_hardderived,641,0.0,0.0,0.0,0.0,0.093603744149766,0.1279251170046801
P1,random_split,1,random_1,unconstrained_direct,641,39.05868148803711,53.58098220825195,0.01779056340456,0.0247006379067897,0.1232449297971918,0.1700468018720748
P1,random_split,1,random_1,unconstrained_hardderived,641,0.0,0.0,0.0,0.0,0.1045241809672386,0.1450858034321372
P1,random_split,1,random_1,softconstrained_direct,641,17.808385848999023,25.650070190429688,0.0102868219837546,0.0126385679468512,0.0842433697347894,0.1029641185647426
P1,random_split,1,random_1,softconstrained_hardderived,641,0.0,0.0,0.0,0.0,0.079563182527301,0.0998439937597504
P1,random_split,2,random_2,unconstrained_direct,641,41.381622314453125,56.00040054321289,0.0165163092315197,0.0218846295028924,0.0920436817472698,0.1092043681747269
P1,random_split,2,random_2,unconstrained_hardderived,641,0.0,0.0,0.0,0.0,0.0858034321372854,0.0982839313572542
P1,random_split,2,random_2,softconstrained_direct,641,18.86404228210449,26.648099899291992,0.0098524335771799,0.012203368358314,0.0312012480499219,0.0327613104524181
P1,random_split,2,random_2,softconstrained_hardderived,641,0.0,0.0,0.0,0.0,0.0312012480499219,0.0343213728549142
P1,random_split,3,random_3,unconstrained_direct,641,40.06682586669922,55.37100601196289,0.0167137589305639,0.022209133952856,0.0717628705148206,0.1014040561622464
P1,random_split,3,random_3,unconstrained_hardderived,641,0.0,0.0,0.0,0.0,0.06396255850234,0.0811232449297972
P1,random_split,3,random_3,softconstrained_direct,641,19.628395080566406,28.712238311767575,0.0109350867569446,0.0128905326128005,0.0858034321372854,0.1123244929797191
